@  {'author': 'Pauli Brattico', 'year': 2021, 'date': 'December', 'study_id': 1, 'study_folder': 'language data working directory/study-10-binding-theory', 'lexicon_folder': 'language data working directory/lexicons', 'test_corpus_folder': 'language data working directory/study-10-binding-theory', 'test_corpus_file': 'binding_theory_corpus.txt', 'only_first_solution': False, 'logging': True, 'ignore_ungrammatical_sentences': False, 'console_output': 'Full', 'datatake_resources': True, 'datatake_resource_sequence': False, 'datatake_timings': False, 'datatake_images': True, 'image_parameter_stop_after_each_image': False, 'image_parameter_show_words': False, 'image_parameter_nolabels': False, 'image_parameter_spellout': False, 'image_parameter_case': False, 'image_parameter_show_sentences': False, 'image_parameter_show_glosses': False, 'extra_ranking': True, 'filter': True, 'lexical_anticipation': True, 'closure': 'Bottom-up', 'working_memory': True, 'positive_spec_selection': 100, 'negative_spec_selection': -100, 'break_head_comp_relations': -100, 'negative_tail_test': -100, 'positive_head_comp_selection': 100, 'negative_head_comp_selection': -100, 'negative_semantics_match': -100, 'lf_legibility_condition': -100, 'negative_adverbial_test': -100, 'positive_adverbial_test': 100}
@  2021-12-28 11:30:15.842934
@  Test sentences from language data working directory\study-10-binding-theory\binding_theory_corpus.txt.
@  Logs into language data working directory\study-10-binding-theory\binding_theory_corpus_log.txt.
@  Lexicon from language data working directory\lexicons\lexicon.txt.
@  Redundancy rules from language data working directory\lexicons\redundancy_rules.txt.
@  Universal morphemes from language data working directory\lexicons\ug_morphemes.txt.
@ 
@ 
Number,Sentence,Study_ID,Total Time,Garden Paths,Memory Reactivation,Steps,Merge,Move Head,Move Phrase,A-Move Phrase,A-bar Move Phrase,Move Adjunct,Agree,Phi,Transfer,Item streamed into syntax,Feature Processing,Extraposition,Inflection,Failed Transfer,LF recovery,LF test,Filter solution,Rank solution,Lexical retrieval,Morphological decomposition,Mean time per word,Asymmetric Merge,Sink,External Tail Test,Execution time (ms)	
1,Pekka ihailee itseään ,1,,1385,0,0,13,6,2,2,0,0,2,2,5,11,7,0,0,12,2,3,13,5,4,19,3,461,51,9,50,78
2,Pekka ihailee itseäni ,1,,1385,0,0,13,6,2,2,0,0,2,2,5,11,7,0,0,12,2,3,13,5,4,19,3,461,51,9,50,31
3,minä ihailen itseään ,1,,1205,0,0,13,6,2,2,2,0,0,2,5,3,7,0,0,12,2,3,5,5,4,19,3,401,44,9,29,46
4,minä ihailen itseäni ,1,,1205,0,0,13,6,2,2,2,0,0,2,5,3,7,0,0,12,2,3,5,5,4,19,3,401,44,9,29,31
5,itseään ihailee Pekka ,1,,1510,0,0,14,6,2,4,1,0,3,3,6,22,7,0,0,12,0,3,25,4,4,19,3,503,76,10,85,62
6,itseään#[kO] Pekka ihailee ,1,,1525,0,0,19,6,0,2,0,1,1,1,4,11,7,0,0,13,4,3,14,4,6,20,4,508,58,15,49,78
7,Pekka nayttaa lahtevan ,1,,1055,0,0,11,5,1,2,0,0,2,4,7,11,6,0,0,6,2,3,13,4,3,12,3,351,34,7,27,46
8,John admires herself ,1,,1220,0,0,13,6,2,2,2,0,0,2,5,3,7,0,0,14,2,3,5,5,3,21,3,406,34,9,4,46
9,Pekka ihailee häntä ,1,,1405,0,0,13,6,2,2,0,0,2,2,5,11,7,0,0,13,2,3,13,5,4,20,3,468,51,9,50,46
10,Pekka ihailee sitä ,1,,1415,0,0,13,6,2,2,0,0,2,2,5,11,7,0,0,13,2,3,13,5,4,20,3,471,51,9,50,46
11,Pekka sanoi etta Merja ihailee sitä ,1,,3180,0,0,91,11,9,11,0,0,11,14,19,68,12,0,0,21,19,5,80,15,8,33,5,530,733,63,924,187
12,Pekka ihailee häntä ,1,,1405,0,0,13,6,2,2,0,0,2,2,5,11,7,0,0,13,2,3,13,5,4,20,3,468,51,9,50,46
13,Pekka sanoo että Merja ihailee häntä ,1,,3170,0,0,91,11,9,11,0,0,11,14,19,68,12,0,0,21,19,5,80,15,8,33,5,528,733,63,924,156
14,Pekan_gen sisko ihailee häntä ,1,,1890,0,0,41,8,2,5,3,0,2,13,17,14,9,0,0,17,2,4,18,6,5,26,4,472,238,31,266,78
15,hän ihailee Merjaa ,1,,1445,0,0,13,6,2,2,0,0,2,2,5,11,7,0,0,14,2,3,13,5,4,21,3,481,51,9,50,31
16,Pekka sanoi etta Merja ihailee Jukkaa ,1,,3300,0,0,91,11,9,11,0,0,11,14,19,68,12,0,0,22,19,5,80,15,8,34,5,550,733,63,924,171
17,hänen siskonsa sanoo että Pekka ihailee Merjaa ,1,,3735,0,0,372,13,9,14,3,0,11,41,47,71,14,0,0,25,19,6,85,16,9,39,6,533,3335,270,4537,296
18,John sleeps ,1,,655,0,0,5,3,0,1,1,0,0,1,3,2,4,0,0,7,0,2,3,2,2,11,2,327,8,3,0,0
19,John admires Mary ,1,,1120,0,0,13,6,2,2,2,0,0,2,5,3,7,0,0,12,2,3,5,5,3,19,3,373,36,9,13,31
20,ihailen Merjaa ,1,,890,0,0,6,4,2,0,0,0,0,1,4,1,5,0,0,8,0,3,2,3,2,13,2,445,14,4,13,15
21,ihailen itseäni ,1,,740,0,0,6,4,2,0,0,0,0,1,4,1,5,0,0,6,0,3,2,3,2,11,2,370,14,4,13,15
22,Pekka sanoo että ihailee Merjaa ,1,,2205,0,0,43,9,7,5,0,0,5,11,16,30,10,0,0,15,11,5,38,10,6,25,4,441,204,28,176,187
23,Pekka sanoo että ihailee itseään ,1,,2055,0,0,43,9,7,5,0,0,5,11,16,30,10,0,0,13,11,5,38,10,6,23,4,411,204,28,176,109
24,Pekka sanoo että ihailee häntä ,1,,2075,0,0,43,9,7,5,0,0,5,11,16,30,10,0,0,14,11,5,38,10,6,24,4,415,204,28,176,109
25,Pekka sanoo että ihailen häntä ,1,,2075,0,0,43,9,7,5,0,0,5,11,16,30,10,0,0,14,11,5,38,10,6,24,4,415,204,28,176,93
26,hänen siskonsa nukkuu ,1,,1200,0,0,12,5,0,4,3,0,1,8,11,9,6,0,0,11,0,3,12,3,3,17,3,400,47,8,46,46
