dummy          {'LANG:EN', 'dummy'}
's              {'-SPEC:Neg/fin', 'COMP:n', '-SPEC:V', 'COMP:N', '!PROBE:N', '-SPEC:P', '-SPEC:C', '-EDGE:*', '-COMP:uR', 'φ', '-SPEC:MA/lla', '-SPEC:INF', 'adjoinable', 'POSS', '!COMP:*', "PF:D('s)", '-COMP:T/fin', 'LANG:EN', 'D', 'LF:possessive', '-COMP:P', 'COMP:φ', '-SPEC:T/fin', '-ARG'}
a               {'-COMP:N', '-SPEC:Neg/fin', 'LF:to', '-SPEC:V', 'TAIL:V', '-COMP:T', 'adjoinable', 'P', '-SPEC:T/prt', '!COMP:*', '-SPEC:C/fin', '-SPEC:iWH', '-SPEC:FORCE', '-VAL', '-COMP:uWH', 'LANG:IT', '-COMP:ADV', '-SPEC:C', '-SPEC:*', '-SPEC:iR', 'PF:a', 'COMP:ARE/inf', '-SPEC:INF', '-SPEC:N', '-SPEC:ADV', '-COMP:T/fin', '-SPEC:v', '-COMP:A', '-SPEC:P', 'COMP:φ', '-SPEC:T/fin', '-ARG'}
a_D             {'-SPEC:Neg/fin', 'COMP:n', '-SPEC:V', 'COMP:N', '!PROBE:N', '-SPEC:C', '-EDGE:*', '-COMP:uR', 'φ', '-SPEC:MA/lla', '-SPEC:INF', 'adjoinable', 'PF:D', '!COMP:*', '-COMP:T/fin', 'LANG:EN', 'LF:D', 'D', '-SPEC:P', '-COMP:P', 'COMP:φ', '-SPEC:T/fin', '-ARG'}
admire          ['LANG:EN']
admire'         ['LANG:EN']
admires         ['LANG:EN']
admire-         {'SPEC:ADV', '-COMP:N', '-COMP:v', 'COMP:D', '-VAL', 'SPEC:P', 'COMP:P', 'PHI:PER:_', 'PHI:GEN:_', '-SPEC:Neg', 'SPEC:TO/inf', 'PHI:NUM:_', 'ASP', 'PHI:DET:_', '-COMP:V', '-SPEC:FORCE', 'CLASS:TR', 'V', '!COMP:*', '-COMP:T/fin', 'PF:admire', '-COMP:Neg', 'LANG:EN', 'LF:admire', '-COMP:P', 'ARG', 'COMP:φ', '-SPEC:T/fin'}
admire*         ['LANG:EN']
T/fin*          {'-VAL', '-SPEC:V', "PF:T/fin'", 'NO_NUMBER', 'FIN', '-SPEC:Neg', 'COMP:T/prt', '-SPEC:C', 'PHI:PER:_', 'PHI:GEN:_', 'LF:T', '!SPEC:*', 'NO_DET', 'COMP:V', 'ARG', 'SPEC:TO/inf', 'COMP:v', '!PROBE:V', '-adjoinable', '-SPEC:N', '-SPEC:T/prt', '!COMP:*', 'T', 'SPEC:FORCE', '-COMP:T/fin', '-COMP:INF', '-SPEC:v', 'LANG:EN', 'T/fin', '-SPEC:TO/inf', 'SPEC:φ', 'SPEC:C/fin', '-SPEC:T/fin'}
v*              {'ASP', '!PROBE:V', 'v', '-SPEC:N', 'PF:v', '-VAL', '!COMP:*', 'PHI:PER:_', 'NO_NUMBER', 'PHI:GEN:_', 'LF:v', 'LANG:EN', 'NO_DET', 'SPEC:φ', 'COMP:V', 'ARG'}
