dummy          {'PHON', 'dummy', 'LANG:EN'}
's              {'-SPEC:MA/lla', 'φ', 'PHI:DET:DEF', 'adjoinable', '-COMP:uR', 'COMP:N', 'D', '-COMP:P', '!COMP:*', 'LF:possessive', 'R:NEW:$X$', 'COMP:φ', '-SPEC:P', '-SPEC:T/fin', '-COMP:T/fin', '-SPEC:Neg/fin', '!PROBE:N', '-EDGE:*', '-SPEC:INF', 'LANG:EN', '-SPEC:V', 'COMP:n', '-SPEC:C', 'PHON', '-ARG', "PF:D('s)", 'POSS'}
a               {'-COMP:A', 'adjoinable', '-COMP:ADV', '-VAL', '-COMP:N', 'COMP:φ', 'P', '-SPEC:FORCE', 'LANG:IT', '-COMP:T/fin', '-COMP:T', '-SPEC:v', '-COMP:uWH', '-SPEC:V', 'PF:a', 'PHON', '-ARG', '-SPEC:iR', '-SPEC:iWH', 'COMP:ARE/inf', 'LF:to', '!COMP:*', '-SPEC:C/fin', '-SPEC:P', '-SPEC:T/fin', '-SPEC:*', '-SPEC:Neg/fin', '-SPEC:INF', 'TAIL:V', '-SPEC:ADV', '-SPEC:T/prt', '-SPEC:N', '-SPEC:C'}
a_D             {'-SPEC:MA/lla', 'φ', 'PF:D', 'adjoinable', '-COMP:uR', 'LF:D', 'COMP:N', 'D', '-COMP:P', '!COMP:*', 'COMP:φ', '-SPEC:P', '-SPEC:T/fin', '-COMP:T/fin', '-SPEC:Neg/fin', '!PROBE:N', '-EDGE:*', '-SPEC:INF', 'LANG:EN', '-SPEC:V', 'COMP:n', 'PHON', '-ARG', '-SPEC:C'}
admire          {'PHON', 'LANG:EN'}
admire          {'PHON', 'LANG:EN'}
admire'         {'PHON', 'LANG:EN'}
admires         {'PHON', 'LANG:EN'}
admire-         {'CLASS:TR', 'ASP', 'ARG', 'PHI:NUM:_', 'PHI:DET:_', 'PHI:GEN:_', '-VAL', 'SPEC:P', '-COMP:N', '-COMP:P', 'COMP:P', '!COMP:*', 'COMP:φ', 'V', '-COMP:v', '-SPEC:FORCE', 'PF:admire', '-SPEC:T/fin', '-COMP:T/fin', 'PHI:PER:_', 'SPEC:ADV', '-COMP:V', '-COMP:Neg', 'LANG:EN', 'PHON', 'LF:admire', 'COMP:D', 'SPEC:TO/inf', '-SPEC:Neg'}
admire*         {'PHON', 'LANG:EN'}
T/fin*          {'T', '-SPEC:N', '-adjoinable', 'ARG', '-SPEC:TO/inf', 'PHI:GEN:_', 'LF:T', '-VAL', 'SPEC:C/fin', 'SPEC:FORCE', '-COMP:INF', '!PROBE:V', 'SPEC:T/prt', 'COMP:v', '-SPEC:Neg', 'T/fin', '!COMP:*', 'FIN', 'NO_NUMBER', '-COMP:T/fin', '-SPEC:T/fin', 'PHI:PER:_', '-SPEC:v', 'SPEC:φ', "PF:T/fin'", 'LANG:EN', '-SPEC:V', '-SPEC:C', 'NO_DET', 'PHON', '!SPEC:*', 'SPEC:TO/inf', 'COMP:V'}
v*              {'-SPEC:N', 'v', 'ASP', 'ARG', 'NO_NUMBER', 'PHI:PER:_', 'NO_DET', 'SPEC:φ', 'PHI:GEN:_', '-VAL', 'LF:v', 'LANG:EN', 'PF:v', 'PHON', '!PROBE:V', '!COMP:*', 'COMP:V'}
admire**        {'PHON', 'LANG:EN'}
T/fin**         {'T', '-adjoinable', '-SPEC:TO/inf', 'PHI:GEN:_', 'LF:T', '-VAL', 'SPEC:C/fin', '-COMP:INF', 'SPEC:T/prt', 'COMP:v', 'NO_PERSON', '-COMP:T/fin', '-SPEC:v', 'SPEC:φ', 'LANG:EN', '-SPEC:V', 'PHON', '!SPEC:*', 'SPEC:TO/inf', 'COMP:V', '-SPEC:Neg', 'ARG', 'SPEC:FORCE', '!PROBE:V', 'PHI:PER:3', 'T/fin', '!COMP:*', 'FIN', 'NO_NUMBER', '-SPEC:T/fin', "PF:T/fin''", 'NO_DET', '-SPEC:N', '-SPEC:C'}
adoro           {'LANG:IT', 'PHON'}
adori           {'LANG:IT', 'PHON'}
adora           {'LANG:IT', 'PHON'}
adoriamo        {'LANG:IT', 'PHON'}
adorate         {'LANG:IT', 'PHON'}
adorano         {'LANG:IT', 'PHON'}
adora-          {'PHI:NUM:_', 'ASP', 'ARG', 'PHI:DET:_', 'PHI:GEN:_', '-VAL', 'SPEC:P', '-COMP:N', 'COMP:P', 'COMP:φ', 'V', '-COMP:v', '-SPEC:FORCE', '-SPEC:T/fin', 'LANG:IT', 'PHI:PER:_', 'SPEC:ADV', '-COMP:V', 'PF:adora', 'PHON', 'LF:admire', 'SPEC:TO/inf'}
antaa           {'PHON', 'LANG:FI'}
anta-           {'-COMP:FIN', 'ASP:BOUNDED', 'PHI:NUM:_', 'ASP', 'ARG', 'PHI:DET:_', 'PHI:GEN:_', 'LF:give', '-VAL', 'SPEC:P', '-COMP:N', 'PF:antaa', 'COMP:P', 'CLASS:DITR', '!COMP:*', 'COMP:φ', 'V', '-COMP:v', '-SPEC:FORCE', '-SPEC:T/fin', 'PHI:PER:_', 'SPEC:ADV', 'SPEC:φ', '-COMP:V', 'PHON', 'LANG:FI', '+SEM:directional', 'SPEC:TO/inf'}
antoi           {'PHON', 'LANG:FI'}
asks            {'PHON', 'LANG:EN'}
ask-            {'PHI:NUM:_', 'ASP', 'ARG', 'PHI:DET:_', 'PHI:GEN:_', '-VAL', 'SPEC:P', '-COMP:N', 'LF:ask', 'COMP:P', 'COMP:φ', 'V', '-COMP:v', '-SPEC:FORCE', '-SPEC:T/fin', 'PHI:PER:_', 'SPEC:ADV', 'PF:ask', 'SPEC:φ', 'SEM:internal', '-COMP:V', 'LANG:EN', 'PHON', 'SPEC:TO/inf'}
avain_0acc      {'PHON', 'LANG:EN'}
avain_nom       {'PHON', 'LANG:EN'}
avain           {'PHON', 'LANG:EN'}
avaimen_acc     {'PHON', 'LANG:EN'}
avaimen         {'PHON', 'LANG:EN'}
avaimen_gen     {'PHON', 'LANG:EN'}
avaimet         {'PHON', 'LANG:EN'}
avainta         {'PHON', 'LANG:EN'}
avain-          {'-COMP:A', '-SPEC:uWH', '-COMP:N', 'LF:key', 'SPEC:A', 'COMP:R/D', 'COMP:C', '-SEM:directional', '-COMP:VA/inf', '-SPEC:FORCE', '-COMP:T/fin', '-SPEC:V', 'PHON', 'LANG:FI', '-SPEC:R', 'N', 'COMP:R', '-COMP:D', '-COMP:WH', 'COMP:uR', 'COMP:P', 'COMP:D/rel', 'PF:avain', '-SPEC:P', '-SPEC:C/fin', '-COMP:v', '-SPEC:T/fin', '-SPEC:INF', '-COMP:V', '-SPEC:ADV', 'COMP:T/prt', '-COMP:AUX', '-COMP:T/prt', '-SPEC:N', '-COMP:C/fin'}
auton           {'PHON', 'LANG:FI'}
auto            {'PHON', 'LANG:FI'}
auto-           {'-COMP:A', '-SPEC:uWH', '-COMP:N', 'SPEC:A', 'COMP:R/D', 'COMP:C', '-SEM:directional', '-COMP:VA/inf', '-SPEC:FORCE', '-COMP:T/fin', '-SPEC:V', 'PHON', 'LANG:FI', '-SPEC:R', 'N', 'COMP:R', '-COMP:D', '-COMP:WH', 'COMP:uR', 'COMP:P', 'COMP:D/rel', '-SPEC:P', '-SPEC:C/fin', '-COMP:v', '-SPEC:T/fin', 'PF:auto', '-SPEC:INF', '-COMP:V', 'LF:car', '-SPEC:ADV', 'COMP:T/prt', '-COMP:AUX', '-COMP:T/prt', '-SPEC:N', '-COMP:C/fin'}
bank            {'-COMP:A', '-SPEC:uWH', '-COMP:N', 'SPEC:A', 'COMP:R/D', 'COMP:C', '-COMP:VA/inf', '-SPEC:FORCE', '-COMP:T/fin', 'LANG:EN', '-SPEC:V', 'PHON', 'LF:bank_inst', '-SPEC:R', 'N', 'COMP:R', 'FREQ:1', '-COMP:D', '-COMP:WH', 'COMP:uR', 'COMP:P', 'COMP:D/rel', '-SPEC:P', '-SPEC:C/fin', '-COMP:v', '-SPEC:T/fin', '-SPEC:INF', '-COMP:V', 'PF:bank1', '-SPEC:ADV', 'COMP:T/prt', '-COMP:AUX', '-SPEC:N', '-COMP:C/fin'}
