dummy          {'PHON', 'dummy', 'LANG:EN'}
's              {'-ARG', 'POSS', '-SPEC:MA/lla', '-SPEC:*', "PF:D('s)", '-SPEC:T/fin', 'PHI:NUM:SG', 'LF:possessive', 'PHI:PER:3', '!COMP:*', 'PHON', 'LANG:EN', 'COMP:n', '-SPEC:INF', '-SPEC:Neg/fin', '-SPEC:P', 'PHI:DET:DEF', 'COMP:φ', '-SPEC:V', 'D', 'adjoinable', '-COMP:P', '-COMP:T/fin', '!PROBE:N', 'R:NEW:$X$', '-SPEC:C', 'φ', '-COMP:uR', 'COMP:N'}
a_IT            {'-SPEC:*', '-SPEC:T/fin', '-SPEC:v', '!COMP:*', 'LANG:IT', 'PHON', 'ADV', 'TAIL:T', '-SPEC:Neg/fin', 'LF:to', '-COMP:uWH', '-SPEC:iR', '-SPEC:T/prt', 'adjoinable', '-SPEC:iWH', '-COMP:T/fin', 'COMP:ARE/inf', 'P', '-COMP:ADV', '-ARG', '-VAL', '-SPEC:ADV', '-SPEC:P', 'COMP:φ', '-SPEC:V', '-SPEC:N', 'PF:a', '-COMP:N', '-SPEC:C', '-SPEC:C/fin', '-COMP:T', '-COMP:A', '-SPEC:FORCE'}
a_D             {'-ARG', '-SPEC:MA/lla', '-SPEC:*', '-SPEC:T/fin', '!COMP:*', 'PHON', 'LANG:EN', 'COMP:n', '-SPEC:INF', '-SPEC:Neg/fin', 'LF:D', '-SPEC:P', 'COMP:φ', '-SPEC:V', 'D', 'adjoinable', '-COMP:P', 'PF:D', '-COMP:T/fin', '!PROBE:N', '-SPEC:C', 'φ', '-COMP:uR', 'COMP:N'}
admire          {'PHON', 'LANG:EN'}
admire          {'PHON', 'LANG:EN'}
admire_fin      {'PHON', 'LANG:EN'}
admire'         {'PHON', 'LANG:EN'}
admires         {'PHON', 'LANG:EN'}
admire-         {'COMP:D', 'COMP:P', '-VAL', 'SPEC:TO/inf', 'LF:admire', 'V', '-SPEC:T/fin', '!COMP:*', 'ASP', 'PHON', 'PHI:PER:_', 'LANG:EN', 'SPEC:ADV', 'CLASS:TR', 'SPEC:P', 'COMP:φ', 'PF:admire', 'PHI:GEN:_', '-COMP:v', 'PHI:DET:_', '-COMP:P', '-SPEC:Neg', '-COMP:T/fin', 'ARG', '-COMP:N', '-COMP:V', 'PHI:NUM:_', '-COMP:Neg', '-SPEC:FORCE'}
admire*         {'PHON', 'LANG:EN'}
T/fin*          {'SPEC:T/prt', '-VAL', 'SPEC:TO/inf', '-SPEC:T/fin', 'NO_NUMBER', '!COMP:*', '-SPEC:v', 'T', 'SPEC:φ', 'PHON', 'PHI:PER:_', 'LANG:EN', 'T/fin', '-SPEC:V', 'COMP:V', '!PROBE:V', 'LF:T', 'SPEC:FORCE', '-SPEC:TO/inf', 'PHI:GEN:_', '-SPEC:N', '-adjoinable', '!SPEC:*', 'SPEC:C/fin', '-SPEC:Neg', '-COMP:T/fin', 'ARG', '-COMP:INF', 'FIN', 'COMP:v', '-SPEC:C', 'NO_DET', "PF:T/fin'"}
v*              {'-VAL', '-SPEC:T/fin', 'NO_NUMBER', '!COMP:*', '-SPEC:v', 'ASP', 'SPEC:φ', 'PHON', 'PHI:PER:_', 'v', 'LANG:EN', 'PF:v', '!PROBE:V', 'COMP:V', 'PHI:GEN:_', '-SPEC:N', 'ARG', 'LF:v', 'NO_DET'}
admire**        {'PHON', 'LANG:EN'}
T/fin**         {'SPEC:TO/inf', '-SPEC:T/fin', '!COMP:*', '-SPEC:v', 'T', 'SPEC:φ', 'PHON', 'T/fin', 'COMP:V', '!PROBE:V', 'LF:T', 'PHI:GEN:_', 'SPEC:C/fin', '-COMP:T/fin', '-COMP:INF', 'FIN', 'COMP:v', 'SPEC:T/prt', '-VAL', 'NO_NUMBER', 'PHI:PER:3', 'NO_PERSON', 'LANG:EN', '-SPEC:V', 'SPEC:FORCE', '-SPEC:TO/inf', "PF:T/fin''", '-SPEC:N', '-adjoinable', '!SPEC:*', '-SPEC:Neg', 'ARG', '-SPEC:C', 'NO_DET'}
adoro           {'PHON', 'LANG:IT'}
adori           {'PHON', 'LANG:IT'}
adora           {'PHON', 'LANG:IT'}
adoriamo        {'PHON', 'LANG:IT'}
adorate         {'PHON', 'LANG:IT'}
adorano         {'PHON', 'LANG:IT'}
adora-          {'COMP:P', '-VAL', 'SPEC:TO/inf', 'LF:admire', 'V', '-SPEC:T/fin', 'LANG:IT', 'ASP', 'PF:adora', 'PHON', 'PHI:PER:_', 'SPEC:ADV', 'SPEC:P', 'COMP:φ', 'PHI:GEN:_', '-COMP:v', 'PHI:DET:_', 'ARG', '-COMP:N', '-COMP:V', 'PHI:NUM:_', '-SPEC:FORCE'}
antaa           {'PHON', 'LANG:FI'}
anta-           {'COMP:P', '-VAL', 'SPEC:TO/inf', 'V', '-SPEC:T/fin', '-COMP:FIN', '!COMP:*', 'ASP', 'PF:antaa', 'SPEC:φ', 'ASP:BOUNDED', 'PHON', 'PHI:PER:_', 'LANG:FI', 'SPEC:ADV', 'SPEC:P', '+SEM:directional', 'COMP:φ', 'PHI:GEN:_', '-COMP:v', 'PHI:DET:_', 'LF:give', 'ARG', '-COMP:N', '-COMP:V', 'PHI:NUM:_', 'CLASS:DITR', '-SPEC:FORCE'}
antoi           {'PHON', 'LANG:FI'}
asks            {'PHON', 'LANG:EN'}
ask-            {'COMP:P', '-VAL', 'SPEC:TO/inf', 'V', '-SPEC:T/fin', 'PF:ask', 'ASP', 'LF:ask', 'SPEC:φ', 'PHON', 'PHI:PER:_', 'LANG:EN', 'SPEC:ADV', 'SPEC:P', 'COMP:φ', 'PHI:GEN:_', '-COMP:v', 'SEM:internal', 'PHI:DET:_', 'ARG', '-COMP:N', '-COMP:V', 'PHI:NUM:_', '-SPEC:FORCE'}
avain_0acc      {'PHON', 'LANG:EN'}
avain_nom       {'PHON', 'LANG:EN'}
avain           {'PHON', 'LANG:EN'}
avaimen_acc     {'PHON', 'LANG:EN'}
avaimen         {'PHON', 'LANG:EN'}
avaimen_gen     {'PHON', 'LANG:EN'}
avaimet         {'PHON', 'LANG:EN'}
avainta         {'PHON', 'LANG:EN'}
avain-          {'COMP:uR', 'COMP:P', '-SPEC:T/fin', 'PHON', 'PF:avain', '-COMP:VA/inf', '-COMP:WH', '-COMP:D', '-COMP:φ', 'COMP:R', '-COMP:C/fin', '-COMP:T/prt', '-COMP:T/fin', 'COMP:C', '-COMP:V', '-SPEC:R', 'COMP:D/rel', '-SPEC:ADV', 'SPEC:A', 'LANG:FI', 'N', '-COMP:AUX', '-SPEC:P', '-SPEC:V', '-SEM:directional', '-SPEC:uWH', '-COMP:v', '-SPEC:N', 'COMP:R/D', 'LF:key', 'COMP:T/prt', '-COMP:N', '-SPEC:C/fin', '-COMP:A', '-SPEC:FORCE'}
auton           {'PHON', 'LANG:FI'}
auto            {'PHON', 'LANG:FI'}
