dummy          {'PHON', 'LANG:EN', 'dummy'}
ali             {'P', 'EF:φ', '-SPEC:FORCE', '-COMP:Neg', 'PHI:GEN:_', '-COMP:A', 'PHI:PER:_', '-COMP:uWH', '-COMP:C/fin', 'PF:yli', 'LANG:FI', '-SPEC:Neg', 'COMP:V', '-SPEC:T/prt', '-SPEC:T/fin', 'COMP:v', '-SPEC:Neg/fin', 'TAM', '-SPEC:v', '-COMP:N', '-SPEC:Adv', '-COMP:MA/A', '-SPEC:C/fin', 'Adv', 'PHI:NUM:_', '-COMP:FORCE', '-COMP:T/fin', 'Inf', 'ARG', 'TAIL:V', '-SPEC:C', '-SPEC:N', '-SPEC:iWH', '-COMP:T', 'COMP:φ', '-COMP:Adv', '-SPEC:iR', 'EF:*', 'LF:over', '-SPEC:V', 'PHI:DET:_', 'adjoinable', 'PHON', '-SPEC:P'}
antaa           {'PHON', 'LANG:FI'}
anta-           {'ASP', '-COMP:N', 'SPEC:φ', '-SPEC:FORCE', 'PHI:GEN:_', '-COMP:Fin', 'PHI:PER:_', '-COMP:V', 'PF:antaa', 'CLASS/DITR', '!COMP:*', 'PHI:NUM:_', 'ARG', 'SPEC:P', 'LANG:FI', 'ASP:BOUNDED', '-PHI', 'COMP:φ', '-COMP:T/prt', 'LF:give', '-SPEC:T/fin', '-COMP:v', '+SEM:directional', 'PHI:DET:_', 'SPEC:TO/inf', 'SPEC:Adv', 'V', 'PHON', '-COMP:P'}
antoi           {'PHON', 'LANG:FI'}
avain_0acc      {'PHON', 'LANG:EN'}
avain_nom       {'PHON', 'LANG:EN'}
avain           {'PHON', 'LANG:EN'}
avaimen_acc     {'PHON', 'LANG:EN'}
avaimen         {'PHON', 'LANG:EN'}
avaimen_gen     {'PHON', 'LANG:EN'}
avaimet         {'PHON', 'LANG:EN'}
avainta         {'PHON', 'LANG:EN'}
avain-          {'-COMP:Neg', '-SPEC:FORCE', '-COMP:A', '-COMP:V', '-COMP:WH', '-COMP:AUX', 'LANG:FI', 'COMP:R/D', 'COMP:C', '-SEM:directional', '-SPEC:T/fin', 'COMP:P', '-COMP:v', 'N', 'COMP:R', '-SPEC:R', 'SPEC:A', '-COMP:φ', 'COMP:VA/inf', '-COMP:N', '-SPEC:Adv', 'SPEC:φ', '-COMP:MA/A', '-SPEC:C/fin', 'COMP:D/rel', '-COMP:T/fin', 'LF:key', '-SPEC:N', '-SPEC:uWH', '-COMP:T/prt', 'COMP:uR', '-SPEC:V', '-COMP:D', 'PF:avain-', 'PHON', '-SPEC:P'}
auton           {'PHON', 'LANG:FI'}
auto            {'PHON', 'LANG:FI'}
auto-           {'-COMP:Neg', '-SPEC:FORCE', '-COMP:A', '-COMP:V', '-COMP:WH', '-COMP:AUX', 'LANG:FI', 'COMP:R/D', 'COMP:C', '-SEM:directional', '-SPEC:T/fin', 'COMP:P', '-COMP:v', 'N', 'COMP:R', '-SPEC:R', 'SPEC:A', '-COMP:φ', 'COMP:VA/inf', '-COMP:N', '-SPEC:Adv', 'SPEC:φ', 'LF:car', '-COMP:MA/A', '-SPEC:C/fin', 'COMP:D/rel', '-COMP:T/fin', '-SPEC:N', '-SPEC:uWH', '-COMP:T/prt', 'COMP:uR', 'PF:auto', '-SPEC:V', '-COMP:D', 'PHON', '-SPEC:P'}
en              {'PHON', 'LANG:FI'}
et              {'PHON', 'LANG:FI'}
ei              {'PHON', 'LANG:FI'}
emme            {'PHON', 'LANG:FI'}
ette            {'PHON', 'LANG:FI'}
eivät           {'PHON', 'LANG:FI'}
ei'             {'EF:φ', 'PHI:GEN:_', '%SPEC:Inf', 'PHI:PER:_', 'PHI:NUM:_', '!COMP:*', '!COMP:T', '-COMP:T/fin', 'POL:NEG', 'ARG', 'Fin', 'Neg/fin', '-SPEC:T', 'LANG:FI', 'NEG', 'LF:neg', 'PF:e-', '-SPEC:T/fin', 'SEM:internal', 'PHI:DET:_', 'COMP:T/prt', 'PHON'}
e-              {'EF:φ', 'PHI:GEN:_', '%SPEC:Inf', 'PHI:PER:_', 'PHI:NUM:_', '!COMP:*', '!COMP:T', '-COMP:T/fin', 'LANG:EN', 'POL:NEG', 'ARG', 'ANG:FI', 'Fin', 'Neg/fin', '-SPEC:T', 'NEG', 'LF:neg', 'PF:e-', '-SPEC:T/fin', 'SEM:internal', 'PHI:DET:_', 'COMP:T/prt', 'PHON'}
elää            {'PHON', 'LANG:FI'}
elä-            {'ASP', '-COMP:N', 'SPEC:φ', '-SPEC:FORCE', 'PHI:GEN:_', 'CLASS/INTR', 'PHI:PER:_', '-COMP:V', 'PHI:NUM:_', 'ARG', 'SPEC:P', 'PF:elää', 'LANG:FI', '-PHI', '-COMP:T/prt', '-SPEC:T/fin', '-COMP:v', 'LF:live', 'PHI:DET:_', 'SPEC:TO/inf', 'SPEC:Adv', 'V', 'PHON', '-COMP:φ'}
etsii           {'PHON', 'LANG:FI'}
