dummy          {'PHON', 'dummy', 'LANG:EN'}
's              {'PHI:NUM:SG', "PF:D('s)", 'PHI:DET:DEF', 'LANG:EN', '-ARG', '!COMP:*', 'COMP:n', 'adjoinable', '-SPEC:INF', 'POSS', 'D', '-SPEC:T/fin', 'COMP:N', '-COMP:P', '!PROBE:N', 'PHI:PER:3', '-COMP:uR', 'COMP:φ', 'PHON', '-SPEC:P', '-SPEC:MA/lla', 'LF:possessive', 'R:NEW:$X$', '-SPEC:Neg/fin', 'φ', '-SPEC:V', '-SPEC:*', '-SPEC:C', '-COMP:T/fin'}
a_IT            {'-ARG', '!COMP:*', '-PHI', '-SPEC:C', 'P', '-SPEC:iWH', '-COMP:T', '-SPEC:Neg/fin', '-SPEC:ADV', '-COMP:uWH', '-COMP:T/fin', '-SPEC:v', 'ADV', '-COMP:ADV', 'adjoinable', '-SPEC:T/fin', 'TAIL:T', 'COMP:ARE/inf', '-SPEC:N', 'LANG:IT', '-SPEC:iR', 'COMP:φ', 'PHON', 'LF:to', '-SPEC:P', '-SPEC:C/fin', '-COMP:A', '-COMP:N', '-SPEC:V', '-SPEC:*', '-SPEC:T/prt', '-SPEC:FORCE', 'PF:a'}
a_D             {'LANG:EN', '-ARG', '!COMP:*', 'COMP:n', 'adjoinable', '-SPEC:INF', 'D', '-SPEC:T/fin', 'COMP:N', '-COMP:P', 'PF:D', 'LF:D', '!PROBE:N', '-COMP:uR', 'COMP:φ', 'PHON', '-SPEC:P', '-SPEC:MA/lla', '-SPEC:Neg/fin', 'φ', '-SPEC:V', '-SPEC:*', '-SPEC:C', '-COMP:T/fin'}
admire          {'LANG:EN', 'PHON'}
admire          {'LANG:EN', 'PHON'}
admire_fin      {'LANG:EN', 'PHON'}
admire'         {'LANG:EN', 'PHON'}
admires         {'LANG:EN', 'PHON'}
admire-         {'COMP:D', 'LANG:EN', '-COMP:V', '!COMP:*', '-PHI', '-COMP:ADV', 'PF:admire', '-SPEC:T/fin', 'SPEC:TO/inf', 'ARG', '-COMP:v', '-COMP:P', 'PHI:DET:_', 'PHI:GEN:_', 'SPEC:ADV', 'PHI:NUM:_', 'LF:admire', 'COMP:φ', 'PHON', 'PHI:PER:_', 'ASP', 'CLASS/TR', '-COMP:Neg', '-SPEC:Neg', '-COMP:N', 'SPEC:P', 'V', '-SPEC:FORCE', '-COMP:T/fin'}
admire*         {'LANG:EN', 'PHON'}
T/fin*          {"PF:T/fin'", '!COMP:*', 'T', 'NO_NUMBER', 'SPEC:TO/inf', 'PHI:GEN:_', 'FIN', 'COMP:V', 'SPEC:FORCE', '-COMP:INF', 'T/fin', 'SPEC:T/prt', '!PROBE:V', 'SPEC:C/fin', '-SPEC:TO/inf', '!SPEC:*', '-COMP:T/fin', '-VAL', 'LANG:EN', '-SPEC:v', 'NO_DET', 'SPEC:φ', '-adjoinable', '-SPEC:T/fin', 'ARG', '-SPEC:N', 'SPEC:D', 'PHON', 'LF:T', 'PHI:PER:_', 'COMP:v', '-SPEC:Neg', '-SPEC:V', '-SPEC:C'}
v*              {'-VAL', 'LANG:EN', '-SPEC:v', 'NO_DET', 'SPEC:φ', '!COMP:*', '-PHI', 'NO_NUMBER', '-SPEC:T/fin', 'ARG', '-SPEC:N', 'PHI:GEN:_', 'v', 'LF:v', 'COMP:V', 'PHON', '!PROBE:V', 'PHI:PER:_', 'PF:v', 'ASP'}
admire**        {'LANG:EN', 'PHON'}
