dummy          {'PHON', 'dummy', 'LANG:EN'}
ali             {'-SPEC:N', '-SPEC:iWH', 'EF:*', 'TAM', 'LF:over', 'COMP:v', '-SPEC:C', 'adjoinable', '-COMP:C/fin', 'ADV', 'LANG:FI', '-SPEC:V', '-SPEC:T/fin', 'PHI:NUM:_', '-SPEC:Neg', '-COMP:ADV', '-COMP:T/fin', 'ARG', '-SPEC:T/prt', '-SPEC:P', 'PHON', 'PF:yli', '-SPEC:Neg/fin', '-COMP:T', '-COMP:A', 'PHI:PER:_', 'PHI:DET:_', '-SPEC:iR', '-SPEC:v', 'COMP:V', 'PHI:GEN:_', 'COMP:φ', 'EF:φ', 'P', '-COMP:uWH', '-COMP:N', '-SPEC:FORCE', '-SPEC:ADV', '-SPEC:C/fin', 'INF', '-COMP:FORCE', 'TAIL:V', '-COMP:MA/A', '-COMP:Neg'}
antaa           {'PHON', 'LANG:FI'}
anta-           {'PF:antaa', '!COMP:*', 'PHI:GEN:_', 'PHI:PER:_', 'PHI:DET:_', 'SPEC:TO/inf', '+SEM:directional', 'COMP:φ', '-COMP:FIN', 'LF:give', 'V', 'CLASS/DITR', '-COMP:T/prt', '-COMP:N', 'SPEC:φ', '-PHI', '-SPEC:FORCE', '-COMP:v', 'LANG:FI', '-COMP:V', 'SPEC:ADV', '-SPEC:T/fin', 'PHI:NUM:_', 'ASP:BOUNDED', '-COMP:P', 'SPEC:P', 'ASP', 'ARG', 'PHON'}
antoi           {'PHON', 'LANG:FI'}
avain_0acc      {'PHON', 'LANG:EN'}
avain_nom       {'PHON', 'LANG:EN'}
avain           {'PHON', 'LANG:EN'}
avaimen_acc     {'PHON', 'LANG:EN'}
avaimen         {'PHON', 'LANG:EN'}
avaimen_gen     {'PHON', 'LANG:EN'}
avaimet         {'PHON', 'LANG:EN'}
avainta         {'PHON', 'LANG:EN'}
avain-          {'-SPEC:N', '-COMP:φ', 'COMP:P', 'COMP:R/D', 'COMP:D/rel', 'LANG:FI', '-SPEC:V', '-SPEC:T/fin', '-COMP:T/fin', 'LF:key', 'SPEC:A', '-SEM:directional', '-SPEC:P', 'PHON', '-COMP:A', 'COMP:C', 'PF:avain', '-COMP:WH', 'COMP:uR', '-SPEC:R', '-COMP:T/prt', '-COMP:N', 'COMP:VA/inf', '-SPEC:FORCE', '-COMP:v', '-SPEC:C/fin', '-COMP:V', '-SPEC:ADV', '-COMP:D', '-COMP:AUX', '-SPEC:uWH', '-COMP:MA/A', '-COMP:Neg', 'N', 'SPEC:φ', 'COMP:R'}
auton           {'PHON', 'LANG:FI'}
auto            {'PHON', 'LANG:FI'}
auto-           {'-SPEC:N', '-COMP:φ', 'COMP:P', 'COMP:R/D', 'COMP:D/rel', 'LANG:FI', '-SPEC:V', '-SPEC:T/fin', 'LF:car', '-COMP:T/fin', 'SPEC:A', '-SEM:directional', '-SPEC:P', 'PHON', '-COMP:A', 'COMP:C', '-COMP:WH', 'COMP:uR', '-SPEC:R', '-COMP:T/prt', '-COMP:N', 'COMP:VA/inf', '-SPEC:FORCE', '-COMP:v', '-SPEC:C/fin', '-COMP:V', '-SPEC:ADV', '-COMP:D', '-COMP:AUX', '-SPEC:uWH', 'PF:auto', '-COMP:MA/A', '-COMP:Neg', 'N', 'SPEC:φ', 'COMP:R'}
en              {'PHON', 'LANG:FI'}
et              {'PHON', 'LANG:FI'}
