Prediction errors:
106. nenä-#AhtA#(t)A 
108. nenä-#AhtA#T/fin#prs#n 
112. nenä-#AhtA#jA 
116. nenä-#AhtA#mAtOn 
118. nenä-#AhtA#mA 
119. nenä-#AhtA#vA 
121. nenä-#Aise#(t)A 
123. nenä-#Aise#T/fin#prs#n 
127. nenä-#Aise#jA 
131. nenä-#Aise#mAtOn 
133. nenä-#Aise#mA 
134. nenä-#Aise#vA 
156. nenä-#O#tAr 
158. nenä-#O#[NOM] 
159. nenä-#O#inen 
160. nenä-#O#mAinen 
162. nenä-#O#tOn 
173. nenä-#Us#[NOM] 
175. nenä-#Us#mAinen 
201. nenä-#(t)e#tAr 
203. nenä-#(t)e#[NOM] 
204. nenä-#(t)e#inen 
205. nenä-#(t)e#mAinen 
496. istu-#UTU#(t)A 
498. istu-#UTU#T/fin#prs#n 
502. istu-#UTU#jA 
506. istu-#UTU#mAtOn 
509. istu-#UTU#vA 
526. istu-#Aise#(t)A 
528. istu-#Aise#T/fin#prs#n 
532. istu-#Aise#jA 
536. istu-#Aise#mAtOn 
538. istu-#Aise#mA 
539. istu-#Aise#vA 
541. istu-#a#(t)A 
543. istu-#a#T/fin#prs#n 
547. istu-#a#jA 
551. istu-#a#mAtOn 
553. istu-#a#mA 
554. istu-#a#vA 
591. istu-#stO#tAr 
593. istu-#stO#[NOM] 
594. istu-#stO#inen 
595. istu-#stO#mAinen 
597. istu-#stO#tOn 
623. istu-#ise#[NOM] 
630. istu-#ise#hkO 
638. istu-#mAise#[NOM] 
645. istu-#mAise#hkO 
741. istu-#jA#tAr 
916. luKe-#AhtA#(t)A 
918. luKe-#AhtA#T/fin#prs#n 
922. luKe-#AhtA#jA 
926. luKe-#AhtA#mAtOn 
928. luKe-#AhtA#mA 
929. luKe-#AhtA#vA 
946. luKe-#a#(t)A 
948. luKe-#a#T/fin#prs#n 
952. luKe-#a#jA 
956. luKe-#a#mAtOn 
958. luKe-#a#mA 
959. luKe-#a#vA 
996. luKe-#stO#tAr 
998. luKe-#stO#[NOM] 
999. luKe-#stO#inen 
1000. luKe-#stO#mAinen 
1002. luKe-#stO#tOn 
1028. luKe-#ise#[NOM] 
1035. luKe-#ise#hkO 
1043. luKe-#mAise#[NOM] 
1050. luKe-#mAise#hkO 
1146. luKe-#jA#tAr 
1321. iso-#AhtA#(t)A 
1323. iso-#AhtA#T/fin#prs#n 
1327. iso-#AhtA#jA 
1331. iso-#AhtA#mAtOn 
1333. iso-#AhtA#mA 
1334. iso-#AhtA#vA 
1336. iso-#Aise#(t)A 
1338. iso-#Aise#T/fin#prs#n 
1342. iso-#Aise#jA 
1346. iso-#Aise#mAtOn 
1348. iso-#Aise#mA 
1349. iso-#Aise#vA 
1351. iso-#a#(t)A 
1353. iso-#a#T/fin#prs#n 
1357. iso-#a#jA 
1361. iso-#a#mAtOn 
1363. iso-#a#mA 
1364. iso-#a#vA 
1371. iso-#O#tAr 
1373. iso-#O#[NOM] 
1374. iso-#O#inen 
1375. iso-#O#mAinen 
1377. iso-#O#tOn 
1388. iso-#Us#[NOM] 
1390. iso-#Us#mAinen 
1401. iso-#stO#tAr 
1403. iso-#stO#[NOM] 
1404. iso-#stO#inen 
1405. iso-#stO#mAinen 
1407. iso-#stO#tOn 
1416. iso-#(t)e#tAr 
1418. iso-#(t)e#[NOM] 
1419. iso-#(t)e#inen 
1420. iso-#(t)e#mAinen 
1448. iso-#mAise#[NOM] 
1455. iso-#mAise#hkO 
1726. nenä-#TA#AhtA#(t)A 
1728. nenä-#TA#AhtA#T/fin#prs#n 
1732. nenä-#TA#AhtA#jA 
1736. nenä-#TA#AhtA#mAtOn 
1738. nenä-#TA#AhtA#mA 
1739. nenä-#TA#AhtA#vA 
1741. nenä-#TA#Aise#(t)A 
1743. nenä-#TA#Aise#T/fin#prs#n 
1747. nenä-#TA#Aise#jA 
1751. nenä-#TA#Aise#mAtOn 
1753. nenä-#TA#Aise#mA 
1754. nenä-#TA#Aise#vA 
1756. nenä-#TA#a#(t)A 
1758. nenä-#TA#a#T/fin#prs#n 
1762. nenä-#TA#a#jA 
1766. nenä-#TA#a#mAtOn 
1768. nenä-#TA#a#mA 
1769. nenä-#TA#a#vA 
1776. nenä-#TA#O#tAr 
1778. nenä-#TA#O#[NOM] 
1779. nenä-#TA#O#inen 
1780. nenä-#TA#O#mAinen 
1782. nenä-#TA#O#tOn 
1806. nenä-#TA#stO#tAr 
1808. nenä-#TA#stO#[NOM] 
1809. nenä-#TA#stO#inen 
1810. nenä-#TA#stO#mAinen 
1812. nenä-#TA#stO#tOn 
1838. nenä-#TA#ise#[NOM] 
1845. nenä-#TA#ise#hkO 
1853. nenä-#TA#mAise#[NOM] 
1860. nenä-#TA#mAise#hkO 
1956. nenä-#TA#jA#tAr 
2101. nenä-#ile#ile#(t)A 
2103. nenä-#ile#ile#T/fin#prs#n 
2107. nenä-#ile#ile#jA 
2111. nenä-#ile#ile#mAtOn 
2113. nenä-#ile#ile#mA 
2114. nenä-#ile#ile#vA 
2116. nenä-#ile#UTU#(t)A 
2118. nenä-#ile#UTU#T/fin#prs#n 
2122. nenä-#ile#UTU#jA 
2126. nenä-#ile#UTU#mAtOn 
2129. nenä-#ile#UTU#vA 
2131. nenä-#ile#AhtA#(t)A 
2133. nenä-#ile#AhtA#T/fin#prs#n 
2137. nenä-#ile#AhtA#jA 
2141. nenä-#ile#AhtA#mAtOn 
2143. nenä-#ile#AhtA#mA 
2144. nenä-#ile#AhtA#vA 
2146. nenä-#ile#Aise#(t)A 
