ï»¿dummy        {'dummy', 'LANG:FI'}
a               {'-SPEC:iWH', 'P', '!COMP:*', '-SPEC:iR', '-SPEC:T/fin', '-COMP:ADV', '!COMP:D', 'LF:to', '-VAL', '-SPEC:P', '-SPEC:*', '-SPEC:ADV', '-COMP:T/fin', '-ARG', '-SPEC:Neg/fin', '-SPEC:C/fin', '-SPEC:V', 'PF:a', '-COMP:N', '-SPEC:N', 'adjoinable', '-SPEC:v', '-SPEC:FORCE', 'LANG:IT', '-COMP:uWH', '-SPEC:INF', 'COMP:ARE/inf'}
admire          ['LANG:EN']
admire'         ['LANG:EN']
admires         ['LANG:EN']
admire-         {'V', 'PF:admire', '-COMP:V', '!COMP:*', '-SPEC:T/fin', 'COMP:D', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', '-COMP:Neg', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:D', 'SPEC:P', 'LANG:FI', '-COMP:N', '-COMP:P', '-SPEC:FORCE', 'CLASS:TR', 'ARG', 'LF:admire', '-SPEC:Neg', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:DET:_', '-COMP:T'}
adoro           ['LANG:IT']
adori           ['LANG:IT']
adora           ['LANG:IT']
adoriamo        ['LANG:IT']
adorate         ['LANG:IT']
adorano         ['LANG:IT']
adora-          {'V', '-COMP:V', '-SPEC:T/fin', 'PHI:GEN:_', 'COMP:D', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:P', '-COMP:N', '-SPEC:FORCE', 'LANG:IT', 'ARG', 'LF:admire', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:DET:_', '-COMP:T', 'PF:adora'}
antoi           ['LANG:FI']
antaa           ['LANG:FI']
anta-           {'V', '-COMP:V', '!COMP:*', '-SPEC:T/fin', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', '-COMP:FIN', 'COMP:P', 'CLASS:DITR', '-COMP:v', 'PHI:PER:_', '+SEM:directional', 'ASP', 'PHI:NUM:_', 'SPEC:D', 'SPEC:P', 'PF:antaa', 'LANG:FI', 'LF:give', '-COMP:N', '-COMP:P', '-SPEC:FORCE', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:DET:_', '-COMP:T'}
asks            ['LANG:EN']
ask-            {'V', '-COMP:V', '-SPEC:T/fin', 'PHI:GEN:_', 'COMP:D', 'SEM:internal', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:D', 'SPEC:P', '-COMP:N', 'LF:ask', '-SPEC:FORCE', 'LANG:EN', 'PF:ask', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:DET:_', '-COMP:T'}
avain_0acc      ['LANG:FI']
avain_nom       ['LANG:FI']
avaimen_acc     ['LANG:FI']
avaimen         ['LANG:FI']
avaimet         ['LANG:FI']
avain-          {'-COMP:V', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', 'LANG:FI', '-SEM:directional', 'LF:key', '-SPEC:R', 'SPEC:A', '-COMP:AUX', '-SPEC:FORCE', '-COMP:P', '-SPEC:N', '-COMP:D', '-SPEC:INF', '-COMP:C/fin', 'PF:avain', 'COMP:uR'}
city            {'-COMP:V', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', 'LF:city', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', '-COMP:AUX', '-SPEC:R', '-COMP:P', 'SPEC:A', '-SPEC:N', '-COMP:D', '-SPEC:FORCE', '-SPEC:INF', 'LANG:EN', '-COMP:C/fin', 'PF:city', 'COMP:uR'}
detesto         ['LANG:IT']
detest-         {'V', '-COMP:V', 'LF:detest', '-SPEC:T/fin', 'COMP:D', 'PHI:GEN:_', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SEM:external', 'SPEC:P', '-COMP:N', '-SPEC:FORCE', 'LANG:IT', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'PF:detest', 'PHI:DET:_', '-COMP:T'}
devono          ['LANG:FI']
deva-           {'V', '-COMP:V', '-SPEC:T/fin', 'PHI:GEN:_', 'SEM:internal', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'PHI:NUM:_', 'PF:deva', 'SPEC:D', 'SPEC:P', '-COMP:N', '-COMP:T', '-SPEC:FORCE', 'LANG:IT', '-ASP', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'LF:must', 'PHI:DET:_', 'COMP:ARE/inf'}
does            {'!COMP:*', 'PHI:GEN:F', '-SPEC:T/fin', 'PHI:GEN:_', 'COMP:D', 'CAT:ARG', 'COMP:v', '!SPEC:D', 'FIN', 'COMP:T/prt', '!SPEC:*', 'LF:does', 'PHI:PER:_', 'PHI:NUM:SG', 'PHI:NUM:_', '-SPEC:C/fin', '-SPEC:V', '!PROBE:V', 'SPEC:D', 'COMP:V', '-SPEC:N', 'VAL', 'PHI:DET:_', 'SPEC:*', 'COMP:Neg', '-SPEC:v', 'T', '-SPEC:FORCE', 'PHI:GEN:M', 'LANG:EN', 'ARG', 'SPEC:TO/inf', 'PHI:PER:3', 'T/fin', 'PF:does'}
does_C          ['LANG:EN']
does-           {'!COMP:*', 'PHI:GEN:F', '-SPEC:T/fin', 'PHI:GEN:_', 'COMP:D', 'CAT:ARG', 'COMP:v', '!SPEC:D', 'FIN', 'COMP:T/prt', '!SPEC:*', 'LF:does', 'PHI:PER:_', 'PHI:NUM:SG', 'PHI:NUM:_', '-SPEC:C/fin', '-SPEC:V', '!PROBE:V', 'SPEC:D', 'COMP:V', '-SPEC:N', 'VAL', 'PHI:DET:_', 'SPEC:*', 'COMP:Neg', '-SPEC:v', 'T', '-SPEC:FORCE', 'PHI:GEN:M', 'LANG:EN', 'ARG', 'SPEC:TO/inf', 'PHI:PER:3', 'T/fin', 'PF:does'}
dorme           ['LANG:IT']
dorme-          {'V', '-COMP:V', '-SPEC:T/fin', '-VAL', 'CAT:ARG', '!SPEC:D', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:P', 'LANG:FI', '-COMP:N', '-SPEC:FORCE', 'ARG', 'LF:sleep', 'SPEC:TO/inf', 'SPEC:ADV', 'PF:dorme', 'PHI:DET:_', '-COMP:T'}
e               ['LANG:IT']
en              ['LANG:FI']
et              ['LANG:FI']
ei              ['LANG:FI']
emme            ['LANG:FI']
ette            ['LANG:FI']
eivat           ['LANG:FI']
e-              {'!COMP:*', '-SPEC:T/fin', 'SEM:internal', 'CAT:ARG', 'FIN', 'COMP:T/prt', '!SPEC:*', 'PHI:PER:_', 'Neg/fin', '%SPEC:INF', 'PHI:NUM:_', 'LANG:FI', '-SPEC:T', 'PHI:DET:_', 'SPEC:*', 'LF:neg', 'NEG', 'ARG', '-COMP:C/fin', 'POL:NEG', 'PF:ei', 'COMP:T', 'VAL'}
elaa            ['LANG:FI']
ela-            {'V', '-COMP:V', '-SPEC:T/fin', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'COMP:P', 'LF:live', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:D', 'SPEC:P', 'LANG:FI', '-COMP:N', 'PF:elaa', '-COMP:D', '-SPEC:FORCE', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'CLASS:INTR', 'PHI:DET:_', '-COMP:T'}
etsii           ['LANG:FI']
etsi-           {'V', 'LF:search', '-COMP:V', 'PF:etsi', '-SPEC:T/fin', 'COMP:D', '!COMP:D', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:P', 'LANG:FI', '-COMP:N', '-SPEC:FORCE', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:DET:_', '-COMP:T'}
etta            {'!COMP:*', 'LANG:FI', 'COMP:T/fin', '!PROBE:T/fin', '-VAL', '-SPEC:*', 'FORCE', 'FIN', 'PF:ettÃ¤', 'COMP:C/fin', '-ARG', 'LF:that'}
