ï»¿dummy        {'dummy', 'LANG:EN'}
a               {'-SPEC:P', '-SPEC:ADV', '-SPEC:v', '-COMP:A', '-SPEC:C', 'adjoinable', '-SPEC:INF', '-SPEC:C/fin', '-SPEC:*', '-COMP:uWH', '-SPEC:iWH', '-SPEC:FORCE', '-SPEC:T/fin', 'PF:a', '-SPEC:Neg/fin', '-COMP:T/fin', 'LF:to', '!COMP:*', '-SPEC:iR', '-COMP:T', '-ARG', '-SPEC:N', 'COMP:D', '-COMP:ADV', 'LANG:IT', 'COMP:ARE/inf', '-SPEC:V', '-VAL', '-COMP:N', 'P', 'TAIL:V'}
a_D             {'LF:D', '-SPEC:P', '-SPEC:C', 'adjoinable', '-COMP:uR', '-SPEC:INF', '-SPEC:T/fin', '-SPEC:Neg/fin', '-COMP:T/fin', '-COMP:D', '!COMP:*', 'PF:D', '-COMP:P', '-ARG', 'D', 'COMP:N', '-SPEC:V', '!PROBE:N', 'LANG:EN', '-SPEC:MA/lla'}
admire          ['LANG:EN']
admire'         ['LANG:EN']
admires         ['LANG:EN']
admire-         {'COMP:P', 'CLASS:TR', 'PHI:GEN:_', '-SPEC:Neg', 'PHI:NUM:_', 'SPEC:ADV', 'V', '-SPEC:T/fin', '-SPEC:FORCE', 'PHI:PER:_', 'ARG', '-COMP:T/fin', '-COMP:V', '!COMP:*', '-COMP:P', 'PHI:DET:_', 'LF:admire', 'COMP:D', 'ASP', '-COMP:v', 'PF:admire', '-COMP:Neg', 'LANG:EN', '-VAL', 'SPEC:TO/inf', 'SPEC:P', '-COMP:N'}
admire*         ['LANG:EN']
T/fin*          {'T/fin', 'FIN', '-SPEC:v', '-SPEC:C', 'PHI:GEN:_', 'SPEC:C/fin', 'COMP:V', 'SPEC:D', '-SPEC:Neg', '-SPEC:TO/inf', "PF:T/fin'", 'PHI:PER:_', '-SPEC:T/fin', 'ARG', '-COMP:T/fin', '!COMP:*', '!SPEC:*', 'T', 'COMP:T/prt', 'COMP:v', '!PROBE:V', 'LF:T', 'NO_DET', 'SPEC:FORCE', '-SPEC:V', '-VAL', 'LANG:EN', 'NO_NUMBER', 'SPEC:TO/inf', '-SPEC:N', '-COMP:INF'}
v*              {'PHI:GEN:_', '!PROBE:V', 'COMP:V', 'NO_DET', 'ASP', 'PF:v', 'SPEC:D', '-VAL', 'LANG:EN', 'v', 'NO_NUMBER', 'PHI:PER:_', 'LF:v', '-SPEC:N', 'ARG', '!COMP:*'}
admire**        ['LANG:EN']
T/fin**         {'T/fin', 'FIN', '-SPEC:v', '-SPEC:C', 'PHI:GEN:_', 'SPEC:C/fin', 'COMP:V', 'SPEC:D', '-SPEC:Neg', '-SPEC:TO/inf', '-SPEC:T/fin', 'PHI:PER:3', 'ARG', '-COMP:T/fin', "PF:T/fin''", '!COMP:*', 'T', '!SPEC:*', 'COMP:T/prt', 'COMP:v', '!PROBE:V', 'NO_PERSON', 'NO_DET', 'LF:T', 'SPEC:FORCE', '-SPEC:V', '-VAL', 'LANG:EN', 'NO_NUMBER', 'SPEC:TO/inf', '-SPEC:N', '-COMP:INF'}
adoro           ['LANG:IT']
adori           ['LANG:IT']
adora           ['LANG:IT']
adoriamo        ['LANG:IT']
adorate         ['LANG:IT']
adorano         ['LANG:IT']
adora-          {'COMP:P', 'PF:adora', 'PHI:GEN:_', 'PHI:NUM:_', 'SPEC:ADV', 'V', '-SPEC:T/fin', '-SPEC:FORCE', 'PHI:PER:_', 'ARG', '-COMP:V', 'SPEC:P', 'PHI:DET:_', 'COMP:D', 'LF:admire', 'LANG:IT', 'ASP', '-COMP:v', '-VAL', 'SPEC:TO/inf', '-COMP:N'}
antaa           ['LANG:FI']
