@  {'test_corpus_file': 'LHM_corpus.txt', 'test_corpus_folder': 'study-4c-LHM', 'study_folder': 'study-4c-LHM/', 'author': 'PauliBrattico', 'year': 2021, 'date': 'March', 'study_id': 1, 'only_first_solution': False, 'logging': True, 'ignore_ungrammatical_sentences': False, 'datatake_resources': True, 'datatake_resource_sequence': False, 'datatake_timings': False, 'datatake_images': False, 'image_parameter_stop_after_each_image': False, 'image_parameter_show_words': True, 'image_parameter_nolabels': False, 'image_parameter_spellout': False, 'image_parameter_case': False, 'image_parameter_show_sentences': False, 'image_parameter_show_glosses': True, 'extra_ranking': True, 'filter': True, 'lexical_anticipation': True, 'closure': 'Bottom-up', 'working_memory': True, 'positive_spec_selection': 100, 'negative_spec_selection': -100, 'break_head_comp_relations': -100, 'negative_tail_test': -100, 'positive_head_comp_selection': 100, 'negative_head_comp_selection': -100, 'negative_semantics_match': -100, 'lf_legibility_condition': -100, 'negative_adverbial_test': -100, 'positive_adverbial_test': 100}
@  2021-03-06 14:38:54.791107
@  Test sentences from language data working directory\study-4c-LHM\LHM_corpus.txt.
@  Logs into language data working directory\study-4c-LHM\LHM_corpus_log.txt.
@  Lexicon from language data working directory\lexicon.txt.
@  Redundancy rules from language data working directory\redundancy_rules.txt.
@  Universal morphemes from language data working directory\ug_morphemes.txt.
@ 
@ 
Number,Sentence,Study_ID,Group 0,Group 1,Total Time,Garden Paths,Memory Reactivation,Steps,Merge,Move Head,Move Phrase,A-Move Phrase,A-bar Move Phrase,Move Adjunct,Agree,Phi,Transfer,Item streamed into syntax,Feature Processing,Extraposition,Inflection,Failed Transfer,LF recovery,LF test,Filter solution,Rank solution,Lexical retrieval,Morphological decomposition,Mean time per word,Asymmetric Merge,Sink,External Tail Test,Execution time (ms)	
1,a' b' c' d' ,1,0,0,410,0,0,5,3,0,0,0,0,0,0,0,10,4,0,0,0,0,0,7,0,0,4,0,102,8,0,0,15
2,a'' b' c' d' ,1,0,0,655,0,0,7,5,10,0,0,0,0,0,0,10,6,0,0,0,0,0,7,2,0,6,1,163,68,2,0,15
3,Pekka istuu ,1,1,0,1365,0,0,4,3,3,1,0,0,1,1,2,3,4,0,0,6,0,1,5,2,1,10,2,682,8,2,8,15
4,Pekka ihailee Merjaa ,1,1,0,2635,0,0,7,6,7,2,0,0,2,2,4,6,7,0,0,12,3,2,9,5,3,19,3,878,18,4,17,31
5,Pekka myi omaisuutensa ,1,1,0,2295,0,0,7,6,7,2,0,0,2,2,4,6,7,0,0,8,3,2,9,5,3,15,3,765,18,4,17,31
6,Pekka istuu tassa ,1,1,0,2255,0,0,9,6,7,3,0,0,3,3,5,8,7,0,0,9,1,2,12,4,3,16,4,751,29,6,31,31
7,Pekka antoi avaimen Merjalle ,1,1,0,3345,0,0,14,9,22,5,0,0,5,6,9,14,10,0,0,11,3,3,22,7,7,21,4,836,83,10,93,78
8,Pekka ei ihaile Merjaa ,1,1,0,2870,0,0,8,7,9,2,0,0,2,7,10,10,8,0,1,12,8,3,15,7,3,20,4,717,26,4,26,46
9,Pekka ei myynyt omaisuuttaan ,1,1,0,2790,0,0,8,7,9,2,0,0,2,7,10,10,8,0,1,9,8,3,15,7,3,17,4,697,26,4,26,46
10,Pekka on' ihaillut Merjaa ,1,1,0,3380,0,0,24,8,14,4,0,0,4,8,11,12,9,0,0,13,6,3,18,7,5,22,4,845,94,15,82,62
11,Pekka ei ollut ihaillut Merjaa ,1,1,0,3655,0,0,9,8,11,3,0,0,3,15,19,15,9,0,1,14,15,4,23,10,4,23,5,731,36,4,37,78
12,Pekka on' myynyt omaisuuttaan ,1,1,0,3090,0,0,24,8,14,4,0,0,4,8,11,12,9,0,0,9,6,3,18,7,5,18,4,772,94,15,82,62
13,Pekka haluaa ihailla Merjaa ,1,1,0,3350,0,0,10,9,17,3,0,0,3,4,8,10,10,3,0,12,7,4,14,9,3,22,4,837,33,6,24,62
14,Pekka haluaa myyda omaisuuttaan ,1,1,0,2950,0,0,10,9,17,3,0,0,3,4,8,10,10,3,0,7,7,4,14,9,3,17,4,737,33,6,24,46
15,Pekan_gen taytyy ihailla Merjaa ,1,1,0,3275,0,0,9,8,13,0,0,0,0,4,9,7,9,3,0,12,7,5,11,8,3,21,4,818,28,5,10,46
16,Pekan_gen taytyy myyda omaisuuttaan ,1,1,0,2875,0,0,9,8,13,0,0,0,0,4,9,7,9,3,0,7,7,5,11,8,3,16,4,718,28,5,10,46
17,Pekan_gen ei taydy ihailla Merjaa ,1,1,0,3625,0,0,10,9,17,0,0,0,0,12,18,12,10,4,1,12,14,6,19,11,3,22,5,725,37,5,13,62
18,Pekan_gen ei taydy myyda omaisuuttaan ,1,1,0,3225,0,0,10,9,17,0,0,0,0,12,18,12,10,4,1,7,14,6,19,11,3,17,5,645,37,5,13,46
19,Pekka ei halua ihailla Merjaa ,1,1,0,3710,0,0,11,10,23,3,0,0,3,12,17,15,11,4,1,12,14,5,22,12,3,23,5,742,46,6,35,78
20,Pekka ei halua myyda omaisuuttaan ,1,1,0,3310,0,0,11,10,23,3,0,0,3,12,17,15,11,4,1,7,14,5,22,12,3,18,5,662,46,6,35,78
