@  {'author': 'Pauli Brattico', 'year': 2021, 'date': 'April', 'study_id': 1, 'study_folder': 'language data working directory/study-4_d-LHM/', 'lexicon_folder': 'language data working directory/lexicons', 'test_corpus_folder': 'language data working directory/study-4_d-LHM/', 'test_corpus_file': 'LHM_corpus.txt', 'only_first_solution': False, 'logging': True, 'ignore_ungrammatical_sentences': False, 'console_output': 'Full', 'datatake_resources': True, 'datatake_resource_sequence': False, 'datatake_timings': False, 'datatake_images': False, 'image_parameter_stop_after_each_image': False, 'image_parameter_show_words': True, 'image_parameter_nolabels': False, 'image_parameter_spellout': False, 'image_parameter_case': False, 'image_parameter_show_sentences': True, 'image_parameter_show_glosses': True, 'extra_ranking': True, 'filter': True, 'lexical_anticipation': True, 'closure': 'Bottom-up', 'working_memory': True, 'positive_spec_selection': 100, 'negative_spec_selection': -100, 'break_head_comp_relations': -100, 'negative_tail_test': -100, 'positive_head_comp_selection': 100, 'negative_head_comp_selection': -100, 'negative_semantics_match': -100, 'lf_legibility_condition': -100, 'negative_adverbial_test': -100, 'positive_adverbial_test': 100}
@  2021-04-14 20:48:17.578383
@  Test sentences from language data working directory\study-4_d-LHM\LHM_corpus.txt.
@  Logs into language data working directory\study-4_d-LHM\LHM_corpus_log.txt.
@  Lexicon from language data working directory\lexicons\lexicon.txt.
@  Redundancy rules from language data working directory\lexicons\redundancy_rules.txt.
@  Universal morphemes from language data working directory\lexicons\ug_morphemes.txt.
@ 
@ 
Number,Sentence,Study_ID,Group 0,Group 1,Total Time,Garden Paths,Memory Reactivation,Steps,Merge,Move Head,Move Phrase,A-Move Phrase,A-bar Move Phrase,Move Adjunct,Agree,Phi,Transfer,Item streamed into syntax,Feature Processing,Extraposition,Inflection,Failed Transfer,LF recovery,LF test,Filter solution,Rank solution,Lexical retrieval,Morphological decomposition,Mean time per word,Asymmetric Merge,Sink,External Tail Test,Execution time (ms)	
1,a' b' c' d' ,1,0,0,220,0,0,5,3,0,0,0,0,0,0,0,10,4,0,0,0,0,0,7,0,0,4,0,55,8,0,0,0
2,a'' b' c' d' ,1,0,0,375,0,0,7,5,10,0,0,0,0,0,0,10,6,0,0,0,0,0,7,2,0,6,1,93,68,2,0,31
3,Pekka istuu ,1,1,0,645,0,0,4,3,3,1,0,0,1,1,2,3,4,0,0,6,0,1,5,2,1,10,2,322,8,2,8,31
4,Pekka ihailee Merjaa ,1,1,0,1250,0,0,7,6,7,2,0,0,2,2,4,6,7,0,0,12,3,2,9,5,3,19,3,416,18,4,17,78
5,Pekka myi omaisuutensa ,1,1,0,1090,0,0,7,6,7,2,0,0,2,2,4,6,7,0,0,8,3,2,9,5,3,15,3,363,18,4,17,31
6,Pekka istuu tassa ,1,1,0,1090,0,0,9,6,7,3,0,0,3,3,5,8,7,0,0,9,1,2,12,4,3,16,4,363,29,6,31,31
7,Pekka antoi avaimen Merjalle ,1,1,0,1645,0,0,14,9,22,5,0,0,5,6,9,14,10,0,0,11,3,3,22,7,7,21,4,411,83,10,93,62
8,Pekka ei ihaile Merjaa ,1,1,0,1370,0,0,8,7,9,2,0,0,2,7,10,10,8,0,1,12,8,3,15,7,3,20,4,342,26,4,26,46
9,Pekka ei myynyt omaisuuttaan ,1,1,0,1320,0,0,8,7,9,2,0,0,2,7,10,10,8,0,1,9,8,3,15,7,3,17,4,330,26,4,26,46
10,Pekka on' ihaillut Merjaa ,1,1,0,1625,0,0,13,8,14,4,0,0,4,8,11,12,9,0,0,13,6,3,18,7,5,22,4,406,47,8,41,62
11,Pekka ei ollut ihaillut Merjaa ,1,1,0,1735,0,0,9,8,11,3,0,0,3,15,19,15,9,0,1,14,15,4,23,10,4,23,5,347,36,4,37,78
12,Pekka on' myynyt omaisuuttaan ,1,1,0,1485,0,0,13,8,14,4,0,0,4,8,11,12,9,0,0,9,6,3,18,7,5,18,4,371,47,8,41,62
13,Pekka haluaa ihailla Merjaa ,1,1,0,1625,0,0,10,9,17,3,0,0,3,4,8,10,10,3,0,12,7,4,14,9,4,22,4,406,33,6,24,62
14,Pekka haluaa myyda omaisuuttaan ,1,1,0,1435,0,0,10,9,17,3,0,0,3,4,8,10,10,3,0,7,7,4,14,9,4,17,4,358,33,6,24,62
15,Pekan_gen taytyy ihailla Merjaa ,1,1,0,1550,0,0,9,8,13,0,0,0,0,4,9,7,9,3,0,12,7,5,11,8,4,21,4,387,28,5,10,62
16,Pekan_gen taytyy myyda omaisuuttaan ,1,1,0,1360,0,0,9,8,13,0,0,0,0,4,9,7,9,3,0,7,7,5,11,8,4,16,4,340,28,5,10,46
17,Pekan_gen ei taydy ihailla Merjaa ,1,1,0,1730,0,0,10,9,17,0,0,0,0,12,18,12,10,4,1,12,14,6,19,11,4,22,5,346,37,5,13,62
18,Pekan_gen ei taydy myyda omaisuuttaan ,1,1,0,1540,0,0,10,9,17,0,0,0,0,12,18,12,10,4,1,7,14,6,19,11,4,17,5,308,37,5,13,78
19,Pekka ei halua ihailla Merjaa ,1,1,0,1815,0,0,11,10,23,3,0,0,3,12,17,15,11,4,1,12,14,5,22,12,4,23,5,363,46,6,35,78
20,Pekka ei halua myyda omaisuuttaan ,1,1,0,1625,0,0,11,10,23,3,0,0,3,12,17,15,11,4,1,7,14,5,22,12,4,18,5,325,46,6,35,78
21,Pekka sanoo etta haluaa ihailla Merjaa ,1,1,0,2390,0,0,21,12,38,6,0,0,6,17,23,23,13,5,0,13,21,6,35,16,6,26,5,398,99,12,55,125
22,Pekka sanoo etta haluaa myyda omaisuuttaan ,1,1,0,2200,0,0,21,12,38,6,0,0,6,17,23,23,13,5,0,8,21,6,35,16,6,21,5,366,99,12,55,125
23,Pekka kaskee poikien ihailla Merjaa ,1,1,0,2230,0,0,12,11,27,4,0,0,4,9,13,17,12,4,2,17,12,4,24,13,4,29,5,446,57,7,38,78
24,Pekka kaskee poikien myyda omaisuuttaan ,1,1,0,2040,0,0,12,11,27,4,0,0,4,9,13,17,12,4,2,12,12,4,24,13,4,24,5,408,57,7,38,109
25,Pekka elaa ihailemalla Merjaa ,1,1,0,1515,0,0,14,8,10,3,0,0,3,5,8,12,9,0,0,12,2,3,14,6,5,21,4,378,59,9,72,46
26,Pekka elaa haluamalla ihailla Merjaa ,1,1,0,1865,0,0,24,11,20,3,0,0,3,6,11,16,12,3,0,12,5,5,17,10,7,24,5,373,99,16,88,78
27,Pekka teki sopimuksen ihailla Merjaa ,1,1,0,2205,0,0,12,11,30,4,0,0,4,6,11,15,12,4,0,16,15,5,23,13,6,28,5,441,52,7,37,78
28,Pekka teki sopimuksen antaa avaimen Merjalle ,1,1,0,2820,0,0,23,14,71,7,0,0,7,10,16,27,15,12,0,15,15,6,42,15,10,30,6,470,212,17,228,156
