ï»¿dummy        {'dummy', 'LANG:EN'}
a               {'!COMP:*', '-SPEC:P', '-SPEC:v', '-SPEC:FORCE', '-SPEC:N', '-SPEC:Neg/fin', '-COMP:ADV', 'COMP:ARE/inf', '-COMP:T/fin', 'COMP:D', 'adjoinable', '-SPEC:ADV', '-SPEC:INF', '-SPEC:C/fin', '-SPEC:T/fin', '-SPEC:C', 'P', '-SPEC:iR', '-SPEC:iWH', '-SPEC:V', '-SPEC:T/prt', '-COMP:T', 'LANG:IT', '-SPEC:*', 'LF:to', '-COMP:N', '-VAL', '-COMP:uWH', 'TAIL:V', '-COMP:A', '-ARG', 'PF:a'}
a_D             {'!COMP:*', '-SPEC:P', '-SPEC:INF', '-COMP:uR', '-SPEC:T/fin', '-SPEC:MA/lla', '-SPEC:C', '-COMP:D', 'PF:D', '-COMP:P', '-SPEC:Neg/fin', 'D', '!PROBE:N', '-COMP:T/fin', 'LANG:EN', 'adjoinable', 'LF:D', 'COMP:N', '-ARG', '-SPEC:V'}
admire          ['LANG:EN']
admire'         ['LANG:EN']
admires         ['LANG:EN']
admire-         {'!COMP:*', 'V', '-SPEC:Neg', '-SPEC:T/fin', 'LF:admire', 'PHI:NUM:_', '-COMP:v', '-SPEC:FORCE', '-COMP:Neg', 'COMP:P', 'SPEC:P', '-COMP:P', 'PHI:DET:_', '-COMP:V', 'CLASS:TR', 'SPEC:ADV', '-COMP:N', 'PHI:PER:_', '-COMP:T/fin', '-VAL', 'COMP:D', 'LANG:EN', 'ASP', 'ARG', 'PF:admire', 'SPEC:TO/inf', 'PHI:GEN:_'}
admire*         ['LANG:EN']
T/fin*          {'!COMP:*', '-SPEC:v', 'FIN', '-SPEC:Neg', 'COMP:T/prt', '-SPEC:T/fin', '!PROBE:V', '-SPEC:C', 'PHI:GEN:_', 'SPEC:C/fin', '-SPEC:N', 'T/fin', '-SPEC:T/prt', '-adjoinable', 'LF:T', '-COMP:INF', '!SPEC:*', 'PHI:PER:_', 'T', '-COMP:T/fin', '-SPEC:TO/inf', '-VAL', 'LANG:EN', 'ARG', 'COMP:V', 'SPEC:TO/inf', 'NO_NUMBER', 'SPEC:D', "PF:T/fin'", 'NO_DET', 'SPEC:FORCE', '-SPEC:V', 'COMP:v'}
v*              {'!COMP:*', 'PHI:PER:_', '!PROBE:V', '-VAL', 'LANG:EN', 'v', 'LF:v', 'ASP', 'ARG', 'COMP:V', '-SPEC:N', 'NO_NUMBER', 'SPEC:D', 'PF:v', 'NO_DET', 'PHI:GEN:_'}
admire**        ['LANG:EN']
T/fin**         {'!COMP:*', '-SPEC:v', 'FIN', 'PHI:GEN:_', 'SPEC:C/fin', '-SPEC:N', '-adjoinable', 'PHI:PER:3', '-COMP:INF', 'SPEC:FORCE', '-COMP:T/fin', '-SPEC:TO/inf', 'COMP:V', 'SPEC:D', 'NO_DET', '-SPEC:Neg', 'COMP:T/prt', '-SPEC:T/fin', '!PROBE:V', '-SPEC:C', "PF:T/fin''", '-SPEC:T/prt', 'LF:T', '!SPEC:*', 'T', 'NO_PERSON', '-VAL', 'LANG:EN', 'ARG', 'NO_NUMBER', 'SPEC:TO/inf', 'T/fin', '-SPEC:V', 'COMP:v'}
adoro           ['LANG:IT']
adori           ['LANG:IT']
adora           ['LANG:IT']
adoriamo        ['LANG:IT']
adorate         ['LANG:IT']
adorano         ['LANG:IT']
adora-          {'V', '-SPEC:T/fin', 'LF:admire', 'PHI:NUM:_', '-COMP:v', '-SPEC:FORCE', 'COMP:P', 'SPEC:P', 'PHI:DET:_', 'LANG:IT', '-COMP:V', 'SPEC:ADV', '-COMP:N', 'PHI:PER:_', '-VAL', 'COMP:D', 'ASP', 'ARG', 'PF:adora', 'SPEC:TO/inf', 'PHI:GEN:_'}
antaa           ['LANG:FI']
anta-           {'!COMP:*', 'V', '-SPEC:T/fin', 'PF:antaa', '-COMP:v', 'PHI:NUM:_', '-SPEC:FORCE', 'COMP:P', 'LF:give', 'ASP:BOUNDED', 'SPEC:P', 'PHI:DET:_', '-COMP:V', 'LANG:FI', '-COMP:FIN', '-COMP:N', 'SPEC:ADV', 'PHI:PER:_', '-VAL', 'ASP', 'ARG', 'COMP:D', '+SEM:directional', 'SPEC:D', 'CLASS:DITR', 'SPEC:TO/inf', 'PHI:GEN:_'}
antoi           ['LANG:FI']
asks            ['LANG:EN']
ask-            {'V', '-SPEC:T/fin', 'SEM:internal', 'PHI:NUM:_', '-COMP:v', '-SPEC:FORCE', 'COMP:P', 'SPEC:P', 'PHI:DET:_', '-COMP:V', 'SPEC:ADV', '-COMP:N', 'PHI:PER:_', '-VAL', 'COMP:D', 'LANG:EN', 'ASP', 'ARG', 'PF:ask', 'SPEC:D', 'SPEC:TO/inf', 'PHI:GEN:_', 'LF:ask'}
avain_0acc      ['LANG:EN']
avain_nom       ['LANG:EN']
avain           ['LANG:EN']
avaimen_acc     ['LANG:EN']
avaimen         ['LANG:EN']
avaimet         ['LANG:EN']
avainta         ['LANG:EN']
avain-          {'-SPEC:P', '-SPEC:INF', 'COMP:T/prt', '-SPEC:C/fin', '-COMP:VA/inf', '-SPEC:T/fin', '-COMP:v', 'N', '-SPEC:FORCE', '-SPEC:N', 'COMP:P', 'COMP:D/rel', '-SPEC:uWH', 'COMP:C', '-COMP:C/fin', 'PF:avain', '-COMP:AUX', '-COMP:V', 'LANG:FI', 'LF:key', '-COMP:WH', 'COMP:R', '-COMP:N', '-SEM:directional', '-SPEC:R', 'COMP:R/D', '-SPEC:ADV', 'SPEC:A', '-COMP:A', 'COMP:uR', '-SPEC:V'}
auton           ['LANG:FI']
auto            ['LANG:FI']
auto-           {'-SPEC:P', '-SPEC:INF', 'COMP:T/prt', '-SPEC:C/fin', '-COMP:VA/inf', '-SPEC:T/fin', 'PF:auto', '-COMP:v', 'N', '-SPEC:FORCE', '-SPEC:N', 'COMP:P', 'COMP:D/rel', '-SPEC:uWH', 'COMP:C', '-COMP:C/fin', '-COMP:AUX', '-COMP:V', 'LANG:FI', 'LF:car', '-COMP:WH', 'COMP:R', '-COMP:N', '-SEM:directional', '-SPEC:R', 'COMP:R/D', '-SPEC:ADV', 'SPEC:A', '-COMP:A', 'COMP:uR', '-SPEC:V'}
bank            {'-SPEC:P', '-SPEC:INF', 'COMP:T/prt', '-SPEC:C/fin', '-COMP:VA/inf', '-SPEC:T/fin', '-COMP:v', 'N', '-SPEC:FORCE', '-SPEC:N', 'COMP:P', 'COMP:D/rel', 'LF:bank_inst', '-SPEC:uWH', 'COMP:C', '-COMP:C/fin', '-COMP:AUX', '-COMP:V', 'COMP:R', '-COMP:WH', '-COMP:N', 'PF:bank1', 'FREQ:1', '-SPEC:R', 'LANG:EN', 'COMP:R/D', '-SPEC:ADV', 'SPEC:A', '-COMP:A', 'COMP:uR', '-SPEC:V'}
bank            {'-SPEC:P', '-SPEC:INF', 'COMP:T/prt', '-SPEC:C/fin', '-COMP:VA/inf', '-SPEC:T/fin', 'LF:bank_river', '-COMP:v', 'N', '-SPEC:FORCE', '-SPEC:N', 'COMP:P', 'COMP:D/rel', '-SPEC:uWH', 'COMP:C', '-COMP:C/fin', '-COMP:AUX', '-COMP:V', 'COMP:R', 'PF:bank2', '-COMP:WH', '-COMP:N', '-SPEC:R', 'LANG:EN', 'COMP:R/D', '-SPEC:ADV', 'SPEC:A', '-COMP:A', 'COMP:uR', 'FREQ:2', '-SPEC:V'}
barn            {'-SPEC:P', '-SPEC:INF', 'COMP:T/prt', '-SPEC:C/fin', '-COMP:VA/inf', '-SPEC:T/fin', '-COMP:v', 'N', '-SPEC:FORCE', '-SPEC:N', 'COMP:P', 'COMP:D/rel', '-SPEC:uWH', 'COMP:C', '-COMP:C/fin', 'LF:barn', '-COMP:AUX', 'PF:barn', '-COMP:V', 'COMP:R', '-COMP:WH', '-COMP:N', '-SPEC:R', 'LANG:EN', 'COMP:R/D', '-SPEC:ADV', 'SPEC:A', '-COMP:A', 'COMP:uR', '-SPEC:V'}
city            {'-SPEC:P', '-SPEC:INF', 'COMP:T/prt', '-SPEC:C/fin', '-COMP:VA/inf', '-SPEC:T/fin', 'LF:city', 'N', '-SPEC:FORCE', '-COMP:v', '-SPEC:N', 'COMP:P', 'COMP:D/rel', '-SPEC:uWH', 'COMP:C', '-COMP:C/fin', '-COMP:AUX', 'PF:city', '-COMP:V', 'COMP:R', '-COMP:WH', '-COMP:N', '-SPEC:R', 'LANG:EN', 'COMP:R/D', '-SPEC:ADV', 'SPEC:A', '-COMP:A', 'COMP:uR', '-SPEC:V'}
che             ['LANG:IT']
che-            {'-SPEC:P', '-COMP:*', '-SPEC:FORCE', '-SPEC:N', 'COMP:P', 'PHI_N', '-COMP:C/fin', 'PF:che', '-COMP:WH', '-SPEC:R', '-SPEC:ADV', '-SPEC:INF', 'COMP:T/prt', '-SPEC:C/fin', '-COMP:VA/inf', '-SPEC:T/fin', 'LF:who', 'N', '-COMP:v', 'COMP:D/rel', '-SPEC:uWH', 'COMP:C', '-COMP:AUX', 'LANG:IT', '-COMP:V', 'COMP:R', '-COMP:N', 'COMP:R/D', 'SPEC:A', '-COMP:A', 'COMP:uR', '-SPEC:V'}
chiamato        ['LANG:IT']
chiamata-       {'V', '-SPEC:T/fin', 'PHI:NUM:_', '-COMP:v', '-SPEC:FORCE', 'COMP:P', 'SPEC:P', 'PHI:DET:_', 'LANG:IT', 'LF:called', '-COMP:V', 'SPEC:ADV', '-COMP:N', 'PHI:PER:_', '-VAL', 'ASP', 'ARG', 'PF:chiamato', 'SPEC:TO/inf', 'PHI:GEN:_'}
claims          ['LANG:EN']
claim-          {'V', 'LF:claim', 'COMP:T/fin', '-SPEC:T/fin', 'PHI:NUM:_', '-COMP:v', '-COMP:D', '-SPEC:FORCE', 'COMP:P', 'SPEC:P', 'PHI:DET:_', '-COMP:V', 'SPEC:ADV', '-COMP:N', 'PHI:PER:_', 'PF:claim', 'LANG:EN', '-VAL', 'ASP', 'ARG', 'SPEC:D', 'SPEC:TO/inf', 'PHI:GEN:_'}
danno           {'-SPEC:P', '-SPEC:INF', 'COMP:T/prt', '-SPEC:C/fin', '-COMP:VA/inf', '-SPEC:T/fin', '-COMP:v', 'N', '-SPEC:FORCE', '-SPEC:N', 'COMP:P', 'COMP:D/rel', '-SPEC:uWH', 'COMP:C', '-COMP:C/fin', '-COMP:AUX', 'LANG:IT', '-COMP:V', 'COMP:R', '-COMP:WH', '-COMP:N', '-SPEC:R', 'LF:damage', 'COMP:R/D', '-SPEC:ADV', 'SPEC:A', '-COMP:A', 'COMP:uR', 'PF:danno', '-SPEC:V'}
del             ['LANG:IT']
della           ['LANG:IT']
detesto         ['LANG:IT']
detesto         ['LANG:IT']
detest-         {'V', '-SPEC:T/fin', 'SEM:internal', 'PHI:NUM:_', '-COMP:v', 'PF:detest', '-SPEC:FORCE', 'COMP:P', 'SPEC:P', 'PHI:DET:_', 'COMP:ARE/inf', 'LANG:IT', '-COMP:V', 'SPEC:ADV', '-COMP:N', 'PHI:PER:_', '-VAL', 'COMP:D', 'ASP', 'ARG', 'LF:detest', 'SPEC:TO/inf', 'PHI:GEN:_'}
devono          ['LANG:EN']
deva-           {'V', '-SPEC:T/fin', '-ASP', 'SEM:internal', 'PHI:NUM:_', '-COMP:v', '-SPEC:FORCE', 'COMP:P', 'SPEC:P', 'PF:deva', 'PHI:DET:_', 'LF:must', 'COMP:ARE/inf', 'LANG:IT', '-COMP:V', 'SPEC:ADV', '-COMP:N', 'PHI:PER:_', '-VAL', 'ARG', 'SPEC:D', 'SPEC:TO/inf', 'PHI:GEN:_'}
