ï»¿dummy        {'LANG:EN', 'dummy'}
a               {'-SPEC:*', '-SPEC:C', '-SPEC:P', '-COMP:uWH', '-SPEC:FORCE', '-SPEC:iR', 'TAIL:V', 'LF:to', '-ARG', '-SPEC:T/fin', 'P', 'LANG:IT', '-COMP:N', '-COMP:T/fin', 'adjoinable', 'COMP:D', '-SPEC:v', '-SPEC:iWH', 'COMP:ARE/inf', '-SPEC:C/fin', '-COMP:ADV', '-SPEC:N', '-SPEC:INF', '-VAL', '!COMP:*', '-SPEC:ADV', 'PF:a', '-SPEC:Neg/fin', '-SPEC:V'}
a_D             {'-SPEC:C', '-COMP:D', '-SPEC:P', 'OP', '!PROBE:N', 'LF:D', '-SPEC:T/fin', '-ARG', 'LANG:EN', 'D', '-COMP:T/fin', 'COMP:N', 'adjoinable', '-COMP:uR', '-SPEC:MA/lla', '-SPEC:INF', '-SPEC:V', '!COMP:*', '-SPEC:Neg/fin', 'PF:D'}
admire          ['LANG:EN']
admire'         ['LANG:EN']
admires         ['LANG:EN']
admire-         {'-COMP:v', 'PHI:NUM:_', 'CLASS:TR', '-SPEC:FORCE', '-SPEC:T/fin', 'PHI:GEN:_', 'COMP:P', 'LANG:EN', '!COMP:*', '-COMP:Neg', 'SPEC:ADV', 'ASP', 'SPEC:TO/inf', '-COMP:N', 'PF:admire', '-COMP:T/fin', 'COMP:D', 'V', 'PHI:DET:_', '-COMP:P', '-SPEC:Neg', 'SPEC:P', '-VAL', 'LF:admire', 'ARG', '-COMP:V', 'PHI:PER:_'}
admire*         ['LANG:EN']
T/fin*          {'LANG:EN', "PF:T/fin'", 'NO_DET', 'LF:T', '-VAL', 'CAT:T/fin', 'NO_NUMBER', '!SPEC:*'}
v*              {'NO_DET', 'LF:v', 'NO_NUMBER', 'CAT:v', 'PF:v', '-VAL', 'LANG:EN'}
admire**        ['LANG:EN']
T/fin**         {'NO_PERSON', 'PHI:PER:3', 'LANG:EN', 'NO_DET', 'LF:T', '-VAL', 'CAT:T/fin', 'NO_NUMBER', '!SPEC:*', "PF:T/fin''"}
adoro           ['LANG:IT']
adori           ['LANG:IT']
adora           ['LANG:IT']
adoriamo        ['LANG:IT']
adorate         ['LANG:IT']
adorano         ['LANG:IT']
adora-          {'-COMP:v', 'PHI:NUM:_', '-SPEC:FORCE', '-SPEC:T/fin', 'PHI:GEN:_', 'COMP:P', 'LANG:IT', 'SPEC:TO/inf', 'SPEC:ADV', 'ASP', '-COMP:N', '-COMP:T/fin', 'COMP:D', 'V', 'PHI:DET:_', 'PF:adora', 'SPEC:P', '-VAL', 'LF:admire', 'ARG', '-COMP:V', 'PHI:PER:_'}
antaa           ['LANG:FI']
anta-           {'-COMP:v', 'PHI:NUM:_', '-SPEC:FORCE', '-SPEC:T/fin', 'CLASS:DITR', 'COMP:P', 'SPEC:D', 'SPEC:ADV', 'ASP', 'SPEC:TO/inf', '-COMP:N', '-COMP:T/fin', '-COMP:FIN', 'ASP:BOUNDED', 'LF:give', 'LANG:FI', 'COMP:D', 'V', 'PHI:DET:_', 'SPEC:P', '+SEM:directional', '-VAL', '!COMP:*', 'ARG', '-COMP:V', 'PF:antaa', 'PHI:PER:_'}
antoi           ['LANG:FI']
asks            ['LANG:EN']
ask'            {'-COMP:v', 'PF:ask', 'PHI:NUM:_', '-SPEC:FORCE', '-SPEC:T/fin', 'PHI:GEN:_', 'COMP:P', 'SPEC:D', 'LANG:EN', 'SPEC:ADV', 'ASP', 'SPEC:TO/inf', '-COMP:N', '-COMP:T/fin', 'COMP:D', 'SEM:internal', 'LF:ask', 'V', 'PHI:DET:_', 'SPEC:P', '-VAL', 'ARG', '-COMP:V', 'PHI:PER:_'}
ask-            {'-COMP:v', 'PF:ask', 'PHI:NUM:_', '-SPEC:FORCE', '-SPEC:T/fin', 'PHI:GEN:_', 'COMP:P', 'SPEC:D', 'LANG:EN', 'SPEC:ADV', 'ASP', 'SPEC:TO/inf', '-COMP:N', '-COMP:T/fin', 'COMP:D', 'SEM:internal', 'LF:ask', 'V', 'PHI:DET:_', 'SPEC:P', '-VAL', 'ARG', '-COMP:V', 'PHI:PER:_'}
avain_0acc      ['LANG:EN']
avain_nom       ['LANG:EN']
avain           ['LANG:EN']
avaimen_acc     ['LANG:EN']
avaimen         ['LANG:EN']
avaimet         ['LANG:EN']
avainta         ['LANG:EN']
