,Number,Sentence,Garden Paths,Mean time per word
206,207,towards which city does_C Seine flow' ,189,7063
214,215,Seine saavuttaa meren virtaamalla kohti Pariisia ,138,6305
148,149,se' mies jota Merja ihaili lahti ,137,7320
300,301,Pekka sanoi niiden kahden sukan haviavan ,53,2231
687,688,Pekka kirjan antoi Merjalle ,48,3577
691,692,kirjan Pekka antoi Merjalle ,48,3564
182,183,Pekka naki avaimen_acc Merjan_gen lahtiessa ,42,2711
227,228,Pekka teki sen Merjan_gen kellon_n ,37,2576
702,703,Merjalle kirjan antoi Pekka ,27,2789
127,128,Pekka teki sopimuksen antaa avaimen Merjalle ,26,1687
207,208,mita kaupunkia kohti Seine virtaa ,25,1536
949,950,Pekka Merjan_gen kaskee lahtea ,20,2018
697,698,Merjalle Pekka antoi kirjan ,20,1987
950,951,Merjan_gen Pekka kaskee lahtea ,20,1968
208,209,mita kaupunkia kohti virtaamalla Seine saavuttaa meren ,20,1166
698,699,Merjalle Pekka kirjan antoi ,12,1371
701,702,Merjalle kirjan Pekka antoi ,12,1335
690,691,Pekka Merjalle kirjan antoi ,12,1326
695,696,kirjan Merjalle Pekka antoi ,12,1316
1006,1007,does#C/fin John admire' Mary ,10,1378
142,143,se mies joka nukkui lahti ,10,1136
216,217,se' Merjan_gen kello havisi ,10,1097
294,295,se Merjan_gen kello havisi ,10,1091
954,955,lahtea#C/op Pekka Merjan_gen kaskee ,8,1362
1023,1024,ihaillut#C/op Merjaa on' Pekka ,7,1350
1026,1027,myynyt#C/op omaisuuttaan on' Pekka ,7,1265
171,172,Pekka naki Merjan_acc lahtematta ,6,1044
664,665,Pekka etsii Merjaa juosten ,6,1012
198,199,who does_C John admire' ,5,868
197,198,who does John admire' ,5,766
299,300,Pekka loysi ne kaksi_2 sukkaa ,5,729
425,426,he_FI Merjaa ihailevat ,4,1226
426,427,Merjaa he_FI ihailevat ,4,1211
680,681,Pekka Merjaa ihailee ,4,1209
413,414,han Merjaa ihailee ,4,1201
405,406,mina Merjaa ihailen ,4,1193
409,410,sina Merjaa ihailet ,4,1193
681,682,Merjaa Pekka ihailee ,4,1193
414,415,Merjaa han ihailee ,4,1184
406,407,Merjaa mina ihailen ,4,1178
410,411,Merjaa sina ihailet ,4,1178
417,418,me Merjaa ihailemme ,4,1176
421,422,te Merjaa ihailette ,4,1176
418,419,Merjaa me ihailemme ,4,1161
422,423,Merjaa te ihailette ,4,1161
181,182,Pekka naki Merjan_acc lahtiessaan ,4,1063
131,132,Merja nukkui Pekan_gen lahella_2 ,4,1004
280,281,Merja nukkui Pekan_gen lahella_2 ,4,1004
194,195,keta Pekka ihailee ,4,1001
180,181,Pekka naki Merjan_acc lahtiessa ,4,992
172,173,Pekka naki Merjan_acc lahtemalla ,4,984
696,697,kirjan Merjalle antoi Pekka ,4,897
192,193,Pekka lahtee juosten ,4,861
665,666,John promises Mary to_inf leave ,4,662
311,312,Pekka nukkui#asp koko paivan ,3,798
314,315,Pekka ihailee#asp Merjaa koko paivan ,3,765
313,314,me nukuttiin koko paiva ,3,759
116,117,se' pieni punainen talo ,1,277
117,118,se' punainen pieni talo ,1,277
162,163,se' pieni punainen talo ,1,277
163,164,se' punainen pieni talo ,1,277
119,120,the little red key ,1,246
159,160,the little red key ,1,246
1224,1225,gli=la=hanno lavata ,0,1860
1126,1127,mi=lavano ,0,1685
1128,1129,la=lavano ,0,1685
1130,1131,lo=lavano ,0,1685
1241,1242,mi=lavo ,0,1610
1243,1244,mi=lavi ,0,1610
1223,1224,loro gli=la=hanno lavata ,0,1433
1141,1142,la=hanno lavata ,0,1270
1140,1141,mi=hanno lavato ,0,1130
1142,1143,lo=hanno lavato ,0,1130
1231,1232,sembrano lavare=mi ,0,1127
1125,1126,loro mi=lavano ,0,1120
1127,1128,loro la=lavano ,0,1120
1129,1130,loro lo=lavano ,0,1120
1194,1195,stanno lavando=mi ,0,1097
1195,1196,stanno lavando=la ,0,1097
1196,1197,stanno lavando=lo ,0,1097
1240,1241,io mi=lavo ,0,1087
1242,1243,tu mi=lavi ,0,1087
1172,1173,devono lavare=mi ,0,1085
1174,1175,devono lavare=la ,0,1085
1176,1177,devono lavare=lo ,0,1085
1171,1172,mi=devono lavare ,0,1060
1173,1174,la=devono lavare ,0,1060
1175,1176,lo=devono lavare ,0,1060
1190,1191,mi=stanno lavando ,0,1060
1191,1192,la=stanno lavando ,0,1060
1192,1193,lo=stanno lavando ,0,1060
1139,1140,loro la=hanno lavata ,0,1035
977,978,ihailee#C/op Pekka Merjaa ,0,1006
976,977,ihailee#foc Pekka Merjaa ,0,998
996,997,ihailee#C/fin Pekka Merjaa ,0,961
1207,1208,hanno voluto lavare=mi ,0,945
1138,1139,loro mi=hanno lavato ,0,941
1214,1215,loro mi=hanno lavato ,0,941
1229,1230,loro sembrano lavare=mi ,0,940
1193,1194,loro stanno lavando=mi ,0,920
1206,1207,mi=hanno voluto lavare ,0,918
1166,1167,loro devono lavare=mi ,0,911
1168,1169,loro devono lavare=la ,0,911
1170,1171,loro devono lavare=lo ,0,911
975,976,istuu#C/op Pekka ,0,907
1024,1025,ihailla#C/op Merjaa haluaa Pekka ,0,897
322,323,Merjaa pelottaa ,0,895
974,975,istuu#foc Pekka ,0,895
1165,1166,loro mi=devono lavare ,0,895
1167,1168,loro la=devono lavare ,0,895
1169,1170,loro lo=devono lavare ,0,895
1189,1190,loro mi=stanno lavando ,0,895
1020,1021,ihailla#C/op Pekan_gen taytyy Merjaa ,0,888
1018,1019,ihailla#C/op Pekka haluaa Merjaa ,0,886
636,637,Merjaa ihailevat ,0,882
1016,1017,ihaillut#C/op Pekka on' Merjaa ,0,878
427,428,Merjaa ihailevat he_FI ,0,873
990,991,taytyy#C/op Pekan_gen ihailla Merjaa ,0,872
247,248,Pekka voitti Merjan ,0,870
248,249,Pekka voitti Merjaa ,0,870
992,993,haluaa#C/op Pekka ihailla Merjaa ,0,870
953,954,kaskee#C/op Pekka Merjan_gen lahtea ,0,866
979,980,myi#C/op Pekka omaisuutensa ,0,860
344,345,he_FI ihailevat Merjaa ,0,858
424,425,he_FI ihailevat Merjaa ,0,858
614,615,ihailemme Merjaa ,0,857
615,616,ihailette Merjaa ,0,857
682,683,Merjaa ihailee Pekka ,0,856
15,16,Pekka loysi Merjan ,0,853
978,979,myi#foc Pekka omaisuutensa ,0,851
249,250,Pekka tonaisi Merjaa ,0,850
1230,1231,Giuseppe spinge Luisa a lavare=lo ,0,849
415,416,Merjaa ihailee han ,0,848
635,636,Merjaa ihailen ,0,847
1205,1206,loro hanno voluto lavare=mi ,0,847
195,196,kuka ihailee Merjaa ,0,843
994,995,on'#C/op Pekka ihaillut Merjaa ,0,842
14,15,Pekka ihailee Merjaa ,0,841
234,235,Pekka ihailee Merjaa ,0,841
679,680,Pekka ihailee Merjaa ,0,841
173,174,Pekka naki Merjan_acc ihailemassa Jukkaa ,0,838
217,218,Pekka naki Merjan_acc ihailemassa Jukkaa ,0,838
998,999,taytyy#C/fin Pekan_gen ihailla Merjaa ,0,838
999,1000,haluaa#C/fin Pekka ihailla Merjaa ,0,836
341,342,han ihailee Merjaa ,0,833
407,408,Merjaa ihailen mina ,0,833
411,412,Merjaa ihailet sina ,0,833
412,413,han ihailee Merjaa ,0,833
612,613,ihailen Merjaa ,0,832
613,614,ihailet Merjaa ,0,832
634,635,ihailen Merjaa ,0,832
1204,1205,loro mi=hanno voluto lavare ,0,832
18,19,Giuseppe spinge Luisa ,0,825
339,340,mina ihailen Merjaa ,0,825
340,341,sina ihailet Merjaa ,0,825
397,398,ihailen Merjaa mina ,0,825
399,400,ihailet Merjaa sina ,0,825
404,405,mina ihailen Merjaa ,0,825
408,409,sina ihailet Merjaa ,0,825
396,397,ihailen mina Merjaa ,0,821
398,399,ihailet sina Merjaa ,0,821
419,420,Merjaa ihailemme me ,0,816
423,424,Merjaa ihailette te ,0,816
1001,1002,myi#C/fin Pekka omaisuuttaan ,0,815
1232,1233,spinge Luisa a lavare=lo ,0,811
342,343,me ihailemme Merjaa ,0,808
343,344,te ihailette Merjaa ,0,808
400,401,ihailette Merjaa te ,0,808
402,403,ihailemme Merjaa me ,0,808
416,417,me ihailemme Merjaa ,0,808
420,421,te ihailette Merjaa ,0,808
1000,1001,on'#C/fin Pekka ihaillut Merjaa ,0,808
401,402,ihailemme me Merjaa ,0,805
403,404,ihailette te Merjaa ,0,805
250,251,Pekka pesi Merjan ,0,800
251,252,Pekka pesi Merjaa ,0,800
330,331,avain_0acc loydettiin ,0,800
941,942,haluaa#C/op Pekka lahtea ,0,798
108,109,Pekka sanoo ihailevansa Merjaa ,0,797
1017,1018,myynyt#C/op Pekka on' omaisuutensa ,0,793
271,272,me haluttiin voittaa Merja_0acc ,0,790
331,332,loydettiin avain_0acc ,0,785
1027,1028,myyda#C/op omaisuuttaan haluaa Pekka ,0,785
94,95,Pekka kaskee poikien ihailla Merjaa ,0,784
126,127,Pekka teki sopimuksen ihailla Merjaa ,0,781
252,253,Pekka pesi hanet ,0,780
