ï»¿dummy        {'LANG:EN', 'dummy'}
a               {'-ARG', '-SPEC:iR', '-SPEC:ADV', 'LF:to', 'adjoinable', '-SPEC:V', '-COMP:T/fin', '-SPEC:FORCE', 'LANG:IT', 'P', 'COMP:ARE/inf', 'PF:a', 'TAIL:V', '-SPEC:INF', '!COMP:*', '-SPEC:N', '-COMP:N', '-SPEC:*', '-SPEC:T/fin', '-VAL', '-SPEC:iWH', '-SPEC:Neg/fin', '-SPEC:C', '-SPEC:v', '-COMP:ADV', '-SPEC:C/fin', 'COMP:D', '-COMP:uWH', '-SPEC:P'}
a_D             {'-ARG', '-COMP:uR', 'OP', 'adjoinable', '-SPEC:V', '-COMP:T/fin', 'LANG:EN', 'PF:D', 'LF:D', '!COMP:*', '-SPEC:INF', '-SPEC:MA/lla', '-SPEC:T/fin', '-COMP:D', '-SPEC:Neg/fin', '-SPEC:C', 'D', '!PROBE:N', 'COMP:N', '-SPEC:P'}
admire          ['LANG:EN']
admire'         ['LANG:EN']
admires         ['LANG:EN']
admire-         {'-SPEC:Neg', 'PF:admire', 'PHI:PER:_', 'LF:admire', 'PHI:NUM:_', '-COMP:T/fin', 'LANG:EN', '-SPEC:FORCE', '-COMP:P', 'CLASS:TR', '!COMP:*', 'COMP:P', '-COMP:Neg', 'PHI:GEN:_', 'ARG', '-COMP:N', 'SPEC:P', 'SPEC:ADV', '-SPEC:T/fin', '-COMP:V', '-VAL', 'V', 'SPEC:TO/inf', 'ASP', 'COMP:D', '-COMP:v', 'PHI:DET:_'}
admire*         ['LANG:EN']
T/fin*          {'!SPEC:*', 'CAT:T/fin', "PF:T/fin'", 'NO_DET', '-VAL', 'NO_NUMBER', 'LANG:EN', 'LF:T'}
v*              {'LANG:EN', 'LF:v', 'NO_DET', 'PF:v', '-VAL', 'NO_NUMBER', 'CAT:v'}
admire**        ['LANG:EN']
T/fin**         {'NO_PERSON', '!SPEC:*', 'CAT:T/fin', 'PHI:PER:3', 'NO_DET', '-VAL', 'NO_NUMBER', 'LANG:EN', "PF:T/fin''", 'LF:T'}
adoro           ['LANG:IT']
adori           ['LANG:IT']
adora           ['LANG:IT']
adoriamo        ['LANG:IT']
adorate         ['LANG:IT']
adorano         ['LANG:IT']
