ï»¿dummy        {'dummy', 'LANG:EN'}
a               {'COMP:ARE/inf', 'LF:to', 'COMP:D', '-SPEC:P', 'LANG:IT', '-SPEC:V', '-SPEC:Neg/fin', '-COMP:uWH', '-SPEC:T/fin', '-SPEC:INF', '-SPEC:iWH', '-SPEC:FORCE', '-COMP:T/fin', '-SPEC:C/fin', '-SPEC:C', '-ARG', '-SPEC:iR', '-SPEC:v', 'adjoinable', 'P', '-COMP:N', '-SPEC:N', '!COMP:*', '-SPEC:ADV', 'TAIL:V', 'PF:a', '-SPEC:*', '-COMP:ADV', '-VAL'}
a_D             {'-COMP:uR', '-COMP:D', '-SPEC:MA/lla', '-SPEC:P', '!PROBE:N', '-SPEC:V', '-SPEC:Neg/fin', 'PF:D', '-SPEC:T/fin', '-SPEC:INF', '-COMP:T/fin', 'LF:D', '-SPEC:C', '-ARG', 'COMP:N', 'D', 'adjoinable', 'LANG:EN', '!COMP:*', 'OP'}
admire          ['LANG:EN']
admire'         ['LANG:EN']
admires         ['LANG:EN']
admire-         {'CLASS:TR', '-COMP:Neg', 'ARG', 'COMP:D', 'COMP:P', '-COMP:P', '-SPEC:T/fin', 'SPEC:TO/inf', 'PHI:PER:_', 'SPEC:ADV', 'PHI:NUM:_', 'PHI:GEN:_', '-COMP:T/fin', 'PHI:DET:_', 'ASP', '-COMP:N', 'SPEC:P', 'V', 'LANG:EN', 'LF:admire', '-SPEC:Neg', '!COMP:*', 'PF:admire', '-COMP:V', '-COMP:v', '-SPEC:FORCE', '-VAL'}
admire*         ['LANG:EN']
T/fin*          {'LF:T', "PF:T/fin'", '!SPEC:*', 'LANG:EN', 'CAT:T/fin', 'NO_DET', 'NO_NUMBER', '-VAL'}
v*              {'PF:v', '-VAL', 'LF:v', 'NO_NUMBER', 'NO_DET', 'LANG:EN', 'CAT:v'}
admire**        ['LANG:EN']
T/fin**         {'LF:T', 'NO_PERSON', '!SPEC:*', 'LANG:EN', 'PHI:PER:3', "PF:T/fin''", 'CAT:T/fin', 'NO_DET', 'NO_NUMBER', '-VAL'}
adoro           ['LANG:IT']
adori           ['LANG:IT']
adora           ['LANG:IT']
adoriamo        ['LANG:IT']
adorate         ['LANG:IT']
adorano         ['LANG:IT']
adora-          {'ARG', 'COMP:D', 'LANG:IT', 'COMP:P', '-SPEC:T/fin', 'SPEC:TO/inf', 'PHI:PER:_', 'SPEC:ADV', 'PHI:NUM:_', 'PHI:GEN:_', '-COMP:T/fin', 'PHI:DET:_', 'ASP', 'PF:adora', '-COMP:N', 'SPEC:P', 'V', 'LF:admire', '-COMP:V', '-COMP:v', '-SPEC:FORCE', '-VAL'}
antaa           ['LANG:FI']
anta-           {'ASP:BOUNDED', 'ARG', 'COMP:D', '-COMP:FIN', 'CLASS:DITR', 'LANG:FI', 'COMP:P', '+SEM:directional', '-SPEC:T/fin', 'SPEC:TO/inf', 'SPEC:D', 'SPEC:ADV', 'PHI:NUM:_', 'PHI:PER:_', '-COMP:T/fin', 'PHI:DET:_', 'ASP', 'LF:give', '-COMP:N', 'SPEC:P', 'V', 'PF:antaa', '!COMP:*', '-COMP:V', '-COMP:v', '-SPEC:FORCE', '-VAL'}
antoi           ['LANG:FI']
asks            ['LANG:EN']
ask'            {'ARG', 'COMP:D', 'COMP:P', 'SPEC:D', 'SEM:internal', '-SPEC:T/fin', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:NUM:_', 'PHI:PER:_', 'PHI:GEN:_', '-COMP:T/fin', 'PHI:DET:_', 'ASP', '-COMP:N', 'SPEC:P', 'V', 'LANG:EN', '-COMP:v', '-COMP:V', 'PF:ask', '-SPEC:FORCE', '-VAL', 'LF:ask'}
ask-            {'ARG', 'COMP:D', 'COMP:P', 'SPEC:D', 'SEM:internal', '-SPEC:T/fin', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:NUM:_', 'PHI:PER:_', 'PHI:GEN:_', '-COMP:T/fin', 'PHI:DET:_', 'ASP', '-COMP:N', 'SPEC:P', 'V', 'LANG:EN', '-COMP:v', '-COMP:V', 'PF:ask', '-SPEC:FORCE', '-VAL', 'LF:ask'}
avain_0acc      ['LANG:EN']
avain_nom       ['LANG:EN']
avain           ['LANG:EN']
avaimen_acc     ['LANG:EN']
avaimen         ['LANG:EN']
avaimet         ['LANG:EN']
avainta         ['LANG:EN']
avain-          {'N', '-SPEC:uWH', '-COMP:A', '-COMP:WH', '-COMP:C/fin', '-SPEC:P', '-SPEC:V', 'LANG:FI', 'COMP:P', 'COMP:uR', '-SPEC:T/fin', '-SPEC:R', 'COMP:R/D', '-SPEC:INF', 'COMP:R', '-SPEC:C/fin', '-COMP:N', 'SPEC:A', 'COMP:C', '-SPEC:N', '-COMP:AUX', '-SEM:directional', '-COMP:v', 'PF:avain', '-COMP:V', '-SPEC:ADV', 'LF:key', '-SPEC:FORCE'}
auton           ['LANG:FI']
auto            ['LANG:FI']
auto-           {'-SPEC:uWH', '-COMP:A', '-COMP:WH', '-COMP:C/fin', '-SPEC:P', '-SPEC:V', 'LANG:FI', 'LF:car', 'COMP:P', 'COMP:uR', '-SPEC:T/fin', '-SPEC:R', 'COMP:R/D', '-SPEC:INF', 'COMP:R', '-SPEC:C/fin', '-COMP:N', 'SPEC:A', 'COMP:C', '-SPEC:N', '-COMP:AUX', '-SEM:directional', '-COMP:v', 'PF:auto', '-COMP:V', '-SPEC:ADV', 'N', '-SPEC:FORCE'}
city            {'-SPEC:uWH', '-COMP:A', '-COMP:WH', '-COMP:C/fin', '-SPEC:P', '-SPEC:V', 'PF:city', 'COMP:P', 'COMP:uR', '-SPEC:T/fin', '-SPEC:R', 'COMP:R/D', '-SPEC:INF', 'COMP:R', 'LF:city', '-SPEC:C/fin', '-COMP:N', 'SPEC:A', 'LANG:EN', 'COMP:C', '-SPEC:N', '-COMP:AUX', '-COMP:v', '-COMP:V', '-SPEC:ADV', 'N', '-SPEC:FORCE'}
che             ['LANG:IT']
