ï»¿dummy        {'dummy', 'LANG:EN'}
a               {'-SPEC:V', '-SPEC:INF', '-COMP:uWH', 'LANG:IT', '-ARG', '-SPEC:C/fin', 'COMP:ARE/inf', '-SPEC:iWH', '-COMP:ADV', '-VAL', '-SPEC:T/fin', '-COMP:T/fin', '-SPEC:*', '-SPEC:ADV', 'PF:a', '-SPEC:P', '!COMP:*', '-SPEC:v', '-SPEC:C', 'COMP:D', '-SPEC:iR', 'LF:to', 'adjoinable', '-SPEC:FORCE', '-SPEC:N', 'TAIL:V', '-COMP:N', '-SPEC:Neg/fin', 'P'}
a_D             {'-SPEC:V', '-SPEC:INF', 'COMP:N', '-ARG', 'PF:D', '-SPEC:MA/lla', '-COMP:D', '-SPEC:T/fin', '-COMP:T/fin', '-SPEC:P', '-SPEC:C', '!COMP:*', 'D', 'LF:D', '-COMP:uR', 'adjoinable', '-SPEC:Neg/fin', 'OP', '!PROBE:N', 'LANG:EN'}
admire          ['LANG:EN']
admire'         ['LANG:EN']
admires         ['LANG:EN']
admire-         {'SPEC:P', 'ARG', 'PHI:GEN:_', '-SPEC:Neg', 'PHI:PER:_', 'SPEC:ADV', '-COMP:v', 'COMP:P', 'PHI:DET:_', '-SPEC:T/fin', '-VAL', 'ASP', '-COMP:T/fin', '-COMP:Neg', 'CLASS:TR', 'COMP:D', 'LF:admire', '!COMP:*', 'PF:admire', '-COMP:V', 'V', '-COMP:P', 'PHI:NUM:_', '-SPEC:FORCE', '-COMP:N', 'SPEC:TO/inf', 'LANG:EN'}
admire*         ['LANG:EN']
T/fin*          {'CAT:T/fin', '!SPEC:*', "PF:T/fin'", 'NO_NUMBER', 'LF:T', '-VAL', 'NO_DET', 'LANG:EN'}
v*              {'NO_NUMBER', 'CAT:v', 'LF:v', '-VAL', 'NO_DET', 'PF:v', 'LANG:EN'}
admire**        ['LANG:EN']
T/fin**         {'PHI:PER:3', 'CAT:T/fin', '!SPEC:*', 'NO_NUMBER', "PF:T/fin''", 'LF:T', '-VAL', 'NO_DET', 'NO_PERSON', 'LANG:EN'}
adoro           ['LANG:IT']
adori           ['LANG:IT']
adora           ['LANG:IT']
adoriamo        ['LANG:IT']
adorate         ['LANG:IT']
adorano         ['LANG:IT']
adora-          {'SPEC:P', 'ARG', 'PHI:GEN:_', 'PHI:PER:_', 'LANG:IT', 'SPEC:ADV', '-COMP:v', 'COMP:P', 'PHI:DET:_', '-VAL', '-SPEC:T/fin', '-COMP:T/fin', 'ASP', 'COMP:D', 'LF:admire', '-COMP:V', 'V', 'PF:adora', 'PHI:NUM:_', '-SPEC:FORCE', '-COMP:N', 'SPEC:TO/inf'}
antaa           ['LANG:FI']
anta-           {'SPEC:P', 'ARG', 'SPEC:D', 'PF:antaa', 'PHI:PER:_', 'SPEC:ADV', '-COMP:v', 'COMP:P', '+SEM:directional', 'LANG:FI', 'PHI:DET:_', '-SPEC:T/fin', '-VAL', 'ASP', '-COMP:T/fin', '!COMP:*', 'ASP:BOUNDED', 'COMP:D', '-COMP:V', '-COMP:FIN', 'V', 'PHI:NUM:_', '-SPEC:FORCE', 'CLASS:DITR', 'LF:give', 'SPEC:TO/inf', '-COMP:N'}
antoi           ['LANG:FI']
asks            ['LANG:EN']
ask'            {'SPEC:P', 'ARG', 'SPEC:D', 'PHI:GEN:_', 'PHI:PER:_', 'SPEC:ADV', '-COMP:v', 'COMP:P', 'PF:ask', 'LF:ask', 'PHI:DET:_', '-SPEC:T/fin', '-VAL', 'ASP', '-COMP:T/fin', 'COMP:D', '-COMP:V', 'V', 'SEM:internal', 'PHI:NUM:_', '-SPEC:FORCE', '-COMP:N', 'SPEC:TO/inf', 'LANG:EN'}
ask-            {'SPEC:P', 'ARG', 'SPEC:D', 'PHI:GEN:_', 'PHI:PER:_', 'SPEC:ADV', '-COMP:v', 'COMP:P', 'PF:ask', 'LF:ask', 'PHI:DET:_', '-SPEC:T/fin', '-VAL', 'ASP', '-COMP:T/fin', 'COMP:D', '-COMP:V', 'V', 'SEM:internal', 'PHI:NUM:_', '-SPEC:FORCE', '-COMP:N', 'SPEC:TO/inf', 'LANG:EN'}
avain_0acc      ['LANG:EN']
avain_nom       ['LANG:EN']
avain           ['LANG:EN']
avaimen_acc     ['LANG:EN']
avaimen         ['LANG:EN']
avaimet         ['LANG:EN']
avainta         ['LANG:EN']
avain-          {'-SPEC:V', '-SPEC:INF', '-COMP:WH', '-COMP:AUX', '-SEM:directional', '-COMP:v', 'COMP:P', '-SPEC:C/fin', 'COMP:R', 'SPEC:A', 'PF:avain', 'LANG:FI', '-COMP:A', '-SPEC:T/fin', '-SPEC:R', '-SPEC:uWH', '-COMP:C/fin', '-SPEC:ADV', '-SPEC:P', 'LF:key', 'N', 'COMP:C', 'COMP:uR', '-COMP:V', '-SPEC:FORCE', '-SPEC:N', 'COMP:R/D', '-COMP:N'}
auton           ['LANG:FI']
auto            ['LANG:FI']
auto-           {'-SPEC:V', '-SPEC:INF', '-COMP:WH', '-COMP:AUX', '-SEM:directional', '-COMP:v', 'COMP:P', '-SPEC:C/fin', 'COMP:R', 'SPEC:A', 'LANG:FI', '-COMP:A', '-SPEC:T/fin', '-SPEC:R', '-SPEC:uWH', '-COMP:C/fin', '-SPEC:ADV', '-SPEC:P', 'PF:auto', '-COMP:V', 'N', 'COMP:C', 'COMP:uR', '-SPEC:FORCE', '-SPEC:N', 'COMP:R/D', '-COMP:N', 'LF:car'}
city            {'-SPEC:V', '-SPEC:INF', '-COMP:WH', '-COMP:AUX', '-COMP:v', 'COMP:P', '-SPEC:C/fin', 'COMP:R', 'SPEC:A', '-COMP:A', '-SPEC:T/fin', '-SPEC:R', '-SPEC:uWH', '-COMP:C/fin', '-SPEC:ADV', '-SPEC:P', 'LF:city', '-COMP:V', 'N', 'COMP:C', 'COMP:uR', 'PF:city', '-SPEC:FORCE', '-SPEC:N', 'COMP:R/D', '-COMP:N', 'LANG:EN'}
che             ['LANG:IT']
che-            {'PHI_N', 'LF:who', '-SPEC:V', '-SPEC:INF', '-COMP:WH', '-COMP:AUX', 'LANG:IT', '-COMP:v', 'COMP:P', '-SPEC:C/fin', 'COMP:R', 'SPEC:A', '-COMP:A', '-SPEC:T/fin', '-COMP:*', '-SPEC:R', '-SPEC:uWH', '-SPEC:ADV', '-SPEC:P', '-COMP:C/fin', '-COMP:V', 'N', 'COMP:C', 'COMP:uR', '-SPEC:FORCE', '-SPEC:N', 'COMP:R/D', '-COMP:N', 'PF:che'}
chiamato        ['LANG:IT']
chiamata-       {'SPEC:P', 'ARG', 'PHI:GEN:_', 'PHI:PER:_', 'LANG:IT', 'SPEC:ADV', '-COMP:v', 'COMP:P', 'PHI:DET:_', '-SPEC:T/fin', '-VAL', 'ASP', '-COMP:T/fin', 'LF:called', '-COMP:V', 'PF:chiamato', 'V', 'PHI:NUM:_', '-SPEC:FORCE', '-COMP:N', 'SPEC:TO/inf'}
danno           {'-SPEC:V', '-SPEC:INF', 'LF:damage', '-COMP:WH', '-COMP:AUX', 'LANG:IT', '-COMP:v', 'COMP:P', '-SPEC:C/fin', 'COMP:R', 'SPEC:A', '-COMP:A', '-SPEC:T/fin', '-SPEC:R', '-SPEC:uWH', '-COMP:C/fin', '-SPEC:ADV', '-SPEC:P', 'PF:danno', '-COMP:V', 'N', 'COMP:C', 'COMP:uR', '-SPEC:FORCE', '-SPEC:N', 'COMP:R/D', '-COMP:N'}
del             ['LANG:IT']
della           ['LANG:IT']
detesto         ['LANG:IT']
detesto         ['LANG:IT']
detest-         {'LF:detest', 'SPEC:P', 'ARG', 'PHI:GEN:_', 'PHI:PER:_', 'LANG:IT', 'SPEC:ADV', '-COMP:v', 'COMP:P', 'COMP:ARE/inf', 'PHI:DET:_', '-SPEC:T/fin', '-VAL', 'ASP', '-COMP:T/fin', 'COMP:D', '-COMP:V', 'V', 'PF:detest', 'SEM:internal', 'PHI:NUM:_', '-SPEC:FORCE', '-COMP:N', 'SPEC:TO/inf'}
devono          ['LANG:EN']
deva-           {'SPEC:P', 'ARG', 'SPEC:D', '-ASP', 'PHI:GEN:_', 'PHI:PER:_', 'LANG:IT', 'SPEC:ADV', '-COMP:v', 'COMP:P', 'COMP:ARE/inf', 'PHI:DET:_', '-SPEC:T/fin', '-VAL', '-COMP:T/fin', 'PF:deva', '-COMP:V', 'V', 'SEM:internal', 'PHI:NUM:_', '-SPEC:FORCE', '-COMP:N', 'SPEC:TO/inf', 'LF:must'}
di              {'-adjoinable', '-SPEC:V', 'ARG', '-SPEC:INF', '-COMP:uWH', 'PHI:PER:_', 'PF:di', '-SPEC:C/fin', '-SPEC:iWH', '-COMP:ADV', 'LANG:FI', 'PHI:DET:_', '-VAL', '-SPEC:T/fin', '-COMP:T/fin', 'SPEC:*', '-SPEC:ADV', '-SPEC:P', '-SPEC:v', '!COMP:*', '-SPEC:C', 'COMP:D', '-SPEC:iR', 'LF:of', 'PHI:NUM:_', '-SPEC:FORCE', '-SPEC:N', '-COMP:N', '-SPEC:Neg/fin', 'P'}
does            {'COMP:v', 'COMP:V', '-SPEC:Neg', 'PHI:PER:_', '-COMP:INF', '-SPEC:T/fin', 'SPEC:*', '-COMP:T/fin', '!COMP:*', 'PHI:PER:3', 'COMP:Neg', 'PHI:GEN:M', 'PHI:NUM:SG', '-SPEC:N', 'SPEC:TO/inf', 'T', 'LANG:EN', '-SPEC:V', 'ARG', 'SPEC:D', 'PHI:GEN:_', 'PHI:GEN:F', 'FIN', '!SPEC:D', '-SPEC:C/fin', 'LF:does', 'PHI:DET:_', 'T/fin', '-SPEC:C', '-SPEC:v', '!PROBE:V', '-SPEC:TO/inf', 'VAL', 'PHI:NUM:_', 'PF:does', '-SPEC:FORCE', 'COMP:T/prt'}
does_C          ['LANG:EN']
does-           {'COMP:v', 'COMP:V', '-SPEC:Neg', 'PHI:PER:_', '-COMP:INF', '-SPEC:T/fin', 'SPEC:*', '-COMP:T/fin', '!COMP:*', 'PHI:PER:3', 'COMP:Neg', 'PHI:GEN:M', 'PHI:NUM:SG', '-SPEC:N', 'SPEC:TO/inf', 'T', 'LANG:EN', '-SPEC:V', 'ARG', 'SPEC:D', 'PHI:GEN:_', 'PHI:GEN:F', 'FIN', '!SPEC:D', '-SPEC:C/fin', 'LF:does', 'PHI:DET:_', 'T/fin', '-SPEC:C', '-SPEC:v', '!PROBE:V', '-SPEC:TO/inf', 'VAL', 'PHI:NUM:_', 'PF:does', '-SPEC:FORCE', 'COMP:T/prt'}
dorme           ['LANG:IT']
dorme-          {'SPEC:P', 'ARG', 'PHI:GEN:_', 'PHI:PER:_', 'LF:sleep', 'SPEC:ADV', '!SPEC:D', 'PF:dorme', '-COMP:v', 'COMP:P', 'PHI:DET:_', '-VAL', '-SPEC:T/fin', '-COMP:T/fin', 'ASP', '-COMP:V', 'V', 'PHI:NUM:_', '-SPEC:FORCE', '-COMP:N', 'SPEC:TO/inf', 'LANG:EN'}
e               ['LANG:IT']
en              ['LANG:FI']
et              ['LANG:FI']
ei              ['LANG:FI']
emme            ['LANG:FI']
ette            ['LANG:FI']
eivat           ['LANG:FI']
ei'             {'ARG', 'PHI:PER:_', '!COMP:T', 'FIN', 'PF:ei', '-SPEC:T', '%SPEC:INF', 'LANG:FI', 'LF:neg', 'PHI:DET:_', '-SPEC:T/fin', 'NEG', 'SPEC:*', '!COMP:*', 'Neg/fin', 'VAL', '!SPEC:*', 'SEM:internal', 'POL:NEG', 'PHI:NUM:_', 'COMP:T/prt'}
e-              {'ARG', 'PHI:PER:_', '!COMP:T', 'FIN', 'PF:ei', '-SPEC:T', '%SPEC:INF', 'LANG:FI', 'LF:neg', 'PHI:DET:_', '-SPEC:T/fin', 'NEG', 'SPEC:*', '!COMP:*', 'Neg/fin', 'VAL', '!SPEC:*', 'SEM:internal', 'POL:NEG', 'PHI:NUM:_', 'COMP:T/prt'}
elaa            ['LANG:FI']
ela-            {'SPEC:P', 'ARG', 'SPEC:D', 'PHI:PER:_', 'LF:live', 'SPEC:ADV', '-COMP:v', 'COMP:P', 'LANG:FI', 'PHI:DET:_', '-SPEC:T/fin', '-COMP:D', 'ASP', '-COMP:T/fin', '-VAL', '-COMP:V', 'SPEC:TO/inf', 'V', 'CLASS:INTR', '-COMP:MA/inf', 'PHI:NUM:_', '-SPEC:FORCE', '-COMP:N', 'PF:elaa'}
etsii           ['LANG:FI']
etsi-           {'SPEC:P', 'ARG', 'PHI:PER:_', 'SPEC:ADV', '-COMP:v', 'COMP:P', 'PF:etsi', 'LANG:FI', 'PHI:DET:_', '-SPEC:T/fin', '-VAL', 'ASP', '-COMP:T/fin', 'COMP:D', '-COMP:V', 'V', 'LF:search', 'PHI:NUM:_', '-SPEC:FORCE', '!COMP:D', 'SPEC:TO/inf', '-COMP:N'}
etta            {'!COMP:*', '!PROBE:T/fin', 'COMP:C/fin', 'FIN', '-ARG', 'PF:etta', 'LANG:FI', 'FORCE', '-VAL', '-SPEC:*', 'LF:that', 'COMP:T/fin'}
flow'           {'SPEC:P', 'ARG', 'SPEC:D', 'PHI:GEN:_', 'PHI:PER:_', 'COMP:P', 'SPEC:ADV', '-COMP:v', 'PHI:DET:_', '-SPEC:T/fin', '-VAL', 'ASP', '-COMP:T/fin', 'PF:flow', '-COMP:V', 'LF:flow', 'V', 'PHI:NUM:_', '-SPEC:FORCE', '-COMP:N', 'SPEC:TO/inf', 'LANG:EN'}
from            {'LF:from', '-SPEC:V', 'ARG', '-SPEC:INF', '-COMP:uWH', 'TAIL:V,+SEM:directional', 'PHI:GEN:_', 'PHI:PER:_', '-SPEC:C/fin', '-SPEC:iWH', '-COMP:ADV', 'PHI:DET:_', '-VAL', '-SPEC:T/fin', '-COMP:T/fin', '-SPEC:*', '-SPEC:ADV', '-SPEC:P', '-float', '!COMP:*', '-SPEC:v', '-SPEC:C', 'COMP:D', 'PF:from', '-SPEC:iR', 'adjoinable', 'PHI:NUM:_', '-SPEC:FORCE', '-SPEC:N', '-COMP:N', '-SPEC:Neg/fin', 'P', 'LANG:EN'}
gave            ['LANG:EN']
give-           {'SPEC:P', 'ARG', 'PF:give', 'SPEC:D', 'PHI:GEN:_', 'PHI:PER:_', 'SPEC:ADV', '-COMP:v', 'COMP:P', '+SEM:directional', 'PHI:DET:_', '-SPEC:T/fin', '-VAL', 'ASP', '-COMP:T/fin', '!COMP:*', 'COMP:D', '-COMP:V', '-COMP:FIN', 'V', 'PHI:NUM:_', '-SPEC:FORCE', 'CLASS:DITR', 'LF:give', 'SPEC:TO/inf', '-COMP:N', 'LANG:EN'}
Giuseppe        ['LANG:IT']
Giuseppe-       {'-SPEC:V', '-SPEC:INF', '-COMP:WH', '-COMP:AUX', 'LANG:IT', '-SEM:directional', '-COMP:v', 'LF:Giuseppe', 'COMP:P', '-SPEC:C/fin', 'COMP:R', 'SPEC:A', '-COMP:A', '-SPEC:T/fin', '-SPEC:R', '-SPEC:uWH', '-COMP:C/fin', '-SPEC:ADV', '-SPEC:P', '-COMP:V', 'N', 'COMP:C', 'COMP:uR', 'PF:Giuseppe', '-SPEC:FORCE', '-SPEC:N', 'COMP:R/D', '-COMP:N'}
haluaa          ['LANG:FI']
halusi          ['LANG:FI']
halusimme       ['LANG:FI']
haluan          ['LANG:FI']
halua           ['LANG:FI']
haluamalla      ['LANG:FI']
haluttiin       ['LANG:FI']
haluttu         ['LANG:FI']
halua-          {'SPEC:P', 'ARG', 'PF:haluaa', 'PHI:PER:_', 'SPEC:ADV', '-COMP:v', 'LF:want', 'COMP:P', 'LANG:FI', 'PHI:DET:_', '-SPEC:T/fin', '-VAL', 'ASP', '-SPEC:*', '-COMP:T/fin', 'CLASS:TR', 'ASP:BOUNDED', 'COMP:D', '!COMP:*', '-COMP:V', 'SPEC:TO/inf', 'V', '-COMP:P', 'SEM:internal', 'PHI:NUM:_', '-SPEC:FORCE', '-COMP:N', 'COMP:A/inf'}
hairitsee       ['LANG:FI']
hairitse-       {'SPEC:P', 'ARG', 'SPEC:D', 'PHI:PER:_', 'SPEC:ADV', '-COMP:v', 'COMP:P', 'LANG:FI', 'PHI:DET:_', '-SPEC:T/fin', '-VAL', 'ASP', '-COMP:T/fin', '-COMP:V', '-COMP:FIN', 'V', 'PF:hairitsee', 'LF:disturb', 'PHI:NUM:_', '-SPEC:FORCE', '!COMP:D', 'SPEC:TO/inf', '-COMP:N'}
hanno           ['LANG:IT']
ho              ['LANG:IT']
