ï»¿dummy        {'LANG:EN', 'dummy'}
a               {'-COMP:N', '-COMP:T/fin', '-SPEC:C/fin', 'TAIL:V', '-SPEC:V', '-SPEC:INF', 'COMP:D', 'PF:a', '!COMP:*', 'LANG:IT', '-SPEC:*', '-SPEC:T/fin', '-SPEC:v', '-COMP:ADV', '-SPEC:Neg/fin', '-SPEC:FORCE', '-SPEC:iWH', '-SPEC:C', 'adjoinable', '-SPEC:ADV', '-VAL', '-COMP:uWH', '-SPEC:N', 'LF:to', '-ARG', '-SPEC:P', '-SPEC:iR', 'P', 'COMP:ARE/inf'}
a_D             {'COMP:N', '-COMP:D', '-COMP:T/fin', '-COMP:uR', '-SPEC:V', '-SPEC:INF', 'OP', '!COMP:*', 'LANG:EN', '-SPEC:T/fin', '-SPEC:Neg/fin', '-SPEC:MA/lla', '-SPEC:C', 'adjoinable', 'D', 'LF:D', '-ARG', '-SPEC:P', 'PF:D', '!PROBE:N'}
admire          ['LANG:EN']
admire'         ['LANG:EN']
admires         ['LANG:EN']
admire-         {'-COMP:N', '-COMP:T/fin', '-SPEC:Neg', 'COMP:D', '!COMP:*', 'LANG:EN', 'PF:admire', '-SPEC:T/fin', '-COMP:V', '-SPEC:FORCE', 'PHI:GEN:_', 'CLASS:TR', 'LF:admire', '-VAL', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:TO/inf', '-COMP:Neg', '-COMP:P', 'V', 'ARG', 'SPEC:ADV', 'PHI:DET:_', '-COMP:v', 'SPEC:P', 'COMP:P'}
admire*         ['LANG:EN']
T/fin*          {'-VAL', 'LF:T', 'LANG:EN', 'NO_NUMBER', '!SPEC:*', "PF:T/fin'", 'NO_DET', 'CAT:T/fin'}
v*              {'LANG:EN', '-VAL', 'NO_NUMBER', 'LF:v', 'NO_DET', 'PF:v', 'CAT:v'}
admire**        ['LANG:EN']
T/fin**         {'-VAL', 'NO_PERSON', "PF:T/fin''", 'LF:T', 'PHI:PER:3', 'LANG:EN', 'NO_NUMBER', '!SPEC:*', 'NO_DET', 'CAT:T/fin'}
adoro           ['LANG:IT']
adori           ['LANG:IT']
adora           ['LANG:IT']
adoriamo        ['LANG:IT']
adorate         ['LANG:IT']
adorano         ['LANG:IT']
adora-          {'-COMP:N', '-COMP:T/fin', 'COMP:D', 'LANG:IT', '-SPEC:T/fin', 'PF:adora', '-COMP:V', '-SPEC:FORCE', 'PHI:GEN:_', 'LF:admire', '-VAL', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:TO/inf', 'PHI:DET:_', 'ARG', 'V', 'SPEC:ADV', '-COMP:v', 'SPEC:P', 'COMP:P'}
antaa           ['LANG:FI']
anta-           {'-COMP:N', '-COMP:T/fin', 'ASP:BOUNDED', 'CLASS:DITR', 'COMP:D', '!COMP:*', 'SPEC:D', '-SPEC:T/fin', 'PF:antaa', '-COMP:V', '-SPEC:FORCE', 'LANG:FI', '-VAL', 'PHI:PER:_', '-COMP:FIN', 'ASP', 'PHI:NUM:_', 'SPEC:TO/inf', '+SEM:directional', 'LF:give', 'V', 'ARG', 'SPEC:ADV', 'PHI:DET:_', '-COMP:v', 'SPEC:P', 'COMP:P'}
antoi           ['LANG:FI']
asks            ['LANG:EN']
ask'            {'PF:ask', '-COMP:N', '-COMP:T/fin', 'COMP:D', 'SPEC:D', 'LANG:EN', '-SPEC:T/fin', '-COMP:V', '-SPEC:FORCE', 'LF:ask', 'PHI:GEN:_', 'SEM:internal', '-VAL', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:TO/inf', 'PHI:DET:_', 'ARG', 'V', 'SPEC:ADV', '-COMP:v', 'SPEC:P', 'COMP:P'}
ask-            {'PF:ask', '-COMP:N', '-COMP:T/fin', 'COMP:D', 'SPEC:D', 'LANG:EN', '-SPEC:T/fin', '-COMP:V', '-SPEC:FORCE', 'LF:ask', 'PHI:GEN:_', 'SEM:internal', '-VAL', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:TO/inf', 'PHI:DET:_', 'ARG', 'V', 'SPEC:ADV', '-COMP:v', 'SPEC:P', 'COMP:P'}
avain_0acc      ['LANG:EN']
avain_nom       ['LANG:EN']
avain           ['LANG:EN']
avaimen_acc     ['LANG:EN']
avaimen         ['LANG:EN']
avaimet         ['LANG:EN']
avainta         ['LANG:EN']
avain-          {'-SEM:directional', 'COMP:R', '-COMP:N', '-SPEC:C/fin', '-SPEC:uWH', '-SPEC:V', 'PF:avain', '-COMP:C/fin', '-SPEC:INF', '-SPEC:T/fin', '-COMP:A', 'LF:key', 'COMP:uR', 'COMP:R/D', '-COMP:AUX', 'N', 'LANG:FI', 'SPEC:A', '-COMP:V', '-SPEC:FORCE', '-SPEC:ADV', 'COMP:C', '-SPEC:N', '-SPEC:P', '-COMP:v', '-SPEC:R', '-COMP:WH', 'COMP:P'}
auton           ['LANG:FI']
auto            ['LANG:FI']
auto-           {'-SEM:directional', 'COMP:R', '-COMP:N', '-SPEC:C/fin', '-SPEC:uWH', '-SPEC:V', 'LF:car', '-COMP:C/fin', '-SPEC:INF', '-SPEC:T/fin', '-COMP:A', 'PF:auto', 'COMP:uR', 'COMP:R/D', '-COMP:AUX', '-COMP:V', 'N', 'LANG:FI', 'SPEC:A', '-SPEC:FORCE', '-SPEC:ADV', 'COMP:C', '-SPEC:N', '-SPEC:P', '-COMP:v', '-SPEC:R', '-COMP:WH', 'COMP:P'}
city            {'COMP:R', '-COMP:N', '-SPEC:C/fin', '-SPEC:uWH', '-SPEC:V', '-COMP:C/fin', 'LF:city', '-SPEC:INF', 'LANG:EN', '-SPEC:T/fin', '-COMP:A', 'COMP:uR', 'COMP:R/D', '-COMP:AUX', '-COMP:V', 'N', 'SPEC:A', '-SPEC:FORCE', '-SPEC:ADV', 'COMP:C', '-SPEC:N', '-SPEC:P', 'PF:city', '-COMP:v', '-SPEC:R', '-COMP:WH', 'COMP:P'}
che             ['LANG:IT']
che-            {'COMP:R', '-COMP:N', '-SPEC:C/fin', '-SPEC:uWH', '-SPEC:V', '-COMP:C/fin', '-SPEC:INF', 'LANG:IT', 'LF:who', '-SPEC:T/fin', '-COMP:A', 'COMP:uR', 'COMP:R/D', '-COMP:AUX', '-COMP:V', 'N', '-COMP:*', 'SPEC:A', '-SPEC:FORCE', '-SPEC:ADV', 'COMP:C', '-SPEC:N', 'PHI_N', '-SPEC:P', '-COMP:WH', '-COMP:v', '-SPEC:R', 'PF:che', 'COMP:P'}
chiamato        ['LANG:IT']
chiamata-       {'-COMP:N', '-COMP:T/fin', 'LANG:IT', '-SPEC:T/fin', 'PF:chiamato', '-SPEC:FORCE', '-COMP:V', 'PHI:GEN:_', '-VAL', 'LF:called', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:TO/inf', 'PHI:DET:_', 'ARG', 'V', 'SPEC:ADV', '-COMP:v', 'SPEC:P', 'COMP:P'}
danno           {'COMP:R', '-COMP:N', '-SPEC:C/fin', '-SPEC:uWH', '-SPEC:V', '-COMP:C/fin', '-SPEC:INF', 'LANG:IT', '-SPEC:T/fin', '-COMP:A', 'COMP:uR', 'COMP:R/D', '-COMP:AUX', '-COMP:V', 'N', 'SPEC:A', '-SPEC:FORCE', 'PF:danno', '-SPEC:ADV', 'COMP:C', '-SPEC:N', 'LF:damage', '-SPEC:P', '-COMP:v', '-SPEC:R', '-COMP:WH', 'COMP:P'}
del             ['LANG:IT']
della           ['LANG:IT']
detesto         ['LANG:IT']
detesto         ['LANG:IT']
detest-         {'-COMP:N', '-COMP:T/fin', 'COMP:D', 'LANG:IT', '-SPEC:T/fin', '-COMP:V', '-SPEC:FORCE', 'PHI:GEN:_', 'SEM:internal', '-VAL', 'PF:detest', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:TO/inf', 'LF:detest', 'ARG', 'V', 'SPEC:ADV', 'PHI:DET:_', '-COMP:v', 'SPEC:P', 'COMP:ARE/inf', 'COMP:P'}
devono          ['LANG:EN']
deva-           {'-COMP:N', '-COMP:T/fin', '-ASP', 'SPEC:D', 'LANG:IT', '-SPEC:T/fin', 'PF:deva', '-COMP:V', '-SPEC:FORCE', 'PHI:GEN:_', 'SEM:internal', 'LF:must', '-VAL', 'PHI:PER:_', 'PHI:DET:_', 'PHI:NUM:_', 'SPEC:TO/inf', 'ARG', 'V', 'SPEC:ADV', '-COMP:v', 'SPEC:P', 'COMP:ARE/inf', 'COMP:P'}
di              {'-COMP:N', '-COMP:T/fin', '-SPEC:C/fin', '-SPEC:V', '-SPEC:INF', 'COMP:D', '!COMP:*', '-SPEC:T/fin', '-SPEC:v', 'SPEC:*', '-COMP:ADV', '-SPEC:Neg/fin', '-SPEC:FORCE', '-SPEC:iWH', '-SPEC:C', 'LANG:FI', '-SPEC:ADV', '-VAL', '-COMP:uWH', '-SPEC:N', 'PHI:PER:_', '-SPEC:P', '-SPEC:iR', 'PHI:NUM:_', 'PHI:DET:_', 'ARG', '-adjoinable', 'PF:di', 'LF:of', 'P'}
does            {'COMP:Neg', '-SPEC:C/fin', 'COMP:v', '-SPEC:V', '!COMP:*', 'SPEC:D', 'LANG:EN', '-SPEC:T/fin', '-SPEC:v', 'SPEC:*', 'PHI:GEN:_', '-SPEC:N', 'PHI:PER:_', 'PHI:DET:_', 'PHI:NUM:_', 'PHI:GEN:M', 'ARG', 'COMP:V', 'PF:does', 'T/fin', 'LF:does', '-COMP:T/fin', '-SPEC:TO/inf', '-SPEC:Neg', 'T', 'PHI:PER:3', '!SPEC:D', '-SPEC:FORCE', '-SPEC:C', 'FIN', 'PHI:NUM:SG', '!PROBE:V', 'VAL', 'PHI:GEN:F', 'SPEC:TO/inf', 'COMP:T/prt', '-COMP:INF'}
does_C          ['LANG:EN']
does-           {'COMP:Neg', '-SPEC:C/fin', 'COMP:v', '-SPEC:V', '!COMP:*', 'SPEC:D', 'LANG:EN', '-SPEC:T/fin', '-SPEC:v', 'SPEC:*', 'PHI:GEN:_', '-SPEC:N', 'PHI:PER:_', 'PHI:DET:_', 'PHI:NUM:_', 'PHI:GEN:M', 'ARG', 'COMP:V', 'PF:does', 'T/fin', 'LF:does', '-COMP:T/fin', '-SPEC:TO/inf', '-SPEC:Neg', 'T', 'PHI:PER:3', '!SPEC:D', '-SPEC:FORCE', '-SPEC:C', 'FIN', 'PHI:NUM:SG', '!PROBE:V', 'VAL', 'PHI:GEN:F', 'SPEC:TO/inf', 'COMP:T/prt', '-COMP:INF'}
dorme           ['LANG:IT']
dorme-          {'-COMP:N', '-COMP:T/fin', 'LF:sleep', 'PF:dorme', 'LANG:EN', '-SPEC:T/fin', '!SPEC:D', '-COMP:V', '-SPEC:FORCE', 'PHI:GEN:_', '-VAL', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:TO/inf', 'PHI:DET:_', 'ARG', 'V', 'SPEC:ADV', '-COMP:v', 'SPEC:P', 'COMP:P'}
e               ['LANG:IT']
en              ['LANG:FI']
et              ['LANG:FI']
ei              ['LANG:FI']
emme            ['LANG:FI']
ette            ['LANG:FI']
eivat           ['LANG:FI']
ei'             {'Neg/fin', 'LF:neg', '%SPEC:INF', '!COMP:*', 'POL:NEG', '-SPEC:T/fin', 'SPEC:*', '!SPEC:*', '-SPEC:T', 'LANG:FI', 'PF:ei', 'SEM:internal', 'FIN', 'PHI:PER:_', 'PHI:DET:_', 'VAL', 'NEG', 'PHI:NUM:_', 'ARG', 'COMP:T/prt', '!COMP:T'}
e-              {'Neg/fin', 'LF:neg', '%SPEC:INF', '!COMP:*', 'POL:NEG', '-SPEC:T/fin', 'SPEC:*', '!SPEC:*', '-SPEC:T', 'LANG:FI', 'PF:ei', 'SEM:internal', 'FIN', 'PHI:PER:_', 'PHI:DET:_', 'VAL', 'NEG', 'PHI:NUM:_', 'ARG', 'COMP:T/prt', '!COMP:T'}
elaa            ['LANG:FI']
ela-            {'-COMP:N', '-COMP:D', '-COMP:T/fin', 'SPEC:D', '-SPEC:T/fin', '-COMP:V', '-SPEC:FORCE', 'LANG:FI', '-VAL', 'CLASS:INTR', 'PHI:PER:_', 'PF:elaa', 'ASP', 'SPEC:TO/inf', 'PHI:NUM:_', 'ARG', 'V', 'SPEC:ADV', '-COMP:MA/inf', 'PHI:DET:_', 'LF:live', '-COMP:v', 'SPEC:P', 'COMP:P'}
etsii           ['LANG:FI']
etsi-           {'-COMP:N', '-COMP:T/fin', 'COMP:D', '-SPEC:T/fin', '-COMP:V', '-SPEC:FORCE', 'LANG:FI', 'LF:search', '-VAL', '!COMP:D', 'PF:etsi', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:TO/inf', 'PHI:DET:_', 'ARG', 'V', 'SPEC:ADV', '-COMP:v', 'SPEC:P', 'COMP:P'}
etta            {'FIN', '-VAL', 'COMP:C/fin', 'PF:etta', 'COMP:T/fin', '-ARG', '!COMP:*', '-SPEC:*', 'LF:that', '!PROBE:T/fin', 'LANG:FI', 'FORCE'}
flow'           {'-COMP:N', '-COMP:T/fin', 'SPEC:D', 'LANG:EN', '-SPEC:T/fin', '-COMP:V', '-SPEC:FORCE', 'PHI:GEN:_', '-VAL', 'LF:flow', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:TO/inf', 'PHI:DET:_', 'ARG', 'V', 'SPEC:ADV', 'PF:flow', '-COMP:v', 'SPEC:P', 'COMP:P'}
from            {'-COMP:N', '-COMP:T/fin', '-SPEC:C/fin', '-SPEC:V', '-SPEC:INF', 'LF:from', 'COMP:D', '!COMP:*', 'LANG:EN', '-SPEC:T/fin', '-SPEC:v', '-SPEC:*', '-COMP:ADV', '-SPEC:Neg/fin', '-SPEC:FORCE', '-float', '-SPEC:iWH', '-SPEC:C', 'adjoinable', 'PHI:GEN:_', '-SPEC:ADV', '-VAL', 'PF:from', '-COMP:uWH', '-SPEC:N', 'PHI:PER:_', '-SPEC:P', '-SPEC:iR', 'PHI:NUM:_', 'PHI:DET:_', 'ARG', 'P', 'TAIL:V,+SEM:directional'}
gave            ['LANG:EN']
give-           {'-COMP:N', '-COMP:T/fin', 'CLASS:DITR', 'COMP:D', '!COMP:*', 'SPEC:D', 'LANG:EN', '-SPEC:T/fin', '-COMP:V', '-SPEC:FORCE', 'PHI:GEN:_', '-VAL', 'PHI:PER:_', '-COMP:FIN', 'ASP', 'PHI:NUM:_', 'SPEC:TO/inf', '+SEM:directional', 'LF:give', 'PF:give', 'V', 'ARG', 'SPEC:ADV', 'PHI:DET:_', '-COMP:v', 'SPEC:P', 'COMP:P'}
Giuseppe        ['LANG:IT']
Giuseppe-       {'-SEM:directional', 'COMP:R', '-COMP:N', 'PF:Giuseppe', '-SPEC:C/fin', '-SPEC:uWH', '-SPEC:V', '-COMP:C/fin', '-SPEC:INF', 'LANG:IT', '-SPEC:T/fin', '-COMP:A', 'LF:Giuseppe', 'COMP:uR', 'COMP:R/D', '-COMP:AUX', 'N', 'SPEC:A', '-COMP:V', '-SPEC:FORCE', '-SPEC:ADV', 'COMP:C', '-SPEC:N', '-SPEC:P', '-COMP:v', '-SPEC:R', '-COMP:WH', 'COMP:P'}
haluaa          ['LANG:FI']
halusi          ['LANG:FI']
halusimme       ['LANG:FI']
haluan          ['LANG:FI']
halua           ['LANG:FI']
haluamalla      ['LANG:FI']
haluttiin       ['LANG:FI']
haluttu         ['LANG:FI']
halua-          {'-COMP:N', '-COMP:T/fin', 'ASP:BOUNDED', 'COMP:D', 'LF:want', '!COMP:*', '-SPEC:*', '-SPEC:T/fin', '-COMP:V', '-SPEC:FORCE', 'LANG:FI', 'SEM:internal', 'CLASS:TR', '-VAL', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:TO/inf', '-COMP:P', 'ARG', 'PF:haluaa', 'V', 'SPEC:ADV', 'PHI:DET:_', 'COMP:A/inf', '-COMP:v', 'SPEC:P', 'COMP:P'}
hairitsee       ['LANG:FI']
hairitse-       {'-COMP:N', '-COMP:T/fin', 'SPEC:D', '-SPEC:T/fin', '-COMP:V', '-SPEC:FORCE', 'LANG:FI', '-VAL', '!COMP:D', 'LF:disturb', 'PHI:PER:_', '-COMP:FIN', 'ASP', 'PHI:NUM:_', 'SPEC:TO/inf', 'PHI:DET:_', 'ARG', 'V', 'SPEC:ADV', 'PF:hairitsee', '-COMP:v', 'SPEC:P', 'COMP:P'}
hanno           ['LANG:IT']
ho              ['LANG:IT']
ha-             {'PF:ha', '-COMP:N', '-COMP:T/fin', 'LF:have', '-ASP', 'SPEC:D', 'LANG:IT', 'SPEC:*', '-SPEC:T/fin', '-COMP:V', '-SPEC:FORCE', 'PHI:GEN:_', '-COMP:v', 'SEM:internal', '-VAL', 'PHI:PER:_', 'PHI:DET:_', 'PHI:NUM:_', 'SPEC:TO/inf', 'ARG', 'V', 'SPEC:ADV', 'COMP:T', 'SPEC:P', 'COMP:P'}
havisivat       ['LANG:FI']
haviavan        ['LANG:FI']
havisi          ['LANG:FI']
havia-          {'-COMP:N', '-COMP:D', '-COMP:T/fin', 'SPEC:D', '-SPEC:T/fin', '-COMP:V', '-SPEC:FORCE', 'LANG:FI', 'COMP:P', '-VAL', 'CLASS:INTR', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:TO/inf', 'PHI:DET:_', 'ARG', 'V', 'SPEC:ADV', '-COMP:MA/inf', 'PF:havia', '-COMP:v', 'SPEC:P', 'LF:disappear'}
ihailen         ['LANG:FI']
ihaili          ['LANG:FI']
ihailet         ['LANG:FI']
ihailee         ['LANG:FI']
ihailemme       ['LANG:FI']
ihailette       ['LANG:FI']
ihailevat       ['LANG:FI']
ihailevansa     ['LANG:FI']
ihailemassa     ['LANG:FI']
ihailtua        ['LANG:FI']
ihaile          ['LANG:FI']
ihaillut        ['LANG:FI']
ihailla         ['LANG:FI']
ihailemalla     ['LANG:FI']
ihaile-         {'-COMP:N', '-COMP:T/fin', 'COMP:D', '!COMP:*', '-SPEC:T/fin', '-COMP:V', '-SPEC:FORCE', 'LANG:FI', 'CLASS:TR', 'LF:admire', '-VAL', '!COMP:D', 'PHI:PER:_', 'PF:ihaile-', '-COMP:FIN', 'ASP', 'SPEC:TO/inf', '-COMP:P', 'ARG', 'V', 'SPEC:ADV', 'PHI:NUM:_', 'PHI:DET:_', '-COMP:v', 'SPEC:P', 'COMP:P'}
il              {'COMP:N', '-COMP:D', '-COMP:T/fin', '-COMP:uR', '-SPEC:V', '-SPEC:INF', 'OP', '!COMP:*', 'LANG:IT', '-SPEC:T/fin', '-SPEC:Neg/fin', '-SPEC:MA/lla', '-SPEC:C', 'adjoinable', 'D', '-ARG', '-SPEC:P', 'LF:the', '!PROBE:N', 'PF:il'}
i               {'COMP:N', '-COMP:D', '-COMP:T/fin', '-COMP:uR', '-SPEC:V', '-SPEC:INF', 'OP', '!COMP:*', 'LANG:IT', '-SPEC:T/fin', '-SPEC:Neg/fin', '-SPEC:MA/lla', '-SPEC:C', 'adjoinable', 'D', '-ARG', '-SPEC:P', 'LF:the', '!PROBE:N', 'PF:il'}
in              {'-COMP:N', '-COMP:T/fin', '-SPEC:C/fin', '-SPEC:V', 'PF:in', '-SPEC:INF', 'COMP:D', '!COMP:*', 'LANG:IT', '-SPEC:T/fin', '-SPEC:v', '-COMP:ADV', '-SPEC:Neg/fin', '-SPEC:FORCE', '-SPEC:iWH', '-SPEC:C', 'PHI:GEN:_', 'adjoinable', 'LF:in', '-SPEC:ADV', '-VAL', '-COMP:uWH', '-SPEC:N', 'PHI:PER:_', '-SPEC:P', '-SPEC:iR', 'PHI:NUM:_', 'PHI:DET:_', 'ARG', 'P'}
infermieri      {'COMP:R', '-COMP:N', '-SPEC:C/fin', '-SPEC:uWH', '-SPEC:V', '-COMP:C/fin', '-SPEC:INF', 'LANG:IT', '-SPEC:T/fin', '-COMP:A', 'COMP:uR', 'COMP:R/D', '-COMP:AUX', '-COMP:V', 'N', 'SPEC:A', '-SPEC:FORCE', '-SPEC:ADV', 'COMP:C', '-SPEC:N', '-SPEC:P', 'LF:nurses', '-COMP:v', '-SPEC:R', '-COMP:WH', 'PF:infermieri', 'COMP:P'}
is              ['LANG:EN']
be-             {'-COMP:N', 'LF:be', '-COMP:T/fin', '!COMP:*', 'SPEC:D', 'LANG:EN', '-SPEC:T/fin', '-COMP:V', '-SPEC:FORCE', 'SPEC:P', 'COPULA', '-VAL', '-ARG', 'ASP', 'SPEC:TO/inf', 'PF:be', 'V', 'SPEC:ADV', '-COMP:v', '-COMP:TO/inf', 'COMP:P'}
istuuko         ['LANG:FI']
