ï»¿dummy        {'LANG:EN', 'dummy'}
a               {'-COMP:ADV', '-SPEC:ADV', '-COMP:A', 'COMP:ARE/inf', '-SPEC:T/fin', '-SPEC:V', 'adjoinable', '-SPEC:Neg/fin', '-COMP:N', 'COMP:D', '-SPEC:v', '-COMP:uWH', '-SPEC:INF', '-SPEC:C/fin', '-SPEC:C', '-SPEC:N', '!COMP:*', 'LF:to', '-ARG', '-SPEC:FORCE', 'TAIL:V', 'P', 'LANG:IT', '-SPEC:iWH', '-SPEC:P', '-COMP:T', '-VAL', '-SPEC:iR', 'PF:a', '-SPEC:*', '-COMP:T/fin'}
a_D             {'-COMP:uR', 'PF:D', '-COMP:P', '-SPEC:T/fin', '-SPEC:V', '-SPEC:Neg/fin', 'adjoinable', 'LF:D', 'D', '-SPEC:INF', 'LANG:EN', 'COMP:N', '-SPEC:C', '-COMP:D', 'OP', '!PROBE:N', '!COMP:*', '-SPEC:MA/lla', '-ARG', '-SPEC:P', '-COMP:T/fin'}
admire          ['LANG:EN']
admire'         ['LANG:EN']
admires         ['LANG:EN']
admire-         {'LF:admire', 'V', 'PF:admire', 'COMP:P', 'SPEC:TO/inf', 'SPEC:ADV', '-COMP:P', 'ASP', '-SPEC:T/fin', 'SPEC:P', 'PHI:DET:_', '-COMP:N', 'COMP:D', '-COMP:v', 'LANG:EN', 'PHI:NUM:_', 'PHI:GEN:_', '!COMP:*', 'ARG', 'CLASS:TR', '-COMP:V', '-SPEC:Neg', '-VAL', 'PHI:PER:_', '-COMP:Neg', '-SPEC:FORCE'}
admire*         ['LANG:EN']
T/fin*          {'LF:T', 'NO_NUMBER', 'CAT:T/fin', "PF:T/fin'", '!SPEC:*', '-VAL', 'LANG:EN', 'NO_DET'}
v*              {'-VAL', 'LF:v', 'CAT:v', 'PF:v', 'NO_DET', 'NO_NUMBER', 'LANG:EN'}
admire**        ['LANG:EN']
T/fin**         {'LF:T', "PF:T/fin''", 'NO_NUMBER', 'CAT:T/fin', 'PHI:PER:3', 'NO_PERSON', '!SPEC:*', '-VAL', 'LANG:EN', 'NO_DET'}
adoro           ['LANG:IT']
adori           ['LANG:IT']
adora           ['LANG:IT']
adoriamo        ['LANG:IT']
adorate         ['LANG:IT']
adorano         ['LANG:IT']
adora-          {'LF:admire', 'PF:adora', 'V', 'COMP:P', 'SPEC:TO/inf', 'SPEC:ADV', 'ASP', '-SPEC:T/fin', 'SPEC:P', 'PHI:DET:_', '-COMP:N', 'COMP:D', '-COMP:v', 'PHI:NUM:_', 'PHI:GEN:_', 'ARG', 'LANG:IT', '-COMP:V', '-VAL', 'PHI:PER:_', '-SPEC:FORCE'}
antaa           ['LANG:FI']
