ï»¿dummy        {'dummy', 'LANG:EN'}
a               {'-SPEC:v', '-SPEC:C', 'COMP:ARE/inf', '-COMP:uWH', 'adjoinable', '-SPEC:V', '-SPEC:iR', '-COMP:ADV', 'LANG:IT', '-SPEC:ADV', 'COMP:D', 'LF:to', 'P', '-ARG', '-SPEC:T/fin', '-SPEC:Neg/fin', '-SPEC:*', '-SPEC:INF', '-SPEC:P', '!COMP:*', 'PF:a', '-SPEC:FORCE', '-COMP:N', '-SPEC:N', '-VAL', '-COMP:T/fin', '-SPEC:C/fin', '-SPEC:iWH'}
a_D             {'-SPEC:C', '!PROBE:N', '-SPEC:V', 'adjoinable', '-COMP:D', 'COMP:N', '-ARG', '-SPEC:T/fin', '-SPEC:Neg/fin', '-SPEC:MA/lla', 'LF:D', '-SPEC:INF', '-SPEC:P', '!COMP:*', 'LANG:EN', 'OP', '-SPEC:N', 'PF:D', 'D', '-COMP:uR', '-SPEC:D', '-COMP:T/fin'}
admire          ['LANG:EN']
admire'         ['LANG:EN']
admires         ['LANG:EN']
admire-         {'ASP', 'SPEC:ADV', 'PF:admire', 'PHI:NUM:_', 'COMP:D', 'CLASS:TR', 'PHI:PER:_', '-SPEC:T/fin', 'SPEC:TO/inf', 'PHI:DET:_', '-COMP:P', 'SPEC:P', 'ARG', 'LANG:EN', '!COMP:*', '-COMP:V', '-COMP:T/fin', 'COMP:P', 'PHI:GEN:_', '-COMP:N', '-COMP:v', 'V', '-COMP:Neg', '-SPEC:FORCE', '-VAL', '-SPEC:Neg', 'LF:admire'}
admire*         ['LANG:EN']
T/fin*          {"PF:T/fin'", 'LF:T', '!SPEC:*', 'CAT:T/fin', 'LANG:EN', 'NO_NUMBER', '-VAL', 'NO_DET'}
v*              {'CAT:v', 'NO_NUMBER', 'LANG:EN', '-VAL', 'NO_DET', 'PF:v', 'LF:v'}
admire**        ['LANG:EN']
T/fin**         {'LF:T', 'NO_PERSON', '!SPEC:*', 'CAT:T/fin', 'LANG:EN', "PF:T/fin''", 'NO_NUMBER', '-VAL', 'PHI:PER:3', 'NO_DET'}
adoro           ['LANG:IT']
adori           ['LANG:IT']
adora           ['LANG:IT']
adoriamo        ['LANG:IT']
adorate         ['LANG:IT']
adorano         ['LANG:IT']
adora-          {'ASP', 'SPEC:ADV', 'PHI:NUM:_', 'PF:adora', 'LANG:IT', 'COMP:D', 'PHI:PER:_', '-SPEC:T/fin', 'SPEC:TO/inf', 'PHI:DET:_', 'SPEC:P', 'ARG', '-COMP:V', 'PHI:GEN:_', 'COMP:P', '-SPEC:FORCE', '-COMP:N', '-COMP:v', 'V', '-VAL', '-COMP:T/fin', 'LF:admire'}
antaa           ['LANG:FI']
anta-           {'ASP', 'PF:antaa', 'SPEC:ADV', 'PHI:NUM:_', 'SPEC:D', 'LF:give', 'COMP:D', 'PHI:PER:_', '-SPEC:T/fin', 'LANG:FI', 'SPEC:TO/inf', 'PHI:DET:_', 'SPEC:P', 'ARG', '!COMP:*', '-COMP:V', '-COMP:T/fin', 'COMP:P', '+SEM:directional', '-COMP:N', '-COMP:v', 'V', '-COMP:FIN', '-SPEC:FORCE', '-VAL', 'CLASS:DITR', 'ASP:BOUNDED'}
antoi           ['LANG:FI']
asks            ['LANG:EN']
ask'            {'ASP', 'PF:ask', 'SEM:internal', 'LF:ask', 'SPEC:ADV', 'PHI:NUM:_', 'SPEC:D', 'COMP:D', 'PHI:PER:_', '-SPEC:T/fin', 'SPEC:TO/inf', 'PHI:DET:_', 'SPEC:P', 'ARG', 'LANG:EN', '-COMP:V', '-COMP:T/fin', 'COMP:P', 'PHI:GEN:_', '-COMP:N', '-COMP:v', 'V', '-VAL', '-SPEC:FORCE'}
ask-            {'ASP', 'PF:ask', 'SEM:internal', 'LF:ask', 'SPEC:ADV', 'PHI:NUM:_', 'SPEC:D', 'COMP:D', 'PHI:PER:_', '-SPEC:T/fin', 'SPEC:TO/inf', 'PHI:DET:_', 'SPEC:P', 'ARG', 'LANG:EN', '-COMP:V', '-COMP:T/fin', 'COMP:P', 'PHI:GEN:_', '-COMP:N', '-COMP:v', 'V', '-VAL', '-SPEC:FORCE'}
avain_0acc      ['LANG:EN']
avain_nom       ['LANG:EN']
avain           ['LANG:EN']
avaimen_acc     ['LANG:EN']
avaimen         ['LANG:EN']
avaimet         ['LANG:EN']
avainta         ['LANG:EN']
avain-          {'N', 'COMP:R/D', '-SPEC:V', 'SPEC:A', '-COMP:ADV', '-COMP:D', '-SPEC:uWH', '-SPEC:ADV', 'LF:key', '-COMP:C/fin', '-SPEC:T/fin', 'LANG:FI', '-SPEC:INF', '-SPEC:P', '-COMP:A', '-COMP:V', '-COMP:T/fin', 'COMP:P', 'COMP:R', '-SPEC:R', 'PF:avain', '-COMP:N', 'COMP:uR', '-SPEC:N', '-COMP:v', '-COMP:WH', '-SPEC:FORCE', '-COMP:AUX', '-SEM:directional', '-SPEC:C/fin'}
auton           ['LANG:FI']
auto            ['LANG:FI']
auto-           {'N', 'COMP:R/D', '-SPEC:V', 'LF:car', 'PF:auto', 'SPEC:A', '-COMP:ADV', '-COMP:D', '-SPEC:uWH', '-SPEC:ADV', '-COMP:C/fin', '-SPEC:T/fin', 'LANG:FI', '-SPEC:INF', '-SPEC:P', '-COMP:A', '-COMP:V', '-COMP:T/fin', 'COMP:P', 'COMP:R', '-SPEC:R', '-SPEC:FORCE', '-COMP:N', 'COMP:uR', '-SPEC:N', '-COMP:v', '-COMP:WH', '-COMP:AUX', '-SEM:directional', '-SPEC:C/fin'}
city            {'LF:city', 'N', 'COMP:R/D', '-SPEC:V', 'SPEC:A', '-COMP:ADV', '-COMP:D', '-SPEC:uWH', '-SPEC:ADV', '-COMP:C/fin', '-SPEC:T/fin', '-SPEC:INF', '-SPEC:P', 'LANG:EN', '-COMP:V', '-COMP:A', 'COMP:P', 'COMP:R', 'PF:city', '-SPEC:R', '-COMP:N', 'COMP:uR', '-SPEC:N', '-COMP:v', '-COMP:WH', '-SPEC:FORCE', '-COMP:AUX', '-COMP:T/fin', '-SPEC:C/fin'}
che             ['LANG:IT']
che-            {'N', 'COMP:R/D', '-SPEC:V', 'LF:who', 'SPEC:A', '-COMP:ADV', '-COMP:D', '-SPEC:uWH', 'LANG:IT', '-SPEC:ADV', '-COMP:C/fin', '-SPEC:T/fin', '-COMP:*', '-SPEC:INF', '-SPEC:P', 'PHI_N', '-COMP:A', '-COMP:V', 'COMP:P', 'COMP:R', '-SPEC:R', '-SPEC:FORCE', '-COMP:N', 'COMP:uR', 'PF:che', '-COMP:v', '-SPEC:N', '-COMP:WH', '-COMP:AUX', '-COMP:T/fin', '-SPEC:C/fin'}
chiamato        ['LANG:IT']
