dummy          {'LANG:EN', 'dummy'}
a               {'!COMP:*', '-SPEC:T/prt', '-SPEC:V', 'LF:to', 'adjoinable', '-SPEC:FORCE', '-SPEC:ADV', '-COMP:T', '-SPEC:C', '-VAL', '-SPEC:Neg/fin', 'COMP:ARE/inf', 'LANG:IT', '-COMP:A', '-COMP:T/fin', '-SPEC:*', '-COMP:ADV', '-ARG', 'TAIL:V', '-SPEC:C/fin', '-SPEC:iR', 'P', '-COMP:uWH', '-SPEC:v', '-SPEC:INF', '-COMP:N', 'PF:a', '-SPEC:P', 'COMP:φ', '-SPEC:iWH', '-SPEC:N', '-SPEC:T/fin'}
a_D             {'LF:D', '-EDGE:*', '!COMP:*', '-COMP:T/fin', 'LANG:EN', '-SPEC:MA/lla', '-SPEC:V', 'adjoinable', '-ARG', 'PF:D', '!PROBE:N', '-SPEC:C', '-SPEC:Neg/fin', 'φ', 'D', '-SPEC:INF', '-COMP:P', '-SPEC:P', 'COMP:φ', '-COMP:uR', 'COMP:N', 'COMP:n', '-SPEC:T/fin'}
admire          ['LANG:EN']
admire'         ['LANG:EN']
admires         ['LANG:EN']
admire-         {'-COMP:T/fin', '!COMP:*', 'PHI:NUM:_', 'LANG:EN', 'PF:admire', 'LF:admire', 'SPEC:P', '-COMP:V', 'ASP', 'CLASS:TR', 'PHI:GEN:_', '-SPEC:FORCE', 'V', 'ARG', '-VAL', '-COMP:v', 'PHI:DET:_', '-COMP:N', '-COMP:Neg', 'SPEC:ADV', 'SPEC:TO/inf', '-COMP:P', 'COMP:D', 'COMP:φ', '-SPEC:Neg', 'COMP:P', 'PHI:PER:_', '-SPEC:T/fin'}
admire*         ['LANG:EN']
T/fin*          {'-COMP:T/fin', '!COMP:*', 'COMP:V', 'LANG:EN', 'SPEC:φ', '-SPEC:T/prt', '!SPEC:*', 'T/fin', '-adjoinable', 'LF:T', '-SPEC:V', 'COMP:v', 'PHI:GEN:_', '!PROBE:V', 'ARG', '-SPEC:C', '-VAL', 'NO_DET', 'SPEC:C/fin', '-SPEC:v', '-SPEC:TO/inf', 'SPEC:TO/inf', 'T', 'COMP:T/prt', "PF:T/fin'", 'SPEC:FORCE', '-SPEC:Neg', 'NO_NUMBER', '-COMP:INF', 'FIN', '-SPEC:N', 'PHI:PER:_', '-SPEC:T/fin'}
v*              {'v', '!COMP:*', 'COMP:V', 'LANG:EN', 'PF:v', 'SPEC:φ', 'PHI:PER:_', 'LF:v', 'ASP', 'PHI:GEN:_', 'NO_NUMBER', '!PROBE:V', 'ARG', '-SPEC:N', '-VAL', 'NO_DET'}
admire**        ['LANG:EN']
T/fin**         {'!COMP:*', 'COMP:V', 'SPEC:φ', '-SPEC:T/prt', 'T/fin', '-adjoinable', 'LF:T', '-SPEC:V', "PF:T/fin''", 'PHI:GEN:_', '!PROBE:V', '-SPEC:C', '-VAL', 'NO_DET', 'SPEC:C/fin', 'SPEC:TO/inf', 'COMP:T/prt', '-SPEC:Neg', 'NO_NUMBER', '-COMP:T/fin', 'LANG:EN', '!SPEC:*', 'COMP:v', 'NO_PERSON', 'PHI:PER:3', 'ARG', '-SPEC:v', '-SPEC:TO/inf', 'T', 'SPEC:FORCE', '-COMP:INF', 'FIN', '-SPEC:N', '-SPEC:T/fin'}
adoro           ['LANG:IT']
adori           ['LANG:IT']
adora           ['LANG:IT']
adoriamo        ['LANG:IT']
adorate         ['LANG:IT']
adorano         ['LANG:IT']
adora-          {'PHI:NUM:_', 'LF:admire', 'SPEC:P', '-COMP:V', 'ASP', 'PHI:GEN:_', '-SPEC:FORCE', 'V', 'ARG', '-VAL', '-COMP:v', 'PHI:DET:_', '-COMP:N', 'SPEC:ADV', 'SPEC:TO/inf', 'COMP:φ', 'LANG:IT', 'COMP:P', 'PF:adora', 'PHI:PER:_', '-SPEC:T/fin'}
antaa           ['LANG:FI']
anta-           {'!COMP:*', 'PHI:NUM:_', 'SPEC:φ', 'SPEC:P', '-COMP:V', 'ASP', 'PHI:GEN:_', 'LANG:FI', '-SPEC:FORCE', 'V', 'ARG', '-VAL', '-COMP:FIN', 'PF:antaa', '-COMP:v', 'PHI:DET:_', '-COMP:N', '+SEM:directional', 'SPEC:ADV', 'SPEC:TO/inf', 'LF:give', 'COMP:φ', 'ASP:BOUNDED', 'COMP:P', 'PHI:PER:_', '-SPEC:T/fin', 'CLASS:DITR'}
antoi           ['LANG:FI']
asks            ['LANG:EN']
ask-            {'PHI:NUM:_', 'LANG:EN', 'SPEC:φ', 'SPEC:P', '-COMP:V', 'ASP', 'PHI:GEN:_', '-SPEC:FORCE', 'V', 'ARG', '-VAL', 'SEM:internal', '-COMP:v', 'PHI:DET:_', '-COMP:N', 'SPEC:ADV', 'SPEC:TO/inf', 'COMP:φ', 'COMP:P', 'LF:ask', 'PHI:PER:_', '-SPEC:T/fin', 'PF:ask'}
avain_0acc      ['LANG:EN']
avain_nom       ['LANG:EN']
avain           ['LANG:EN']
avaimen_acc     ['LANG:EN']
avaimen         ['LANG:EN']
avaimen_gen     ['LANG:EN']
avaimet         ['LANG:EN']
avainta         ['LANG:EN']
avain-          {'COMP:R/D', '-COMP:VA/inf', '-COMP:V', 'COMP:D/rel', '-SPEC:V', '-SPEC:FORCE', '-SPEC:ADV', '-COMP:D', 'LF:key', 'COMP:R', '-SPEC:R', 'COMP:T/prt', '-COMP:C/fin', '-COMP:AUX', '-COMP:A', '-SEM:directional', 'COMP:C', '-SPEC:C/fin', 'PF:avain', 'LANG:FI', 'N', '-COMP:WH', '-SPEC:uWH', '-COMP:v', '-SPEC:INF', '-COMP:N', 'COMP:uR', '-SPEC:P', 'SPEC:A', 'COMP:P', '-SPEC:N', '-SPEC:T/fin'}
auton           ['LANG:FI']
auto            ['LANG:FI']
auto-           {'COMP:R/D', '-COMP:VA/inf', '-COMP:V', 'COMP:D/rel', '-SPEC:V', '-SPEC:FORCE', '-SPEC:ADV', '-COMP:D', 'PF:auto', 'LF:car', 'COMP:R', '-SPEC:R', 'COMP:T/prt', '-COMP:C/fin', '-COMP:AUX', '-COMP:A', '-SEM:directional', 'COMP:C', '-SPEC:C/fin', 'LANG:FI', 'N', '-COMP:WH', '-SPEC:uWH', '-COMP:v', '-SPEC:INF', '-COMP:N', 'COMP:uR', '-SPEC:P', 'SPEC:A', 'COMP:P', '-SPEC:N', '-SPEC:T/fin'}
bank            {'COMP:R/D', '-COMP:VA/inf', 'PF:bank1', '-COMP:V', 'COMP:D/rel', '-SPEC:V', '-SPEC:FORCE', '-SPEC:ADV', '-COMP:D', 'COMP:R', '-SPEC:R', 'COMP:T/prt', '-COMP:C/fin', '-COMP:AUX', '-COMP:A', 'LANG:EN', 'COMP:C', '-SPEC:C/fin', 'N', '-COMP:WH', '-SPEC:uWH', '-COMP:v', '-SPEC:INF', 'FREQ:1', '-COMP:N', 'COMP:uR', '-SPEC:P', 'LF:bank_inst', 'SPEC:A', 'COMP:P', '-SPEC:N', '-SPEC:T/fin'}
bank            {'COMP:R/D', '-COMP:VA/inf', '-COMP:V', 'COMP:D/rel', '-SPEC:V', '-SPEC:T/fin', '-SPEC:FORCE', '-SPEC:ADV', '-COMP:D', 'COMP:R', '-SPEC:R', 'COMP:T/prt', '-COMP:C/fin', '-COMP:AUX', 'PF:bank2', '-COMP:A', 'LANG:EN', 'COMP:C', '-SPEC:C/fin', 'N', '-COMP:WH', '-SPEC:uWH', '-COMP:v', '-SPEC:INF', '-COMP:N', 'COMP:uR', '-SPEC:P', 'LF:bank_river', 'SPEC:A', 'COMP:P', '-SPEC:N', 'FREQ:2'}
barn            {'LF:barn', 'LANG:EN', 'COMP:R/D', '-COMP:VA/inf', '-COMP:V', 'COMP:D/rel', 'COMP:C', '-SPEC:V', '-SPEC:C/fin', 'N', '-SPEC:FORCE', '-SPEC:ADV', '-COMP:D', '-COMP:WH', '-SPEC:uWH', '-COMP:v', 'COMP:R', '-SPEC:R', '-SPEC:INF', '-COMP:N', 'COMP:uR', '-SPEC:P', 'COMP:T/prt', '-COMP:C/fin', 'SPEC:A', 'COMP:P', 'PF:barn', '-COMP:AUX', '-SPEC:N', '-SPEC:T/fin', '-COMP:A'}
city            {'LANG:EN', 'COMP:R/D', '-COMP:VA/inf', '-COMP:V', 'COMP:D/rel', 'COMP:C', '-SPEC:V', '-SPEC:C/fin', 'N', '-SPEC:FORCE', '-SPEC:ADV', '-COMP:D', '-COMP:WH', '-SPEC:uWH', '-COMP:v', 'COMP:R', '-SPEC:R', '-SPEC:INF', '-COMP:N', 'COMP:uR', '-SPEC:P', 'PF:city', 'COMP:T/prt', '-COMP:C/fin', 'SPEC:A', 'COMP:P', '-COMP:AUX', '-SPEC:N', 'LF:city', '-SPEC:T/fin', '-COMP:A'}
che             ['LANG:IT']
che-            {'COMP:R/D', '-COMP:VA/inf', '-COMP:V', 'COMP:D/rel', '-SPEC:V', '-SPEC:FORCE', '-SPEC:ADV', '-COMP:D', 'COMP:R', '-SPEC:R', 'PHI_N', 'COMP:T/prt', 'LANG:IT', '-COMP:C/fin', '-COMP:AUX', '-COMP:A', 'PF:che', 'COMP:C', '-SPEC:C/fin', 'N', '-COMP:WH', '-SPEC:uWH', '-COMP:v', '-SPEC:INF', '-COMP:N', '-COMP:*', 'COMP:uR', 'LF:who', '-SPEC:P', 'SPEC:A', 'COMP:P', '-SPEC:N', '-SPEC:T/fin'}
chiamato        ['LANG:IT']
chiamata-       {'PHI:NUM:_', 'SPEC:P', '-COMP:V', 'ASP', 'PHI:GEN:_', '-SPEC:FORCE', 'V', 'ARG', '-VAL', 'PF:chiamato', '-COMP:v', 'PHI:DET:_', '-COMP:N', 'SPEC:ADV', 'SPEC:TO/inf', 'LANG:IT', 'COMP:P', 'LF:called', 'PHI:PER:_', '-SPEC:T/fin'}
claims          ['LANG:EN']
claim-          {'PHI:NUM:_', 'LANG:EN', 'SPEC:φ', 'SPEC:P', 'PF:claim', '-COMP:V', 'LF:claim', 'ASP', 'PHI:GEN:_', '-SPEC:FORCE', 'V', 'ARG', '-COMP:φ', '-VAL', '-COMP:v', 'PHI:DET:_', '-COMP:N', 'SPEC:ADV', 'SPEC:TO/inf', 'COMP:T/fin', 'COMP:P', 'PHI:PER:_', '-SPEC:T/fin'}
danno           {'COMP:R/D', '-COMP:VA/inf', '-COMP:V', 'COMP:D/rel', 'COMP:C', '-SPEC:V', '-SPEC:C/fin', 'N', '-SPEC:FORCE', '-SPEC:ADV', '-COMP:D', '-COMP:WH', 'LF:damage', '-SPEC:uWH', 'PF:danno', '-COMP:v', 'COMP:R', '-SPEC:R', '-SPEC:INF', '-COMP:N', 'COMP:uR', '-SPEC:P', 'COMP:T/prt', 'LANG:IT', '-COMP:C/fin', 'SPEC:A', 'COMP:P', '-COMP:AUX', '-SPEC:N', '-SPEC:T/fin', '-COMP:A'}
del             ['LANG:IT']
della           ['LANG:IT']
detesto         ['LANG:IT']
detesto         ['LANG:IT']
detest-         {'PHI:NUM:_', 'SPEC:P', '-COMP:V', 'ASP', 'PHI:GEN:_', '-SPEC:FORCE', 'V', 'PF:detest', 'ARG', '-VAL', 'LF:detest', 'SEM:internal', '-COMP:v', 'PHI:DET:_', '-COMP:N', 'SPEC:ADV', 'SPEC:TO/inf', 'COMP:φ', 'COMP:ARE/inf', 'LANG:IT', 'COMP:P', 'PHI:PER:_', '-SPEC:T/fin'}
devono          ['LANG:EN']
deva-           {'PHI:NUM:_', 'SPEC:φ', 'SPEC:P', '-COMP:V', 'PHI:GEN:_', '-SPEC:FORCE', 'V', 'ARG', '-VAL', 'SEM:internal', '-COMP:v', 'LF:must', 'PHI:DET:_', '-COMP:N', 'SPEC:ADV', 'SPEC:TO/inf', 'PF:deva', 'COMP:ARE/inf', 'LANG:IT', 'COMP:P', 'PHI:PER:_', '-SPEC:T/fin', '-ASP'}
di              {'-COMP:T/fin', '!COMP:*', 'PHI:NUM:_', '-COMP:ADV', '-SPEC:T/prt', '-adjoinable', '-SPEC:V', '-SPEC:C/fin', '-SPEC:iR', 'PHI:GEN:_', 'LANG:FI', 'P', '-SPEC:FORCE', '-SPEC:ADV', '-COMP:T', '-SPEC:C', '-VAL', 'ARG', '-SPEC:Neg/fin', '-COMP:uWH', '-SPEC:v', '-SPEC:INF', 'PHI:DET:_', '-COMP:N', 'PF:di', '-SPEC:P', 'COMP:φ', '-SPEC:iWH', 'SPEC:*', '-SPEC:N', 'PHI:PER:_', '-SPEC:T/fin', 'LF:of', '-COMP:A'}
does            {'!COMP:*', 'COMP:V', 'PHI:NUM:_', 'PF:does', 'SPEC:φ', '-SPEC:T/prt', 'T/fin', '-adjoinable', '-SPEC:V', 'PHI:GEN:_', '!PROBE:V', 'VAL', '-SPEC:C', 'SPEC:C/fin', 'LF:does', 'PHI:DET:_', 'COMP:Neg', 'PHI:GEN:M', 'SPEC:TO/inf', 'COMP:T/prt', '-SPEC:Neg', 'PHI:GEN:F', 'PHI:NUM:SG', '-COMP:T/fin', 'LANG:EN', '!SPEC:*', 'COMP:v', 'PHI:PER:3', 'ARG', '-SPEC:v', '-SPEC:TO/inf', 'T', 'SPEC:FORCE', '-COMP:INF', 'FIN', 'SPEC:*', '-SPEC:N', 'PHI:PER:_', '-SPEC:T/fin'}
does_C          ['LANG:EN']
does-           {'!COMP:*', 'COMP:V', 'PHI:NUM:_', 'PF:does', 'SPEC:φ', '-SPEC:T/prt', 'T/fin', '-adjoinable', '-SPEC:V', 'PHI:GEN:_', '!PROBE:V', 'VAL', '-SPEC:C', 'SPEC:C/fin', 'LF:does', 'PHI:DET:_', 'COMP:Neg', 'PHI:GEN:M', 'SPEC:TO/inf', 'COMP:T/prt', '-SPEC:Neg', 'PHI:GEN:F', 'PHI:NUM:SG', '-COMP:T/fin', 'LANG:EN', '!SPEC:*', 'COMP:v', 'PHI:PER:3', 'ARG', '-SPEC:v', '-SPEC:TO/inf', 'T', 'SPEC:FORCE', '-COMP:INF', 'FIN', 'SPEC:*', '-SPEC:N', 'PHI:PER:_', '-SPEC:T/fin'}
dorme           ['LANG:IT']
dorme-          {'PHI:NUM:_', 'LANG:EN', 'SPEC:φ', 'SPEC:P', '-COMP:V', '!SPEC:φ', 'ASP', 'PHI:GEN:_', 'LF:sleep', '-SPEC:FORCE', 'V', 'PF:dorme', 'ARG', '-VAL', '-COMP:φ', 'CLASS:INTR', '-COMP:v', '-COMP:MA/inf', 'PHI:DET:_', '-COMP:N', 'SPEC:ADV', 'SPEC:TO/inf', 'COMP:P', 'PHI:PER:_', '-SPEC:T/fin'}
disappeared     ['LANG:EN']
disappear-      {'PHI:NUM:_', 'LANG:EN', 'SPEC:φ', 'SPEC:P', '-COMP:V', 'ASP', 'PF:disappear', 'PHI:GEN:_', '-SPEC:FORCE', 'V', 'LF:disappear', 'ARG', '-VAL', '-COMP:φ', 'CLASS:INTR', '-COMP:v', '-COMP:MA/inf', 'PHI:DET:_', '-COMP:N', 'SPEC:ADV', 'SPEC:TO/inf', 'COMP:P', 'PHI:PER:_', '-SPEC:T/fin'}
e               ['LANG:IT']
easy            ['LANG:EN']
easy-           {'LF:easy', 'LANG:EN', '2SPEC', 'SPEC:φ', 'PF:easy', '0'}
en              ['LANG:FI']
et              ['LANG:FI']
ei              ['LANG:FI']
emme            ['LANG:FI']
ette            ['LANG:FI']
eivat           ['LANG:FI']
