ï»¿dummy        {'LANG:FI', 'dummy'}
a               {'-SPEC:FORCE', '-SPEC:V', '-COMP:N', '-SPEC:C', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', '-SPEC:*', '-SPEC:Neg/fin', 'adjoinable', '!COMP:D', '-SPEC:C/fin', '-SPEC:N', '-SPEC:iWH', 'LF:to', 'COMP:ARE/inf', '-ARG', 'LANG:IT', '-SPEC:iR', '-COMP:uWH', '-SPEC:P', 'P', 'PF:a', '-VAL', '!COMP:*', '-SPEC:INF', '-SPEC:v', '-COMP:ADV'}
admire          ['LANG:EN']
admire'         ['LANG:EN']
admires         ['LANG:EN']
admire-         {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'LF:admire', 'SPEC:P', 'PHI:DET:_', '-COMP:T', 'PF:admire', '-COMP:Neg', '-SPEC:T/fin', 'PHI:NUM:_', 'ASP', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', 'COMP:D', 'LANG:FI', '-SPEC:Neg', 'CLASS:TR', 'V', '-VAL', '!COMP:*', '-COMP:V', '-COMP:P', 'COMP:P', 'PHI:PER:_'}
adoro           ['LANG:IT']
adori           ['LANG:IT']
adora           ['LANG:IT']
adoriamo        ['LANG:IT']
adorate         ['LANG:IT']
adorano         ['LANG:IT']
adora-          {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'LF:admire', 'SPEC:P', 'PHI:DET:_', '-COMP:T', '-SPEC:T/fin', 'PHI:GEN:_', 'PHI:NUM:_', 'PF:adora', 'ASP', 'SPEC:ADV', 'LANG:IT', 'ARG', 'SPEC:TO/inf', 'COMP:D', '-VAL', 'V', '-COMP:V', 'COMP:P', 'PHI:PER:_'}
anta-           {'-COMP:v', '-SPEC:FORCE', 'PF:antaa', 'ASP:BOUNDED', '-COMP:N', 'SPEC:P', 'PHI:DET:_', '-COMP:T', '-SPEC:T/fin', 'SPEC:D', 'PHI:NUM:_', 'ASP', 'SPEC:ADV', '-COMP:FIN', 'ARG', 'SPEC:TO/inf', '+SEM:directional', 'PHI:PER:_', 'CLASS:DITR', 'LANG:FI', '-VAL', '!COMP:*', 'V', '-COMP:V', '-COMP:P', 'COMP:P', 'LF:give'}
antoi           ['LANG:FI']
asks            ['LANG:EN']
