ï»¿dummy        {'dummy', 'LANG:EN'}
a               {'COMP:ARE/inf', '-SPEC:*', '-COMP:T/fin', 'adjoinable', '-SPEC:ADV', 'LANG:IT', '-SPEC:INF', '-SPEC:iWH', '-COMP:ADV', '-COMP:uWH', '-SPEC:v', '!COMP:*', '-SPEC:V', 'COMP:D', '-SPEC:Neg/fin', '-COMP:N', '-SPEC:FORCE', '-COMP:T', '-SPEC:P', 'LF:to', 'TAIL:V', 'P', '-SPEC:C', '-SPEC:iR', 'PF:a', '-COMP:A', '-SPEC:T/fin', '-SPEC:N', '-ARG', '-VAL', '-SPEC:C/fin'}
a_D             {'-COMP:D', 'D', '-COMP:T/fin', 'OP', '!PROBE:N', 'adjoinable', '-SPEC:MA/lla', '-SPEC:INF', 'LANG:EN', '-COMP:uR', '-COMP:P', '!COMP:*', '-SPEC:V', '-SPEC:Neg/fin', 'COMP:N', '-SPEC:P', '-SPEC:C', 'PF:D', '-SPEC:T/fin', 'LF:D', '-ARG'}
admire          ['LANG:EN']
admire'         ['LANG:EN']
admires         ['LANG:EN']
admire-         {'-COMP:T/fin', '-COMP:Neg', 'PHI:DET:_', 'LANG:EN', 'ASP', 'PHI:GEN:_', 'SPEC:TO/inf', '-COMP:P', '!COMP:*', 'COMP:P', 'LF:admire', 'PHI:PER:_', 'V', 'SPEC:ADV', 'COMP:D', 'ARG', '-COMP:V', '-COMP:N', '-SPEC:FORCE', '-COMP:v', '-SPEC:Neg', 'CLASS:TR', 'PF:admire', '-SPEC:T/fin', 'PHI:NUM:_', '-VAL', 'SPEC:P'}
admire*         ['LANG:EN']
T/fin*          {'NO_DET', 'CAT:T/fin', 'LF:T', 'LANG:EN', '!SPEC:*', "PF:T/fin'", 'NO_NUMBER', '-VAL'}
v*              {'LANG:EN', '-VAL', 'NO_DET', 'LF:v', 'NO_NUMBER', 'PF:v', 'CAT:v'}
admire**        ['LANG:EN']
T/fin**         {'NO_DET', 'CAT:T/fin', 'LF:T', "PF:T/fin''", 'LANG:EN', 'PHI:PER:3', '!SPEC:*', 'NO_PERSON', 'NO_NUMBER', '-VAL'}
adoro           ['LANG:IT']
adori           ['LANG:IT']
adora           ['LANG:IT']
adoriamo        ['LANG:IT']
adorate         ['LANG:IT']
adorano         ['LANG:IT']
adora-          {'PHI:DET:_', 'LANG:IT', 'ASP', 'PHI:GEN:_', 'SPEC:TO/inf', 'COMP:P', 'LF:admire', 'PHI:PER:_', 'V', 'SPEC:ADV', 'COMP:D', 'PF:adora', 'ARG', '-COMP:V', '-COMP:N', '-SPEC:FORCE', '-COMP:v', '-SPEC:T/fin', 'PHI:NUM:_', '-VAL', 'SPEC:P'}
antaa           ['LANG:FI']
anta-           {'ASP:BOUNDED', 'PHI:DET:_', '-COMP:FIN', 'ASP', 'SPEC:TO/inf', '!COMP:*', 'LANG:FI', 'COMP:P', 'PHI:PER:_', 'V', 'SPEC:ADV', 'PF:antaa', 'COMP:D', 'ARG', '-COMP:V', '-COMP:N', '-SPEC:FORCE', '-COMP:v', 'SPEC:D', 'CLASS:DITR', 'LF:give', '-VAL', '-SPEC:T/fin', 'PHI:NUM:_', '+SEM:directional', 'SPEC:P'}
antoi           ['LANG:FI']
asks            ['LANG:EN']
ask-            {'LF:ask', 'PHI:DET:_', 'LANG:EN', 'ASP', 'PHI:GEN:_', 'SPEC:TO/inf', 'PF:ask', 'COMP:P', 'PHI:PER:_', 'V', 'SPEC:ADV', 'COMP:D', 'ARG', '-COMP:V', 'SPEC:D', '-COMP:N', '-SPEC:FORCE', '-COMP:v', '-SPEC:T/fin', 'SEM:internal', 'PHI:NUM:_', '-VAL', 'SPEC:P'}
avain_0acc      ['LANG:EN']
avain_nom       ['LANG:EN']
avain           ['LANG:EN']
avaimen_acc     ['LANG:EN']
avaimen         ['LANG:EN']
avaimet         ['LANG:EN']
avainta         ['LANG:EN']
avain-          {'-SEM:directional', 'PF:avain', 'COMP:R/D', 'COMP:D/rel', '-COMP:WH', 'COMP:R', '-SPEC:INF', 'LF:key', '-COMP:C/fin', '-SPEC:uWH', 'LANG:FI', 'COMP:P', '-SPEC:V', '-COMP:VA/inf', '-SPEC:R', 'COMP:uR', '-COMP:V', 'N', '-COMP:N', '-SPEC:FORCE', '-COMP:v', 'COMP:T/prt', 'SPEC:A', 'COMP:C', '-SPEC:P', '-COMP:A', '-SPEC:N', '-SPEC:T/fin', '-COMP:AUX', '-SPEC:ADV', '-SPEC:C/fin'}
auton           ['LANG:FI']
auto            ['LANG:FI']
