ï»¿dummy        {'LANG:EN', 'dummy'}
a               {'-COMP:ADV', 'LANG:IT', '-COMP:A', 'PF:a', 'COMP:ARE/inf', '-SPEC:FORCE', '-SPEC:Neg/fin', '-SPEC:iR', 'COMP:D', '-SPEC:INF', '-ARG', '-SPEC:v', '-SPEC:ADV', '-SPEC:T/fin', '-COMP:T/fin', '-SPEC:C', '-SPEC:N', '-VAL', 'adjoinable', 'TAIL:V', '-COMP:T', '-COMP:uWH', '-SPEC:V', '-SPEC:C/fin', '-SPEC:iWH', '-SPEC:*', 'P', '!COMP:*', '-COMP:N', 'LF:to', '-SPEC:P'}
a_D             {'LANG:EN', 'PF:D', '-SPEC:Neg/fin', '-SPEC:INF', '-ARG', '-SPEC:MA/lla', 'LF:D', '-SPEC:T/fin', '-COMP:T/fin', '-SPEC:C', '-COMP:P', 'adjoinable', '-COMP:uR', 'D', '-SPEC:V', 'COMP:N', '!PROBE:N', '!COMP:*', '-COMP:D', 'OP', '-SPEC:P'}
admire          ['LANG:EN']
admire'         ['LANG:EN']
admires         ['LANG:EN']
admire-         {'LANG:EN', 'LF:admire', '-SPEC:Neg', '-SPEC:FORCE', '-COMP:v', 'COMP:D', 'SPEC:TO/inf', '-COMP:V', 'PHI:PER:_', 'PHI:DET:_', 'ARG', '-SPEC:T/fin', '-COMP:T/fin', 'PHI:NUM:_', '-COMP:P', '-VAL', 'SPEC:P', 'SPEC:ADV', 'V', 'PHI:GEN:_', '-COMP:Neg', '!COMP:*', 'COMP:P', '-COMP:N', 'ASP', 'PF:admire', 'CLASS:TR'}
admire*         ['LANG:EN']
T/fin*          {'LANG:EN', '-VAL', "PF:T/fin'", 'CAT:T/fin', 'NO_DET', 'LF:T', '!SPEC:*', 'NO_NUMBER'}
v*              {'PF:v', 'LANG:EN', 'CAT:v', '-VAL', 'NO_DET', 'LF:v', 'NO_NUMBER'}
admire**        ['LANG:EN']
T/fin**         {'LANG:EN', 'PHI:PER:3', '-VAL', 'NO_PERSON', 'CAT:T/fin', 'NO_DET', 'LF:T', '!SPEC:*', "PF:T/fin''", 'NO_NUMBER'}
adoro           ['LANG:IT']
adori           ['LANG:IT']
adora           ['LANG:IT']
adoriamo        ['LANG:IT']
adorate         ['LANG:IT']
adorano         ['LANG:IT']
adora-          {'LANG:IT', 'LF:admire', '-SPEC:FORCE', '-COMP:v', 'COMP:D', 'SPEC:TO/inf', '-COMP:V', 'PHI:PER:_', 'PHI:DET:_', 'ARG', '-SPEC:T/fin', 'PHI:NUM:_', 'ASP', '-VAL', 'SPEC:P', 'SPEC:ADV', 'V', 'PHI:GEN:_', 'PF:adora', '-COMP:N', 'COMP:P'}
antaa           ['LANG:FI']
anta-           {'-SPEC:FORCE', 'CLASS:DITR', '-COMP:v', 'COMP:D', 'SPEC:TO/inf', '-COMP:V', 'PHI:PER:_', 'PHI:DET:_', 'ARG', '-SPEC:T/fin', 'PHI:NUM:_', 'COMP:P', 'ASP', '-VAL', 'SPEC:P', 'SPEC:ADV', 'V', 'LANG:FI', 'PF:antaa', 'SPEC:D', '+SEM:directional', '!COMP:*', '-COMP:FIN', 'LF:give', 'ASP:BOUNDED', '-COMP:N'}
antoi           ['LANG:FI']
asks            ['LANG:EN']
ask-            {'LANG:EN', 'SEM:internal', '-SPEC:FORCE', '-COMP:v', 'COMP:D', 'SPEC:TO/inf', '-COMP:V', 'PHI:PER:_', 'PHI:DET:_', 'ARG', '-SPEC:T/fin', 'PHI:NUM:_', '-VAL', 'SPEC:P', 'SPEC:ADV', 'V', 'PHI:GEN:_', 'PF:ask', 'SPEC:D', 'COMP:P', '-COMP:N', 'ASP', 'LF:ask'}
avain_0acc      ['LANG:EN']
avain_nom       ['LANG:EN']
avain           ['LANG:EN']
avaimen_acc     ['LANG:EN']
avaimen         ['LANG:EN']
avaimet         ['LANG:EN']
avainta         ['LANG:EN']
avain-          {'COMP:D/rel', 'COMP:R', '-COMP:AUX', '-COMP:A', '-SPEC:FORCE', 'N', '-SPEC:R', 'PF:avain', 'COMP:C', '-COMP:v', '-COMP:V', '-COMP:C/fin', '-SPEC:uWH', '-SPEC:INF', '-SEM:directional', '-SPEC:ADV', '-SPEC:T/fin', '-SPEC:N', '-SPEC:V', '-COMP:VA/inf', 'LF:key', 'LANG:FI', '-SPEC:C/fin', 'COMP:T/prt', 'COMP:R/D', 'COMP:uR', 'SPEC:A', 'COMP:P', '-COMP:N', '-COMP:WH', '-SPEC:P'}
auton           ['LANG:FI']
auto            ['LANG:FI']
