ï»¿dummy        {'LANG:EN', 'dummy'}
a               {'-SPEC:iR', '-SPEC:T/fin', 'adjoinable', '-COMP:T', 'PF:a', '-COMP:T/fin', '-SPEC:P', 'LANG:IT', '-SPEC:*', '-ARG', 'COMP:ARE/inf', '-SPEC:Neg/fin', 'TAIL:V', '-SPEC:INF', 'P', 'COMP:D', '-SPEC:iWH', 'LF:to', '-SPEC:C/fin', '-SPEC:N', '-COMP:uWH', '-SPEC:C', '-SPEC:v', '-SPEC:ADV', '!COMP:*', '-COMP:N', '-COMP:ADV', '-COMP:A', '-VAL', '-SPEC:V', '-SPEC:FORCE'}
a_D             {'-SPEC:T/fin', '-SPEC:MA/lla', 'adjoinable', 'COMP:N', '-COMP:P', '-COMP:T/fin', '-SPEC:P', '-SPEC:Neg/fin', '-ARG', '-SPEC:INF', 'LF:D', 'PF:D', '-COMP:D', 'LANG:EN', 'D', '-SPEC:C', '!PROBE:N', '!COMP:*', '-COMP:uR', 'OP', '-SPEC:V'}
admire          ['LANG:EN']
admire'         ['LANG:EN']
admires         ['LANG:EN']
admire-         {'-SPEC:T/fin', '-SPEC:Neg', '-COMP:Neg', 'ARG', 'SPEC:P', '-COMP:T/fin', '-COMP:P', 'PHI:GEN:_', 'LF:admire', '-COMP:V', 'COMP:D', 'SPEC:TO/inf', 'PHI:NUM:_', 'CLASS:TR', 'ASP', 'LANG:EN', 'PHI:PER:_', '!COMP:*', '-COMP:N', '-COMP:v', 'PF:admire', 'V', '-VAL', 'SPEC:ADV', 'COMP:P', '-SPEC:FORCE', 'PHI:DET:_'}
admire*         ['LANG:EN']
T/fin*          {'NO_NUMBER', 'LANG:EN', 'CAT:T/fin', 'LF:T', "PF:T/fin'", '-VAL', '!SPEC:*', 'NO_DET'}
v*              {'NO_NUMBER', 'LANG:EN', '-VAL', 'PF:v', 'LF:v', 'CAT:v', 'NO_DET'}
admire**        ['LANG:EN']
T/fin**         {'NO_NUMBER', 'LANG:EN', 'CAT:T/fin', 'LF:T', '-VAL', "PF:T/fin''", 'NO_PERSON', '!SPEC:*', 'NO_DET', 'PHI:PER:3'}
adoro           ['LANG:IT']
adori           ['LANG:IT']
adora           ['LANG:IT']
adoriamo        ['LANG:IT']
adorate         ['LANG:IT']
adorano         ['LANG:IT']
adora-          {'-SPEC:T/fin', 'ARG', 'SPEC:P', 'PHI:GEN:_', 'LANG:IT', 'LF:admire', '-COMP:V', 'COMP:D', 'SPEC:TO/inf', 'PF:adora', 'PHI:NUM:_', 'ASP', 'PHI:PER:_', '-COMP:N', '-COMP:v', 'V', '-VAL', 'SPEC:ADV', 'COMP:P', '-SPEC:FORCE', 'PHI:DET:_'}
antaa           ['LANG:FI']
anta-           {'-SPEC:T/fin', 'PF:antaa', 'LF:give', 'CLASS:DITR', 'ARG', 'SPEC:P', '-COMP:V', 'LANG:FI', 'ASP:BOUNDED', 'COMP:D', 'SPEC:TO/inf', 'SPEC:D', 'PHI:NUM:_', 'ASP', 'PHI:PER:_', '+SEM:directional', '!COMP:*', '-COMP:N', '-COMP:FIN', '-COMP:v', 'V', '-VAL', 'SPEC:ADV', 'COMP:P', '-SPEC:FORCE', 'PHI:DET:_'}
antoi           ['LANG:FI']
asks            ['LANG:EN']
ask-            {'-SPEC:T/fin', 'PF:ask', 'ARG', 'SPEC:P', 'PHI:GEN:_', '-COMP:V', 'COMP:D', 'SPEC:TO/inf', 'SPEC:D', 'PHI:NUM:_', 'ASP', 'LF:ask', 'LANG:EN', 'PHI:PER:_', 'SEM:internal', '-COMP:N', '-COMP:v', 'V', '-VAL', 'SPEC:ADV', 'COMP:P', '-SPEC:FORCE', 'PHI:DET:_'}
avain_0acc      ['LANG:EN']
avain_nom       ['LANG:EN']
avain           ['LANG:EN']
avaimen_acc     ['LANG:EN']
avaimen         ['LANG:EN']
avaimet         ['LANG:EN']
avainta         ['LANG:EN']
avain-          {'COMP:R', 'COMP:D/rel', '-SPEC:T/fin', 'COMP:T/prt', '-COMP:VA/inf', 'COMP:P', 'N', 'LF:key', '-SPEC:uWH', '-COMP:AUX', '-SPEC:P', '-COMP:V', 'LANG:FI', '-SPEC:INF', 'COMP:C', '-SPEC:C/fin', '-SPEC:N', '-SPEC:R', 'SPEC:A', '-COMP:WH', 'COMP:R/D', '-SPEC:ADV', '-SEM:directional', 'PF:avain', '-COMP:N', '-COMP:A', 'COMP:uR', '-COMP:v', '-SPEC:V', '-COMP:C/fin', '-SPEC:FORCE'}
auton           ['LANG:FI']
auto            ['LANG:FI']
auto-           {'COMP:R', 'COMP:D/rel', '-SPEC:T/fin', 'COMP:T/prt', '-COMP:VA/inf', 'COMP:P', 'N', '-SPEC:uWH', '-COMP:AUX', '-SPEC:P', '-COMP:V', 'LANG:FI', '-SPEC:INF', 'COMP:C', '-SPEC:C/fin', 'LF:car', '-SPEC:N', '-SPEC:R', 'SPEC:A', '-COMP:WH', 'COMP:R/D', '-SPEC:ADV', '-SEM:directional', '-COMP:N', '-COMP:A', 'COMP:uR', '-COMP:v', '-SPEC:V', '-COMP:C/fin', '-SPEC:FORCE', 'PF:auto'}
bank            {'COMP:R', 'COMP:D/rel', '-SPEC:T/fin', 'COMP:T/prt', '-COMP:VA/inf', 'COMP:P', 'N', '-SPEC:uWH', '-COMP:AUX', 'LF:bank_inst', '-SPEC:P', '-COMP:V', '-SPEC:INF', 'COMP:C', '-SPEC:C/fin', 'PF:bank1', '-SPEC:N', '-SPEC:R', 'SPEC:A', '-COMP:WH', 'LANG:EN', 'COMP:R/D', '-SPEC:ADV', 'FREQ:1', '-COMP:N', '-COMP:A', 'COMP:uR', '-COMP:v', '-SPEC:V', '-COMP:C/fin', '-SPEC:FORCE'}
bank            {'COMP:R', 'COMP:D/rel', '-SPEC:T/fin', 'COMP:T/prt', '-COMP:VA/inf', 'COMP:P', 'N', '-SPEC:uWH', '-COMP:AUX', '-SPEC:P', '-COMP:V', '-SPEC:INF', 'COMP:C', 'FREQ:2', '-SPEC:C/fin', 'PF:bank2', '-SPEC:N', '-SPEC:R', 'SPEC:A', '-COMP:WH', 'LANG:EN', 'COMP:R/D', '-SPEC:ADV', '-COMP:N', '-COMP:A', 'COMP:uR', 'LF:bank_river', '-COMP:v', '-SPEC:V', '-COMP:C/fin', '-SPEC:FORCE'}
barn            {'COMP:R', 'COMP:D/rel', '-SPEC:T/fin', 'COMP:T/prt', '-COMP:VA/inf', 'COMP:P', 'N', 'PF:barn', '-SPEC:uWH', '-COMP:AUX', '-SPEC:P', '-COMP:V', '-SPEC:INF', 'COMP:C', 'LF:barn', '-SPEC:C/fin', '-SPEC:N', '-SPEC:R', 'SPEC:A', '-COMP:WH', 'LANG:EN', 'COMP:R/D', '-SPEC:ADV', '-COMP:N', '-COMP:A', 'COMP:uR', '-COMP:v', '-SPEC:V', '-COMP:C/fin', '-SPEC:FORCE'}
city            {'COMP:R', 'COMP:D/rel', '-SPEC:T/fin', 'COMP:T/prt', '-COMP:VA/inf', 'COMP:P', 'N', '-SPEC:uWH', '-COMP:AUX', '-SPEC:P', '-COMP:V', '-SPEC:INF', 'COMP:C', '-SPEC:C/fin', '-SPEC:N', 'PF:city', '-SPEC:R', 'SPEC:A', 'LANG:EN', 'COMP:R/D', '-SPEC:ADV', '-COMP:WH', '-SPEC:V', '-COMP:N', '-COMP:A', 'COMP:uR', '-COMP:v', 'LF:city', '-COMP:C/fin', '-SPEC:FORCE'}
che             ['LANG:IT']
che-            {'COMP:R', 'COMP:T/prt', 'N', 'LF:who', '-SPEC:uWH', 'COMP:C', '-SPEC:C/fin', '-SPEC:R', 'SPEC:A', 'COMP:R/D', '-SPEC:ADV', '-COMP:N', '-COMP:A', 'COMP:uR', '-COMP:C/fin', '-SPEC:FORCE', 'COMP:D/rel', '-SPEC:T/fin', '-COMP:VA/inf', '-COMP:AUX', '-SPEC:P', 'LANG:IT', '-COMP:V', '-SPEC:INF', '-SPEC:N', '-COMP:WH', '-COMP:*', 'PHI_N', '-COMP:v', '-SPEC:V', 'COMP:P', 'PF:che'}
chiamato        ['LANG:IT']
chiamata-       {'-SPEC:T/fin', 'COMP:P', 'ARG', 'SPEC:P', 'PHI:GEN:_', 'LANG:IT', '-COMP:V', 'SPEC:TO/inf', 'PF:chiamato', 'PHI:NUM:_', 'ASP', 'PHI:PER:_', '-COMP:N', '-COMP:v', 'V', '-VAL', 'SPEC:ADV', 'LF:called', '-SPEC:FORCE', 'PHI:DET:_'}
claims          ['LANG:EN']
